name,state_code,latitude,longitude
Alexander,AR,34.62954,-92.44127
Alma,AR,35.47787,-94.22188
Arkadelphia,AR,34.12093,-93.05378
Arkansas City,AR,33.60872,-91.20678
Arkansas County,AR,34.29081,-91.37491
Ash Flat,AR,36.22396,-91.60848
Ashdown,AR,33.67429,-94.13131
Ashley County,AR,33.19122,-91.76845
Atkins,AR,35.24647,-92.93656
Augusta,AR,35.28231,-91.36541
Austin,AR,34.99842,-91.98376
Bald Knob,AR,35.30981,-91.56791
Barling,AR,35.32565,-94.3016
Batesville,AR,35.7698,-91.64097
Baxter County,AR,36.28719,-92.33697
Bay,AR,35.7423,-90.56233
Beebe,AR,35.07064,-91.87959
Bella Vista,AR,36.4807,-94.27134
Benton,AR,34.56454,-92.58683
Benton County,AR,36.33872,-94.25619
Bentonville,AR,36.37285,-94.20882
Berryville,AR,36.36479,-93.56797
Bethel Heights,AR,36.21424,-94.12937
Blytheville,AR,35.9273,-89.91898
Bono,AR,35.90868,-90.80262
Boone County,AR,36.30859,-93.0915
Booneville,AR,35.14009,-93.92159
Bradley County,AR,33.46642,-92.1624
Brinkley,AR,34.88787,-91.19457
Brookland,AR,35.90007,-90.58205
Bryant,AR,34.59593,-92.48905
Bull Shoals,AR,36.38396,-92.58155
Cabot,AR,34.97453,-92.01653
Calhoun County,AR,33.55803,-92.50304
Calico Rock,AR,36.11951,-92.13599
Camden,AR,33.58456,-92.83433
Caraway,AR,35.75813,-90.32232
Carlisle,AR,34.78315,-91.74652
Carroll County,AR,36.34102,-93.53818
Cave City,AR,35.94174,-91.54847
Cave Springs,AR,36.26341,-94.23187
Cedarville,AR,35.56981,-94.36688
Centerton,AR,36.3598,-94.28521
Charleston,AR,35.29704,-94.03632
Cherokee Village,AR,36.29784,-91.51597
Chicot County,AR,33.26725,-91.29397
Clarendon,AR,34.69315,-91.31374
Clark County,AR,34.05096,-93.17637
Clarksville,AR,35.47147,-93.46657
Clay County,AR,36.36839,-90.41738
Cleburne County,AR,35.53811,-92.02674
Cleveland County,AR,33.89836,-92.18514
