name,state_code,latitude,longitude
Ansonia,CT,41.34621,-73.079
Baltic,CT,41.61704,-72.08452
Bethel,CT,41.37121,-73.41401
Bethlehem Village,CT,41.6401,-73.20308
Blue Hills,CT,41.81288,-72.69759
Branford,CT,41.27954,-72.8151
Branford Center,CT,41.27738,-72.81511
Bridgeport,CT,41.17923,-73.18945
Bristol,CT,41.67176,-72.94927
Byram,CT,41.00426,-73.65374
Canaan,CT,42.02731,-73.32928
Canton Valley,CT,41.83426,-72.89177
Central Waterford,CT,41.34504,-72.12948
Cheshire,CT,41.49899,-72.90066
Cheshire Village,CT,41.5026,-72.89952
Chester Center,CT,41.40132,-72.4527
City of Milford (balance),CT,41.22374,-73.06164
Clinton,CT,41.27871,-72.52759
Colchester,CT,41.57565,-72.33203
Collinsville,CT,41.81288,-72.9201
Conning Towers-Nautilus Park,CT,41.38548,-72.06877
Cos Cob,CT,41.03343,-73.59957
Coventry Lake,CT,41.77232,-72.33258
Cromwell,CT,41.5951,-72.64537
Crystal Lake,CT,41.93176,-72.37842
Danbury,CT,41.39482,-73.45401
Danielson,CT,41.8026,-71.88591
Darien,CT,41.07871,-73.46929
Deep River Center,CT,41.38221,-72.43862
Derby,CT,41.32065,-73.089
Durham,CT,41.48176,-72.68121
East Brooklyn,CT,41.79677,-71.89729
East Haddam,CT,41.45315,-72.4612
East Hampton,CT,41.57593,-72.50259
East Hartford,CT,41.78232,-72.61203
East Haven,CT,41.27621,-72.86843
East Norwalk,CT,41.10565,-73.39845
East Windsor,CT,41.91232,-72.54509
Easton,CT,41.25287,-73.29734
Ellington,CT,41.90399,-72.46981
Enfield,CT,41.97621,-72.59176
Essex Village,CT,41.35544,-72.39101
Fairfield,CT,41.14121,-73.26373
Fairfield County,CT,41.22496,-73.3712
Farmington,CT,41.71982,-72.83204
Gales Ferry,CT,41.42982,-72.08202
Georgetown,CT,41.25565,-73.43484
Glastonbury,CT,41.71232,-72.60815
Glastonbury Center,CT,41.70093,-72.59953
Glenville,CT,41.03538,-73.65985
Greenwich,CT,41.02649,-73.62846
Groton,CT,41.3501,-72.07841
Guilford,CT,41.28899,-72.68176
Guilford Center,CT,41.28156,-72.67619
Hamden,CT,41.39593,-72.89677
Hartford,CT,41.76371,-72.68509
Hartford County,CT,41.80642,-72.73284
Hazardville,CT,41.98732,-72.54481
Hebron,CT,41.65788,-72.36592
Heritage Village,CT,41.48565,-73.23789
Higganum,CT,41.49704,-72.55703
Jewett City,CT,41.60677,-71.98091
Kensington,CT,41.63538,-72.76871
Kent,CT,41.72482,-73.47707
Killingly Center,CT,41.83871,-71.86924
Lake Pocotopaug,CT,41.59843,-72.51037
Ledyard,CT,41.43982,-72.01424
Lisbon,CT,41.60399,-72.01174
Litchfield,CT,41.74732,-73.18872
Litchfield County,CT,41.79249,-73.24532
Long Hill,CT,41.35399,-72.0523
Madison,CT,41.27954,-72.59843
Madison Center,CT,41.27925,-72.60048
Manchester,CT,41.77593,-72.52148
Mansfield City,CT,41.76593,-72.23369
Meriden,CT,41.53815,-72.80704
Middlebury,CT,41.52787,-73.12761
Middlesex County,CT,41.43538,-72.52312
Middletown,CT,41.56232,-72.65065
Milford,CT,41.22232,-73.0565
Montville Center,CT,41.47899,-72.15119
Moodus,CT,41.50288,-72.45009
Moosup,CT,41.71288,-71.88091
Mystic,CT,41.35427,-71.96646
Naugatuck,CT,41.48593,-73.05066
New Britain,CT,41.66121,-72.77954
New Canaan,CT,41.14676,-73.49484
New Fairfield,CT,41.46648,-73.48568
New Hartford Center,CT,41.87996,-72.9753
New Haven,CT,41.30815,-72.92816
New Haven County,CT,41.34882,-72.89986
New London,CT,41.35565,-72.09952
New London County,CT,41.46678,-72.1065
New Milford,CT,41.57704,-73.40845
New Preston,CT,41.6751,-73.35179
Newington,CT,41.69788,-72.72371
Newtown,CT,41.41398,-73.30345
Niantic,CT,41.32538,-72.19313
Noank,CT,41.32788,-71.99063
North Branford,CT,41.3276,-72.76732
North Granby,CT,41.99593,-72.82954
North Grosvenor Dale,CT,41.98565,-71.89868
North Haven,CT,41.39093,-72.85954
North Stamford,CT,41.13815,-73.54346
Northwest Harwinton,CT,41.77685,-73.07922
Norwalk,CT,41.1176,-73.4079
Norwich,CT,41.52426,-72.07591
Oakville,CT,41.59343,-73.08539
Old Greenwich,CT,41.02287,-73.56485
Old Mystic,CT,41.39149,-71.96174
Old Saybrook,CT,41.29177,-72.3762
Old Saybrook Center,CT,41.2915,-72.36528
Orange,CT,41.27843,-73.02566
Oxford,CT,41.43399,-73.11678
Oxoboxo River,CT,41.44391,-72.12502
Pawcatuck,CT,41.37732,-71.83368
Pemberwick,CT,41.02565,-73.66068
Plainfield,CT,41.67649,-71.91507
Plainfield Village,CT,41.67686,-71.92489
Plainville,CT,41.67454,-72.85816
Plymouth,CT,41.67204,-73.05289
Poquonock Bridge,CT,41.3451,-72.0248
Portland,CT,41.57288,-72.64065
Preston City,CT,41.52899,-71.97396
Prospect,CT,41.50232,-72.97872
Putnam,CT,41.9151,-71.90896
Quinebaug,CT,42.02371,-71.9498
Ridgefield,CT,41.28148,-73.49818
Riverside,CT,41.03371,-73.57818
Rockville,CT,41.86676,-72.44953
Salem,CT,41.49038,-72.27536
Salmon Brook,CT,41.95649,-72.79537
Saybrook Manor,CT,41.28538,-72.39897
Seymour,CT,41.39676,-73.07594
Shelton,CT,41.31649,-73.09316
Sherman,CT,41.57926,-73.49568
Sherwood Manor,CT,42.01343,-72.56425
Simsbury Center,CT,41.88088,-72.81116
Somers,CT,41.98537,-72.4462
South Coventry,CT,41.7701,-72.30508
South Windham,CT,41.67954,-72.17036
South Windsor,CT,41.82371,-72.6212
South Woodstock,CT,41.93899,-71.95952
Southbury,CT,41.48148,-73.21317
Southport,CT,41.13649,-73.28345
Southwood Acres,CT,41.9626,-72.57148
Stafford,CT,41.98482,-72.28897
Stafford Springs,CT,41.95426,-72.3023
Stamford,CT,41.05343,-73.53873
Storrs,CT,41.80843,-72.24952
Stratford,CT,41.18454,-73.13317
Suffield Depot,CT,41.98121,-72.64981
Tariffville,CT,41.90871,-72.7601
Terramuggus,CT,41.6351,-72.47036
Terryville,CT,41.67815,-73.01094
Thomaston,CT,41.67399,-73.07316
Thompson,CT,41.95871,-71.86257
Thompsonville,CT,41.99704,-72.59898
Tolland,CT,41.87149,-72.36869
Tolland County,CT,41.85501,-72.33649
Torrington,CT,41.80065,-73.12122
Trumbull,CT,41.24287,-73.20067
Uncasville,CT,41.43454,-72.1098
Wallingford,CT,41.45704,-72.82316
Wallingford Center,CT,41.44987,-72.81892
Washington,CT,41.63148,-73.31067
Waterbury,CT,41.55815,-73.0515
Waterford,CT,41.3417,-72.13597
Watertown,CT,41.60621,-73.11817
Wauregan,CT,41.74427,-71.90924
Weatogue,CT,41.84371,-72.82843
West Hartford,CT,41.76204,-72.74204
West Haven,CT,41.27065,-72.94705
West Simsbury,CT,41.87315,-72.85815
West Torrington,CT,41.81843,-73.14372
Westbrook Center,CT,41.27997,-72.44254
Westport,CT,41.14149,-73.3579
Wethersfield,CT,41.71427,-72.65259
Willimantic,CT,41.71065,-72.20813
Wilton,CT,41.19537,-73.4379
Winchester Center,CT,41.9001,-73.13483
Windham,CT,41.69982,-72.15702
Windham County,CT,41.83003,-71.98749
Windsor,CT,41.8526,-72.6437
Windsor Locks,CT,41.92926,-72.62731
Winsted,CT,41.92121,-73.06011
Wolcott,CT,41.60232,-72.98677
Woodbridge,CT,41.3526,-73.00844
Woodbury,CT,41.54454,-73.209
Woodbury Center,CT,41.54453,-73.20476
Woodmont,CT,41.22815,-72.99149
