name,state_code,latitude,longitude
Abilene,KS,38.91722,-97.21391
Allen County,KS,37.88573,-95.30139
Alma,KS,39.01667,-96.28916
Altamont,KS,37.19034,-95.29719
Anderson County,KS,38.2142,-95.29333
Andover,KS,37.7139,-97.13643
Anthony,KS,37.15336,-98.03117
Arkansas City,KS,37.06197,-97.03837
Arma,KS,37.54394,-94.70024
Ashland,KS,37.18864,-99.76568
Atchison,KS,39.56305,-95.12164
Atchison County,KS,39.53174,-95.31344
Atwood,KS,39.80667,-101.0421
Auburn,KS,38.90611,-95.8161
Augusta,KS,37.68668,-96.9767
Baldwin City,KS,38.77501,-95.18636
Barber County,KS,37.22884,-98.68479
Barton County,KS,38.47896,-98.75646
Basehor,KS,39.14167,-94.93858
Baxter Springs,KS,37.02368,-94.7355
Bellaire,KS,37.76251,-97.26699
Belle Plaine,KS,37.39391,-97.28115
Belleville,KS,39.82445,-97.63254
Beloit,KS,39.45612,-98.10616
Bonner Springs,KS,39.05973,-94.88358
Bourbon County,KS,37.85523,-94.8493
Brown County,KS,39.8265,-95.56422
Buhler,KS,38.13445,-97.77005
Burlington,KS,38.19447,-95.74276
Butler County,KS,37.78127,-96.83907
Caldwell,KS,37.03225,-97.60699
Caney,KS,37.01146,-95.93526
Carbondale,KS,38.81862,-95.68915
Chanute,KS,37.67921,-95.4572
Chapman,KS,38.97222,-97.02251
Chase County,KS,38.30205,-96.59393
Chautauqua County,KS,37.15006,-96.24538
Cheney,KS,37.63001,-97.78255
Cherokee County,KS,37.16931,-94.84627
Cherryvale,KS,37.27034,-95.55248
Chetopa,KS,37.03729,-95.08996
Cheyenne County,KS,39.78587,-101.7311
Cimarron,KS,37.80669,-100.3482
Clark County,KS,37.23552,-99.82031
Clay Center,KS,39.37694,-97.12474
Clay County,KS,39.34971,-97.16517
Clearwater,KS,37.5028,-97.50449
Cloud County,KS,39.4803,-97.64928
Coffey County,KS,38.23684,-95.73411
Coffeyville,KS,37.0373,-95.61637
Colby,KS,39.39584,-101.05238
Coldwater,KS,37.26891,-99.32678
Columbus,KS,37.16923,-94.84412
Colwich,KS,37.77918,-97.53644
Comanche County,KS,37.19128,-99.27187
Concordia,KS,39.57084,-97.66254
Conway Springs,KS,37.3903,-97.64227
Cottonwood Falls,KS,38.37224,-96.54278
Council Grove,KS,38.66112,-96.49195
Cowley County,KS,37.23775,-96.83749
Crawford County,KS,37.50732,-94.85181
De Soto,KS,38.97917,-94.96858
Decatur County,KS,39.78476,-100.4599
Derby,KS,37.54557,-97.26893
Dickinson County,KS,38.8665,-97.1527
Dighton,KS,38.48196,-100.46708
Dodge City,KS,37.7528,-100.01708
Doniphan County,KS,39.78808,-95.14679
Douglas County,KS,38.88466,-95.29261
Douglass,KS,37.51946,-97.01281
Edgerton,KS,38.76473,-95.00802
Edwards County,KS,37.88765,-99.31217
Edwardsville,KS,39.06112,-94.81968
El Dorado,KS,37.81724,-96.86225
Elk County,KS,37.45369,-96.24409
Elkhart,KS,37.00808,-101.89017
Ellinwood,KS,38.35557,-98.58091
Ellis,KS,38.93807,-99.56067
Ellis County,KS,38.91475,-99.31723
Ellsworth,KS,38.73056,-98.22811
Ellsworth County,KS,38.69663,-98.20473
Elwood,KS,39.75555,-94.87247
Emporia,KS,38.4039,-96.18166
Erie,KS,37.56811,-95.24331
Eudora,KS,38.94334,-95.09858
Eureka,KS,37.82392,-96.28917
Fairway,KS,39.02223,-94.6319
Finney County,KS,38.0443,-100.73699
Ford County,KS,37.6917,-99.88794
Fort Riley North,KS,39.11081,-96.81392
Fort Scott,KS,37.83976,-94.7083
Franklin County,KS,38.56452,-95.28595
Fredonia,KS,37.53394,-95.82665
Frontenac,KS,37.4556,-94.68913
Galena,KS,37.0759,-94.63967
