name,state_code,latitude,longitude
Adair County,KY,37.10416,-85.28065
Albany,KY,36.6909,-85.13468
Alexandria,KY,38.95951,-84.38799
Allen County,KY,36.75132,-86.19042
Anchorage,KY,38.26674,-85.53302
Anderson County,KY,38.00391,-84.99101
Annville,KY,37.31925,-83.97048
Ashland,KY,38.47841,-82.63794
Auburn,KY,36.86421,-86.71027
Audubon Park,KY,38.20396,-85.72524
Augusta,KY,38.77174,-84.00576
Ballard County,KY,37.05843,-88.99934
Barbourmeade,KY,38.29729,-85.60329
Barbourville,KY,36.86648,-83.88881
Bardstown,KY,37.80923,-85.4669
Bardwell,KY,36.87061,-89.00979
Barren County,KY,36.96558,-85.93366
Bath County,KY,38.14497,-83.74267
Beattyville,KY,37.57175,-83.70686
Beaver Dam,KY,37.40199,-86.87583
Bedford,KY,38.59256,-85.31773
Beechwood Village,KY,38.25479,-85.63135
Bell County,KY,36.73065,-83.67409
Bellevue,KY,39.10645,-84.47883
Benton,KY,36.85728,-88.35031
Berea,KY,37.56869,-84.29632
Bloomfield,KY,37.91034,-85.31662
Boone County,KY,38.96986,-84.72787
Booneville,KY,37.4762,-83.67491
Bourbon County,KY,38.20673,-84.21715
Bowling Green,KY,36.99032,-86.4436
Boyd County,KY,38.35957,-82.68773
Boyle County,KY,37.62433,-84.86681
Bracken County,KY,38.68881,-84.09019
Brandenburg,KY,37.99896,-86.16941
Breathitt County,KY,37.52162,-83.32409
Breckinridge Center,KY,37.68282,-87.86308
Breckinridge County,KY,37.77327,-86.42928
Brodhead,KY,37.40425,-84.41383
Brooks,KY,38.06118,-85.70968
Brooksville,KY,38.68257,-84.06576
Brownsville,KY,37.19255,-86.26775
Buckner,KY,38.38368,-85.43996
Buechel,KY,38.19507,-85.6519
Bullitt County,KY,37.97008,-85.69586
Burkesville,KY,36.79034,-85.37052
Burlington,KY,39.02756,-84.72411
Butler County,KY,37.20728,-86.68176
Cadiz,KY,36.86505,-87.8353
Caldwell County,KY,37.14533,-87.86791
Calhoun,KY,37.53894,-87.25833
Calloway County,KY,36.6211,-88.2722
Calvert City,KY,37.03339,-88.35004
Camargo,KY,37.99425,-83.8877
Campbell County,KY,38.94648,-84.3797
Campbellsville,KY,37.3434,-85.34191
Campton,KY,37.73425,-83.54741
Carlisle,KY,38.31202,-84.02743
Carlisle County,KY,36.85322,-88.97106
Carroll County,KY,38.66786,-85.12359
Carrollton,KY,38.6809,-85.1794
Carter County,KY,38.31817,-83.04954
