name,state_code,latitude,longitude
Abbeville,LA,29.97465,-92.13429
Abita Springs,LA,30.47864,-90.04008
Acadia Parish,LA,30.29053,-92.41198
Addis,LA,30.3538,-91.26539
Albany,LA,30.50436,-90.58231
Alexandria,LA,31.31129,-92.44514
Allen Parish,LA,30.65287,-92.82788
Ama,LA,29.95215,-90.29647
Amelia,LA,29.66632,-91.10204
Amite,LA,30.72657,-90.50898
Arabi,LA,29.95437,-90.00535
Arcadia,LA,32.54904,-92.92016
Arnaudville,LA,30.3977,-91.93151
Ascension Parish,LA,30.20354,-90.91129
Assumption Parish,LA,29.90077,-91.06259
Avondale,LA,29.91298,-90.20369
Avoyelles Parish,LA,31.07624,-92.00138
Baker,LA,30.58824,-91.16816
Baldwin,LA,29.83798,-91.54428
Ball,LA,31.41546,-92.4118
Banks Springs,LA,32.0821,-92.09291
Barataria,LA,29.72327,-90.12369
Basile,LA,30.4852,-92.59597
Bastrop,LA,32.77828,-91.91144
Baton Rouge,LA,30.44332,-91.18747
Bawcomville,LA,32.47042,-92.16736
Bayou Cane,LA,29.6241,-90.7512
Bayou Gauche,LA,29.78743,-90.41314
Bayou Vista,LA,29.68965,-91.27094
Beauregard Parish,LA,30.64847,-93.34334
Belle Chasse,LA,29.85493,-89.99063
Belle Rose,LA,30.05048,-91.04149
Benton,LA,32.69487,-93.74185
Bernice,LA,32.82209,-92.65793
Berwick,LA,29.69465,-91.21899
Bienville Parish,LA,32.34722,-93.05595
Blanchard,LA,32.58098,-93.89268
Bogalusa,LA,30.79102,-89.84869
Bossier City,LA,32.51599,-93.73212
Bossier Parish,LA,32.67899,-93.605
Bourg,LA,29.55355,-90.60231
Boutte,LA,29.90243,-90.38814
Breaux Bridge,LA,30.27353,-91.89928
Bridge City,LA,29.93326,-90.17007
Broussard,LA,30.14715,-91.96123
Brownsfield,LA,30.54658,-91.12066
Brownsville,LA,32.48709,-92.1543
Brusly,LA,30.39436,-91.25372
Bunkie,LA,30.95325,-92.18263
Caddo Parish,LA,32.58017,-93.88235
Cade,LA,30.08742,-91.9054
Calcasieu Parish,LA,30.22922,-93.35795
Caldwell Parish,LA,32.09227,-92.11661
Cameron,LA,29.79772,-93.32515
Cameron Parish,LA,29.84687,-93.1989
Campti,LA,31.8935,-93.11822
Carencro,LA,30.31714,-92.04901
Carlyss,LA,30.16882,-93.37599
Carville,LA,30.21742,-91.09621
Catahoula,LA,30.21464,-91.709
Catahoula Parish,LA,31.66617,-91.84707
Cecilia,LA,30.33714,-91.85317
Central,LA,30.55435,-91.03677
Chackbay,LA,29.88354,-90.79732
