name,state_code,latitude,longitude
Abington,MA,42.10482,-70.94532
Acton,MA,42.48509,-71.43284
Acushnet,MA,41.68066,-70.90782
Acushnet Center,MA,41.68508,-70.90642
Adams,MA,42.62425,-73.1176
Agawam,MA,42.06954,-72.61481
Amesbury,MA,42.85842,-70.93005
Amherst,MA,42.36723,-72.51852
Amherst Center,MA,42.37537,-72.51925
Andover,MA,42.65843,-71.137
Arlington,MA,42.41537,-71.15644
Ashburnham,MA,42.6362,-71.90785
Ashby,MA,42.67787,-71.82035
Ashfield,MA,42.52647,-72.78843
Ashland,MA,42.26121,-71.4634
Assonet,MA,41.79594,-71.06782
Athol,MA,42.59592,-72.22675
Attleboro,MA,41.94454,-71.28561
Auburn,MA,42.19454,-71.83563
Avon,MA,42.13066,-71.04116
Ayer,MA,42.5612,-71.58979
Baldwinville,MA,42.60842,-72.07591
Barnstable,MA,41.70011,-70.29947
Barnstable County,MA,41.68419,-70.27405
Barre,MA,42.42287,-72.10508
Becket,MA,42.33203,-73.08288
Bedford,MA,42.49065,-71.27617
Belchertown,MA,42.27704,-72.40092
Bellingham,MA,42.08676,-71.47451
Belmont,MA,42.39593,-71.17867
Berkley,MA,41.84593,-71.08282
Berkshire County,MA,42.37067,-73.2064
Berlin,MA,42.3812,-71.63701
Bernardston,MA,42.67092,-72.54953
Beverly,MA,42.55843,-70.88005
Beverly Cove,MA,42.55343,-70.85366
Billerica,MA,42.55843,-71.26895
Blackstone,MA,42.01788,-71.54117
Bliss Corner,MA,41.61177,-70.93837
Bolton,MA,42.43343,-71.60784
Bondsville,MA,42.21259,-72.34536
Boston,MA,42.35843,-71.05977
Bourne,MA,41.74122,-70.59892
Boxborough,MA,42.49084,-71.52851
Boxford,MA,42.6612,-70.99672
Boylston,MA,42.39176,-71.70368
Braintree,MA,42.20384,-71.00215
Brewster,MA,41.76011,-70.0828
Bridgewater,MA,41.99038,-70.97504
Brimfield,MA,42.12287,-72.20091
Bristol County,MA,41.75709,-71.08852
Brockton,MA,42.08343,-71.01838
Brookline,MA,42.33176,-71.12116
Buckland,MA,42.59231,-72.79176
Burlington,MA,42.50482,-71.19561
Buzzards Bay,MA,41.74538,-70.61809
Cambridge,MA,42.3751,-71.10561
Canton,MA,42.15843,-71.14477
Carlisle,MA,42.52926,-71.3495
Carver,MA,41.88344,-70.76254
Centerville,MA,41.64872,-70.34808
Charlemont,MA,42.62786,-72.86982
Charlton,MA,42.13565,-71.97007
Chatham,MA,41.68206,-69.95974
Chelmsford,MA,42.59981,-71.36728
Chelsea,MA,42.39176,-71.03283
Chesterfield,MA,42.39175,-72.83982
Chicopee,MA,42.1487,-72.60787
Clinton,MA,42.41676,-71.68285
Cochituate,MA,42.32093,-71.36423
Cohasset,MA,42.24177,-70.80365
Colrain,MA,42.67314,-72.69676
Concord,MA,42.46037,-71.34895
Conway,MA,42.50981,-72.69953
Cordaville,MA,42.26898,-71.52395
Cotuit,MA,41.61678,-70.43697
Dalton,MA,42.4737,-73.16621
Danvers,MA,42.57509,-70.93005
Dartmouth,MA,41.5941918,-71.1104352
Dedham,MA,42.24177,-71.16616
Dennis,MA,41.73539,-70.19391
Dennis Port,MA,41.65845,-70.12863
Devens,MA,42.5447,-71.61318
Dighton,MA,41.81399,-71.12032
Douglas,MA,42.05426,-71.73951
Dover,MA,42.24593,-71.28283
Dracut,MA,42.67037,-71.30201
Dudley,MA,42.0451,-71.93007
Dukes County,MA,41.38877,-70.69877
Dunstable,MA,42.67509,-71.48284
Duxbury,MA,42.04177,-70.67226
East Bridgewater,MA,42.03343,-70.95921
East Brookfield,MA,42.22787,-72.04674
East Dennis,MA,41.74261,-70.16196
East Douglas,MA,42.07232,-71.7134
East Falmouth,MA,41.57844,-70.55864
East Harwich,MA,41.70011,-70.02724
East Longmeadow,MA,42.06454,-72.51259
East Pepperell,MA,42.66537,-71.57312
East Sandwich,MA,41.74177,-70.45169
Eastham,MA,41.83011,-69.97391
Easthampton,MA,42.26676,-72.66898
Easton,MA,42.02454,-71.12866
Edgartown,MA,41.38901,-70.51336
Erving,MA,42.60009,-72.39814
Essex,MA,42.63204,-70.78283
Essex County,MA,42.63887,-70.86792
Everett,MA,42.40843,-71.05366
Fairhaven,MA,41.6376,-70.90365
Fall River,MA,41.70149,-71.15505
Falmouth,MA,41.5515,-70.61475
Fiskdale,MA,42.11621,-72.11341
Fitchburg,MA,42.58342,-71.8023
Forestdale,MA,41.69177,-70.49947
Foxborough,MA,42.06538,-71.24783
Framingham,MA,42.27926,-71.41617
Framingham Center,MA,42.29732,-71.43701
Franklin,MA,42.08343,-71.39673
Franklin County,MA,42.58312,-72.59187
Freetown,MA,41.76677,-71.03282
Gardner,MA,42.57509,-71.99813
Gill,MA,42.64036,-72.49953
Gloucester,MA,42.61405,-70.66313
Grafton,MA,42.20704,-71.68562
Granby,MA,42.25648,-72.5162
Granville,MA,42.06676,-72.86149
Great Barrington,MA,42.19592,-73.36206
Green Harbor-Cedar Crest,MA,42.07495,-70.65843
Greenfield,MA,42.58759,-72.59953
Groton,MA,42.6112,-71.57451
Groveland,MA,42.76037,-71.03145
Hadley,MA,42.34176,-72.58842
Halifax,MA,41.99121,-70.86199
Hamilton Worcester,MA,42.2562,-71.76757
Hampden,MA,42.06398,-72.41342
Hampden County,MA,42.13511,-72.63162
Hampshire County,MA,42.34014,-72.66377
Hanover,MA,42.11316,-70.81199
Hanson,MA,42.0751,-70.88004
Hardwick,MA,42.35009,-72.19952
Harvard,MA,42.50009,-71.58284
Harwich,MA,41.68622,-70.07585
Harwich Center,MA,41.69235,-70.06938
Harwich Port,MA,41.66678,-70.07863
Hatfield,MA,42.37092,-72.59814
Haverhill,MA,42.7762,-71.07728
Head of Westport,MA,41.62094,-71.06199
Hingham,MA,42.24177,-70.88977
Hinsdale,MA,42.4387,-73.12538
Holbrook,MA,42.1551,-71.00866
Holden,MA,42.35176,-71.86341
Holland,MA,42.06398,-72.1573
Holliston,MA,42.2001,-71.4245
Holyoke,MA,42.20426,-72.6162
Hopedale,MA,42.13065,-71.54117
Hopkinton,MA,42.22871,-71.52256
Housatonic,MA,42.25425,-73.36622
Hubbardston,MA,42.4737,-72.00619
Hudson,MA,42.39176,-71.56618
Hull,MA,42.30204,-70.90782
Hyannis,MA,41.65289,-70.2828
Ipswich,MA,42.67926,-70.84116
Jamaica Plain,MA,42.30982,-71.12033
Kingston,MA,41.99455,-70.72448
Lancaster,MA,42.45565,-71.67312
Lanesborough,MA,42.51731,-73.22816
Lawrence,MA,42.70704,-71.16311
Lee,MA,42.30425,-73.24816
Leicester,MA,42.24593,-71.90868
Lenox,MA,42.35648,-73.28483
Leominster,MA,42.52509,-71.75979
Leverett,MA,42.45203,-72.50148
Lexington,MA,42.44732,-71.2245
Lincoln,MA,42.42593,-71.30395
Littleton Common,MA,42.54593,-71.47451
Longmeadow,MA,42.0501,-72.58287
Lowell,MA,42.63342,-71.31617
Ludlow,MA,42.16009,-72.47592
Lunenburg,MA,42.59453,-71.72452
Lynn,MA,42.46676,-70.94949
Lynnfield,MA,42.53898,-71.04811
Malden,MA,42.4251,-71.06616
Manchester-by-the-Sea,MA,42.57787,-70.76894
Mansfield,MA,42.03343,-71.21894
Mansfield Center,MA,42.02262,-71.21808
Marblehead,MA,42.5001,-70.85783
Marion,MA,41.7001,-70.76281
Marion Center,MA,41.70424,-70.76286
Marlborough,MA,42.34593,-71.55229
Marshfield,MA,42.09177,-70.70559
Marshfield Hills,MA,42.14594,-70.73976
Marstons Mills,MA,41.65622,-70.41614
Mashpee,MA,41.64844,-70.48114
Mattapoisett,MA,41.65844,-70.81615
Mattapoisett Center,MA,41.66595,-70.8072
Maynard,MA,42.43343,-71.44951
Medfield,MA,42.1876,-71.30645
Medford,MA,42.41843,-71.10616
Medway,MA,42.14176,-71.39673
Melrose,MA,42.45843,-71.06616
Mendon,MA,42.10565,-71.55229
Merrimac,MA,42.83065,-71.00228
Methuen,MA,42.7262,-71.19089
Middleborough,MA,41.89316,-70.91115
Middleborough Center,MA,41.8946,-70.92618
Middlesex County,MA,42.48555,-71.39184
Middleton,MA,42.59509,-71.01616
Milford,MA,42.13982,-71.51617
Millbury,MA,42.19398,-71.76007
Millers Falls,MA,42.58203,-72.49259
Millis,MA,42.1676,-71.35784
Millis-Clicquot,MA,42.1648,-71.35442
Millville,MA,42.02788,-71.5809
Milton,MA,42.24954,-71.06616
Monson,MA,42.10426,-72.31897
Monson Center,MA,42.09898,-72.30481
Montague,MA,42.53564,-72.53509
Monument Beach,MA,41.71955,-70.61198
Nahant,MA,42.42649,-70.91894
Nantucket,MA,41.28346,-70.09946
Nantucket County,MA,41.26955,-70.02171
Natick,MA,42.28343,-71.3495
Needham,MA,42.28343,-71.23283
New Bedford,MA,41.63526,-70.92701
New Marlborough,MA,42.12287,-73.22872
Newburyport,MA,42.81259,-70.87728
Newton,MA,42.33704,-71.20922
