name,state_code,latitude,longitude
Acton,ME,43.53425,-70.90978
Addison,ME,44.61841,-67.74416
Albion,ME,44.53229,-69.44254
Alfred,ME,43.47647,-70.71839
Androscoggin County,ME,44.16585,-70.20645
Appleton,ME,44.28924,-69.25088
Aroostook County,ME,46.65881,-68.59889
Arundel,ME,43.38259,-70.47783
Auburn,ME,44.09785,-70.23117
Augusta,ME,44.31062,-69.77949
Bangor,ME,44.80118,-68.77781
Bar Harbor,ME,44.38758,-68.2039
Bath,ME,43.91064,-69.8206
Belfast,ME,44.42591,-69.00642
Belgrade,ME,44.44729,-69.83255
Benton,ME,44.58618,-69.55088
Berwick,ME,43.26592,-70.8645
Bethel,ME,44.40423,-70.79062
Biddeford,ME,43.49258,-70.45338
Boothbay,ME,43.87647,-69.63366
Boothbay Harbor,ME,43.8523,-69.6281
Bradford,ME,45.06673,-68.93781
Bradley,ME,44.9209,-68.62809
Brewer,ME,44.79674,-68.76142
Bridgton,ME,44.05479,-70.71284
Bristol,ME,43.95758,-69.50921
Brooks,ME,44.55035,-69.12087
Brownfield,ME,43.93813,-70.90868
Brownville,ME,45.307,-69.03337
Brunswick,ME,43.91452,-69.96533
Buckfield,ME,44.28951,-70.36534
Bucksport,ME,44.57369,-68.79559
Burnham,ME,44.69284,-69.42755
Buxton,ME,43.63786,-70.51894
Calais,ME,45.18376,-67.27662
Camden,ME,44.2098,-69.06476
Canaan,ME,44.76173,-69.56144
Canton,ME,44.4408,-70.31649
Cape Neddick,ME,43.1937,-70.62089
Caribou,ME,46.8606,-68.01197
Carmel,ME,44.79757,-69.05115
Castine,ME,44.38785,-68.79975
Charleston,ME,45.08506,-69.04059
Chelsea,ME,44.25035,-69.71727
Cherryfield,ME,44.6073,-67.92584
Chesterville,ME,44.55117,-70.08617
China,ME,44.47868,-69.51726
Chisholm,ME,44.48145,-70.1995
Clinton,ME,44.63784,-69.5031
Corinna,ME,44.92117,-69.26171
Cornish,ME,43.8048,-70.80117
Cornville,ME,44.83673,-69.67311
Cumberland Center,ME,43.79647,-70.25894
Cumberland County,ME,43.80608,-70.3302
Cushing,ME,44.01925,-69.23977
Damariscotta,ME,44.03286,-69.51866
Dayton,ME,43.54972,-70.57555
Dedham,ME,44.69174,-68.66198
Deer Isle,ME,44.22397,-68.67753
Denmark,ME,43.97035,-70.8034
Dexter,ME,45.02395,-69.28977
Dixfield,ME,44.53395,-70.4559
Dixmont,ME,44.68035,-69.16282
Dover-Foxcroft,ME,45.18339,-69.22699
East Machias,ME,44.73924,-67.38999
East Millinocket,ME,45.62755,-68.57448
Easton,ME,46.64115,-67.90947
Eastport,ME,44.90619,-66.98998
Eddington,ME,44.82618,-68.69337
Edgecomb,ME,43.95841,-69.6306
Eliot,ME,43.15314,-70.80006
Ellsworth,ME,44.54341,-68.41946
Enfield,ME,45.24894,-68.56836
Etna,ME,44.8209,-69.11115
Fairfield,ME,44.5884,-69.59866
Falmouth,ME,43.72953,-70.24199
Falmouth Foreside,ME,43.7348,-70.20783
Farmingdale,ME,44.24451,-69.77143
Farmington,ME,44.67062,-70.15117
Fayette,ME,44.40896,-70.03367
Fort Fairfield,ME,46.77227,-67.83391
Fort Kent,ME,47.25865,-68.58949
Frankfort,ME,44.6098,-68.8767
Franklin,ME,44.58702,-68.23224
Franklin County,ME,44.97417,-70.4441
Freeport,ME,43.85702,-70.10311
Frenchville,ME,47.28087,-68.37976
Friendship,ME,43.98369,-69.33394
Fryeburg,ME,44.01646,-70.98062
Gardiner,ME,44.23007,-69.77532
Garland,ME,45.0384,-69.16032
Gorham,ME,43.67952,-70.44422
Gouldsboro,ME,44.47841,-68.03834
Greenbush,ME,45.08034,-68.65086
Greene,ME,44.18979,-70.14033
Greenville,ME,45.45949,-69.59061
Hallowell,ME,44.2859,-69.79088
Hampden,ME,44.74452,-68.83698
Hancock,ME,44.52924,-68.25363
Hancock County,ME,44.56289,-68.36821
Harpswell Center,ME,43.80175,-69.98421
Harrison,ME,44.11035,-70.67923
Hartford,ME,44.37284,-70.34673
Hebron,ME,44.19813,-70.40645
Hermon,ME,44.81007,-68.91337
Hiram,ME,43.87868,-70.8034
Hodgdon,ME,46.05394,-67.86668
Holden,ME,44.75285,-68.67892
Hollis Center,ME,43.60508,-70.59311
Hope,ME,44.26508,-69.15893
Houlton,ME,46.12616,-67.8403
Howland,ME,45.23867,-68.66364
Hudson,ME,45.00118,-68.88059
Jay,ME,44.50395,-70.21617
Jefferson,ME,44.20674,-69.45254
Jonesport,ME,44.53286,-67.59833
Kenduskeag,ME,44.91951,-68.9317
Kennebec County,ME,44.40916,-69.76726
Kennebunk,ME,43.38397,-70.54478
Kennebunkport,ME,43.36175,-70.47672
Kingfield,ME,44.95922,-70.15395
Kittery,ME,43.08814,-70.73616
Kittery Point,ME,43.08342,-70.70783
Knox County,ME,44.07575,-69.12598
Lake Arrowhead,ME,43.66369,-70.73478
Lebanon,ME,43.39453,-70.85089
Leeds,ME,44.3034,-70.1195
Levant,ME,44.86924,-68.93476
Lewiston,ME,44.10035,-70.21478
Limerick,ME,43.68841,-70.79367
Limestone,ME,46.90866,-67.82585
Limington,ME,43.73174,-70.71089
Lincoln,ME,45.36228,-68.50502
Lincoln County,ME,43.99779,-69.52576
Lincolnville,ME,44.28119,-69.00865
Lisbon,ME,44.03146,-70.1045
Lisbon Falls,ME,43.99619,-70.06061
Livermore,ME,44.38396,-70.24922
Livermore Falls,ME,44.47534,-70.18811
Lovell,ME,44.12674,-70.89173
Machias,ME,44.71508,-67.46138
Machiasport,ME,44.69869,-67.39471
Madawaska,ME,46.88421,-67.94725
Madison,ME,44.79756,-69.87978
Manchester,ME,44.32451,-69.86033
Mechanic Falls,ME,44.11174,-70.39172
Medway,ME,45.60894,-68.53086
Mexico,ME,44.5609,-70.54534
Milbridge,ME,44.53536,-67.88083
Milford,ME,44.94618,-68.64392
Millinocket,ME,45.65727,-68.70976
Milo,ME,45.25366,-68.98587
Minot,ME,44.08563,-70.32006
Monmouth,ME,44.23868,-70.03561
Mount Vernon,ME,44.50118,-69.98756
New Gloucester,ME,43.96285,-70.28255
New Sharon,ME,44.63895,-70.01561
Newfield,ME,43.64813,-70.84701
Newport,ME,44.83534,-69.27394
Nobleboro,ME,44.07952,-69.48505
Norridgewock,ME,44.71312,-69.79061
