name,state_code,latitude,longitude
Adair County,MO,40.19056,-92.60072
Adrian,MO,38.39752,-94.35162
Advance,MO,37.10455,-89.90953
Affton,MO,38.55061,-90.33317
Albany,MO,40.24861,-94.33107
Alton,MO,36.69423,-91.3993
Anderson,MO,36.65063,-94.44355
Andrew County,MO,39.98349,-94.80205
Appleton City,MO,38.19058,-94.02939
Archie,MO,38.48168,-94.35439
Arnold,MO,38.43283,-90.37762
Ash Grove,MO,37.31533,-93.5852
Ashland,MO,38.77448,-92.25713
Atchison County,MO,40.43085,-95.42809
Audrain County,MO,39.21576,-91.84159
Aurora,MO,36.97089,-93.71798
Ava,MO,36.952,-92.66045
Ballwin,MO,38.59505,-90.54623
Barnhart,MO,38.34422,-90.39345
Barry County,MO,36.70987,-93.82907
Barton County,MO,37.5023,-94.34711
Bates County,MO,38.25729,-94.34
Battlefield,MO,37.11561,-93.37019
Bel-Nor,MO,38.702,-90.31678
Bel-Ridge,MO,38.7095,-90.32539
Belle,MO,38.28588,-91.72044
Bellefontaine Neighbors,MO,38.74033,-90.2265
Belton,MO,38.81195,-94.5319
Benton,MO,37.09783,-89.56258
Benton County,MO,38.29485,-93.28795
Berkeley,MO,38.7545,-90.33123
Bernie,MO,36.66894,-89.9687
Bethany,MO,40.26833,-94.02829
Billings,MO,37.06755,-93.55214
Bismarck,MO,37.76922,-90.62485
Black Jack,MO,38.79338,-90.26733
Bloomfield,MO,36.88589,-89.92926
Blue Springs,MO,39.01695,-94.28161
Bolivar,MO,37.61448,-93.41047
Bollinger County,MO,37.32219,-90.02595
Bonne Terre,MO,37.92311,-90.5554
Boone County,MO,38.99062,-92.30968
Boonville,MO,38.97364,-92.74324
Bourbon,MO,38.15477,-91.24403
Bowling Green,MO,39.34199,-91.19514
Branson,MO,36.64367,-93.21851
Breckenridge Hills,MO,38.7145,-90.36734
Brentwood,MO,38.61755,-90.34928
Bridgeton,MO,38.767,-90.41151
Brookfield,MO,39.78447,-93.07353
Buchanan County,MO,39.65986,-94.80616
Buckner,MO,39.13251,-94.19856
Buffalo,MO,37.64393,-93.09241
Butler,MO,38.25863,-94.33051
Butler County,MO,36.71642,-90.40656
Byrnes Mill,MO,38.43783,-90.58179
Cabool,MO,37.12394,-92.10127
Caldwell County,MO,39.65575,-93.9828
California,MO,38.62753,-92.56658
Callaway County,MO,38.83552,-91.92601
Calverton Park,MO,38.76477,-90.31373
Camden County,MO,38.02704,-92.76605
Camdenton,MO,38.00809,-92.74463
Cameron,MO,39.74028,-94.24106
Campbell,MO,36.49339,-90.07509
Canton,MO,40.12504,-91.62516
Cape Girardeau,MO,37.30588,-89.51815
Cape Girardeau County,MO,37.38404,-89.68445
Carl Junction,MO,37.17672,-94.56551
Carroll County,MO,39.42698,-93.50518
Carrollton,MO,39.35835,-93.49577
Carter County,MO,36.94127,-90.96231
Carterville,MO,37.14923,-94.443
Carthage,MO,37.17645,-94.31022
Caruthersville,MO,36.19312,-89.65564
Cass County,MO,38.647,-94.35482
Cassville,MO,36.67701,-93.86881
Castle Point,MO,38.75811,-90.24817
Cedar County,MO,37.72385,-93.85661
Cedar Hill,MO,38.35339,-90.64124
Centerville,MO,37.43505,-90.95846
Centralia,MO,39.21032,-92.13795
Chaffee,MO,37.18005,-89.65509
Chariton County,MO,39.51508,-92.96262
Charlack,MO,38.70255,-90.34345
Charleston,MO,36.92089,-89.35063
Chesterfield,MO,38.66311,-90.57707
Chillicothe,MO,39.79529,-93.55244
Christian County,MO,36.96957,-93.18885
City of Saint Louis,MO,38.62727,-90.19789
Clark County,MO,40.41036,-91.7384
Clarkson Valley,MO,38.61839,-90.58929
Clarkton,MO,36.45173,-89.96704
Clay County,MO,39.31052,-94.42087
Claycomo,MO,39.2025,-94.49245
Clayton,MO,38.64255,-90.32373
Clever,MO,37.03033,-93.47297
Clinton,MO,38.36863,-93.77827
Clinton County,MO,39.60178,-94.40459
Cole Camp,MO,38.46002,-93.2027
Cole County,MO,38.50541,-92.2816
Columbia,MO,38.95171,-92.33407
Concord,MO,38.5245,-90.35734
Concordia,MO,38.98335,-93.56855
Cool Valley,MO,38.72783,-90.31011
Cooper County,MO,38.84354,-92.81012
Cottleville,MO,38.74616,-90.65401
Country Club Hills,MO,38.72088,-90.27484
Country Club Village,MO,39.83222,-94.82163
Crane,MO,36.90534,-93.57158
Crawford County,MO,37.97638,-91.30396
Crestwood,MO,38.557,-90.38178
Creve Coeur,MO,38.66089,-90.42262
Crocker,MO,37.94893,-92.26378
Crystal City,MO,38.22117,-90.37901
Cuba,MO,38.06282,-91.40348
Dade County,MO,37.43204,-93.85029
Dallas County,MO,37.68041,-93.02366
Dardenne Prairie,MO,38.7695,-90.72902
Daviess County,MO,39.96075,-93.98547
De Soto,MO,38.1395,-90.55513
