name,state_code,latitude,longitude
Aberdeen,NC,35.13155,-79.42948
Advance,NC,35.94125,-80.40922
Ahoskie,NC,36.28682,-76.98468
Alamance County,NC,36.04407,-79.39951
Albemarle,NC,35.35014,-80.20006
Alexander County,NC,35.92102,-81.17702
Alleghany County,NC,36.49134,-81.12719
Andrews,NC,35.20175,-83.82407
Angier,NC,35.5071,-78.73918
Anson County,NC,34.97383,-80.10273
Apex,NC,35.73265,-78.85029
Archdale,NC,35.91458,-79.97198
Archer Lodge,NC,35.69404,-78.37556
Ashe County,NC,36.43416,-81.50034
Asheboro,NC,35.70791,-79.81364
Asheville,NC,35.60095,-82.55402
Atlantic Beach,NC,34.69905,-76.74021
Avery County,NC,36.07661,-81.92247
Avery Creek,NC,35.46345,-82.58262
Ayden,NC,35.47266,-77.41552
Badin,NC,35.40597,-80.11672
Bakersville,NC,36.01567,-82.15874
Balfour,NC,35.34651,-82.47206
Banner Elk,NC,36.16318,-81.8715
Barker Heights,NC,35.31123,-82.44401
Bayboro,NC,35.14294,-76.77021
Bayshore,NC,34.28961,-77.78748
Beaufort,NC,34.71822,-76.66382
Beaufort County,NC,35.48583,-76.84516
Belhaven,NC,35.54017,-76.62299
Belmont,NC,35.24292,-81.0373
Belville,NC,34.23073,-77.96582
Benson,NC,35.38211,-78.54862
Bent Creek,NC,35.509,-82.6079
Bermuda Run,NC,36.00375,-80.422
Bertie County,NC,36.06556,-76.9666
Bessemer City,NC,35.28486,-81.28397
Bethel,NC,35.8071,-77.37886
Bethlehem,NC,35.82569,-81.30703
Beulaville,NC,34.92378,-77.77387
Biltmore Forest,NC,35.53372,-82.52846
Biscoe,NC,35.35986,-79.77976
Black Mountain,NC,35.6179,-82.32123
Bladen County,NC,34.61431,-78.56318
Bladenboro,NC,34.53878,-78.78752
Blowing Rock,NC,36.13513,-81.67761
Boiling Spring Lakes,NC,34.03045,-78.06721
Boiling Springs,NC,35.25429,-81.66704
Bolivia,NC,34.06767,-78.14833
Boone,NC,36.21679,-81.67455
Boonville,NC,36.23264,-80.70812
Brevard,NC,35.23345,-82.73429
Brices Creek,NC,35.05599,-77.08773
Broad Creek,NC,34.72072,-76.93633
Broadway,NC,35.45793,-79.05308
Brogden,NC,35.29266,-78.03443
Brunswick,NC,34.28684,-78.70113
Brunswick County,NC,34.03897,-78.22728
Bryson City,NC,35.43127,-83.44944
Buies Creek,NC,35.41322,-78.73557
Buncombe County,NC,35.61122,-82.5301
Burgaw,NC,34.55211,-77.9261
Burke County,NC,35.74952,-81.7047
Burlington,NC,36.09569,-79.4378
Burnsville,NC,35.91734,-82.30096
Butner,NC,36.13209,-78.75667
Buxton,NC,35.26768,-75.54237
Cabarrus County,NC,35.38687,-80.55204
Cajahs Mountain,NC,35.83485,-81.54148
Calabash,NC,33.89073,-78.56834
Caldwell County,NC,35.95297,-81.54655
Camden,NC,36.32849,-76.17188
Camden County,NC,36.34145,-76.16112
Canton,NC,35.53288,-82.83736
Cape Carteret,NC,34.69155,-77.063
Carolina Beach,NC,34.03517,-77.8936
Carolina Shores,NC,33.90101,-78.58057
Carrboro,NC,35.91014,-79.07529
Carteret County,NC,34.86401,-76.53249
Carthage,NC,35.34599,-79.41697
Cary,NC,35.79154,-78.78112
Castle Hayne,NC,34.35572,-77.89999
Caswell County,NC,36.39335,-79.33359
Catawba County,NC,35.66261,-81.21448
Cedar Point,NC,34.68766,-77.07245
Chadbourn,NC,34.32211,-78.82697
Chapel Hill,NC,35.9132,-79.05584
Charlotte,NC,35.22709,-80.84313
Chatham County,NC,35.70258,-79.25535
Cherokee,NC,35.47427,-83.31487
Cherokee County,NC,35.13384,-84.06347
Cherryville,NC,35.37874,-81.37897
China Grove,NC,35.56931,-80.58173
Chowan County,NC,36.12656,-76.60216
Claremont,NC,35.71458,-81.14619
Clay County,NC,35.05719,-83.75021
Clayton,NC,35.65071,-78.45639
Clemmons,NC,36.02153,-80.382
Cleveland County,NC,35.33411,-81.55561
Clinton,NC,34.99795,-78.32333
Clyde,NC,35.53344,-82.91069
Coats,NC,35.40794,-78.67196
Columbia,NC,35.91766,-76.25215
Columbus,NC,35.25317,-82.19706
Columbus County,NC,34.2654,-78.65507
Concord,NC,35.40888,-80.58158
Connelly Springs,NC,35.74291,-81.51343
Conover,NC,35.70652,-81.21869
Cordova,NC,34.91293,-79.822
Cornelius,NC,35.4868,-80.86007
Cove Creek,NC,35.60649,-83.01125
Cramerton,NC,35.23875,-81.07508
Craven County,NC,35.11722,-77.08263
Creedmoor,NC,36.12237,-78.68611
Cricket,NC,36.17152,-81.19398
Cullowhee,NC,35.31371,-83.17653
Cumberland County,NC,35.04859,-78.82744
Currituck,NC,36.44988,-76.01548
Currituck County,NC,36.36724,-75.93683
Dallas,NC,35.31653,-81.17619
Dana,NC,35.32928,-82.3754
Danbury,NC,36.4093,-80.20588
Dare County,NC,35.78663,-75.78094
Davidson,NC,35.50233,-80.83912
Davidson County,NC,35.79328,-80.21269
Davie County,NC,35.92916,-80.54447
Denton,NC,35.63347,-80.11588
Denver,NC,35.53125,-81.0298
Dobson,NC,36.39569,-80.72257
Drexel,NC,35.75791,-81.60426
Dunn,NC,35.30627,-78.6089
Duplin County,NC,34.93628,-77.93294
Durham,NC,35.99403,-78.89862
Durham County,NC,36.036,-78.87632
East Flat Rock,NC,35.28012,-82.42206
East Rockingham,NC,34.91821,-79.76256
East Spencer,NC,35.68181,-80.43228
Eastover,NC,35.1,-78.8
Eden,NC,36.48847,-79.7667
Edenton,NC,36.05794,-76.60772
Edgecombe County,NC,35.91298,-77.59707
Edneyville,NC,35.39401,-82.34095
Elizabeth City,NC,36.2946,-76.25105
Elizabethtown,NC,34.62934,-78.60529
Elkin,NC,36.2443,-80.8484
Ellerbe,NC,35.07126,-79.76144
Elm City,NC,35.80655,-77.86332
Elon,NC,36.10291,-79.50669
