name,state_code,latitude,longitude
Adams County,ND,46.09684,-102.52853
Amidon,ND,46.48223,-103.32185
Ashley,ND,46.03414,-99.3715
Barnes County,ND,46.93611,-98.07158
Beach,ND,46.91807,-104.00437
Belcourt,ND,48.83917,-99.74487
Belfield,ND,46.88529,-103.19962
Benson County,ND,48.06939,-99.36603
Beulah,ND,47.26334,-101.77795
Billings County,ND,47.02345,-103.37643
Bismarck,ND,46.80833,-100.78374
Bottineau,ND,48.82723,-100.4457
Bottineau County,ND,48.79216,-100.83333
Bowbells,ND,48.80308,-102.246
Bowman,ND,46.18306,-103.39491
Bowman County,ND,46.11261,-103.52067
Burke County,ND,48.791,-102.51826
Burleigh County,ND,46.97739,-100.46873
Burlington,ND,48.27529,-101.42878
Cando,ND,48.48667,-99.20986
Carrington,ND,47.44972,-99.12622
Carson,ND,46.41778,-101.56487
Cass County,ND,46.93297,-97.24804
Casselton,ND,46.90053,-97.2112
Cavalier,ND,48.79388,-97.62231
Cavalier County,ND,48.7723,-98.46486
Center,ND,47.11638,-101.29959
Cooperstown,ND,47.44444,-98.12398
Crosby,ND,48.9142,-103.29491
Devils Lake,ND,48.11278,-98.86512
Dickey County,ND,46.11012,-98.50467
Dickinson,ND,46.87918,-102.78962
Divide County,ND,48.81489,-103.48735
Dunn County,ND,47.35675,-102.61824
Eddy County,ND,47.71759,-98.90158
Ellendale,ND,46.00275,-98.52705
Emmons County,ND,46.28502,-100.23878
Fargo,ND,46.87719,-96.7898
Fessenden,ND,47.64917,-99.62929
Finley,ND,47.51416,-97.83593
Forman,ND,46.10774,-97.63649
Fort Totten,ND,47.98,-98.9929
Fort Yates,ND,46.08694,-100.63013
Foster County,ND,47.45708,-98.88302
Garrison,ND,47.65222,-101.41572
Golden Valley County,ND,46.94022,-103.8467
Grafton,ND,48.41221,-97.41063
Grand Forks,ND,47.92526,-97.03285
Grand Forks Air Force Base,ND,47.95493,-97.38664
Grand Forks County,ND,47.92192,-97.45693
Grant County,ND,46.35828,-101.63971
Griggs County,ND,47.45729,-98.23704
Harvey,ND,47.76972,-99.9354
Hazen,ND,47.29445,-101.62266
Hettinger,ND,46.00139,-102.63682
Hettinger County,ND,46.43253,-102.46036
Hillsboro,ND,47.40387,-97.06203
Horace,ND,46.75886,-96.9037
Jamestown,ND,46.91054,-98.70844
Kenmare,ND,48.67475,-102.08266
Kidder County,ND,46.98014,-99.78009
Killdeer,ND,47.37196,-102.75408
Lakota,ND,48.04278,-98.33621
LaMoure County,ND,46.45691,-98.53546
Langdon,ND,48.76,-98.36817
Larimore,ND,47.90666,-97.62675
Lincoln,ND,46.76249,-100.7004
Linton,ND,46.26666,-100.23289
Lisbon,ND,46.44163,-97.68121
Logan County,ND,46.45736,-99.47747
Mandan,ND,46.82666,-100.88958
Manning,ND,47.23001,-102.77019
Mayville,ND,47.49804,-97.32454
McClusky,ND,47.48583,-100.44318
McHenry County,ND,48.23458,-100.63628
McIntosh County,ND,46.11179,-99.4412
McKenzie County,ND,47.74015,-103.39527
McLean County,ND,47.60696,-101.32183
Medora,ND,46.9139,-103.52435
Mercer County,ND,47.30922,-101.83153
Minnewaukan,ND,48.07139,-99.25236
Minot,ND,48.23251,-101.29627
Minot Air Force Base,ND,48.42087,-101.33914
Mohall,ND,48.76336,-101.51322
Morton County,ND,46.71606,-101.28117
Mott,ND,46.3725,-102.32711
Mountrail County,ND,48.20133,-102.35565
Napoleon,ND,46.50831,-99.77122
Nelson County,ND,47.92169,-98.19204
New Rockford,ND,47.68,-99.1379
New Town,ND,47.98085,-102.49018
Oakes,ND,46.13858,-98.09038
Oliver County,ND,47.11528,-101.34036
Park River,ND,48.3986,-97.7412
Parshall,ND,47.95335,-102.13489
Pembina County,ND,48.76752,-97.55183
Pierce County,ND,48.2496,-99.97182
Ramsey County,ND,48.26893,-98.72014
Ransom County,ND,46.45616,-97.65745
Renville County,ND,48.71907,-101.65778
Richland County,ND,46.26466,-96.94828
Rolette County,ND,48.77245,-99.84099
Rolla,ND,48.85778,-99.61792
Rugby,ND,48.36889,-99.99625
Sargent County,ND,46.10794,-97.63072
Sheldon,ND,46.5858,-97.4912
Shell Valley,ND,48.79806,-99.86486
Sheridan County,ND,47.57541,-100.34566
Sioux County,ND,46.11265,-101.04034
Slope County,ND,46.44722,-103.4599
Stanley,ND,48.31724,-102.39045
Stanton,ND,47.32111,-101.38155
Stark County,ND,46.81068,-102.65513
Steele,ND,46.85471,-99.91594
Steele County,ND,47.45615,-97.72467
Stutsman County,ND,46.97925,-98.95883
Surrey,ND,48.2364,-101.13349
Thompson,ND,47.77359,-97.1098
Tioga,ND,48.39724,-102.93824
Towner,ND,48.34583,-100.40541
Towner County,ND,48.68554,-99.2458
Traill County,ND,47.45418,-97.16158
Valley City,ND,46.92331,-98.00315
Velva,ND,48.05612,-100.92932
Wahpeton,ND,46.26524,-96.60591
Walsh County,ND,48.36946,-97.72137
Ward County,ND,48.22175,-101.54183
Washburn,ND,47.28916,-101.02903
Watford City,ND,47.80224,-103.28325
Wells County,ND,47.58753,-99.66095
West Fargo,ND,46.87497,-96.90036
Williams County,ND,48.34368,-103.48021
Williston,ND,48.14697,-103.61797
