name,state_code,latitude,longitude
Adams County,NE,40.52447,-98.50121
Ainsworth,NE,42.55,-99.86262
Albion,NE,41.69084,-98.00367
Alliance,NE,42.10163,-102.87215
Alma,NE,40.09751,-99.36204
Antelope County,NE,42.1769,-98.06669
Arapahoe,NE,40.30417,-99.9004
Arlington,NE,41.4525,-96.35113
Arthur,NE,41.57165,-101.69156
Arthur County,NE,41.5689,-101.69591
Ashland,NE,41.03916,-96.36835
Atkinson,NE,42.53139,-98.97815
Auburn,NE,40.39278,-95.83889
Aurora,NE,40.86723,-98.00422
Banner County,NE,41.54597,-103.71048
Bartlett,NE,41.88529,-98.5523
Bassett,NE,42.58583,-99.53789
Battle Creek,NE,41.99945,-97.59839
Bayard,NE,41.75497,-103.3241
Beatrice,NE,40.26806,-96.74697
Beaver City,NE,40.13751,-99.82956
Bellevue,NE,41.13667,-95.89084
Benkelman,NE,40.04916,-101.53294
Bennington,NE,41.36472,-96.1578
Blaine County,NE,41.91276,-99.9769
Blair,NE,41.54444,-96.12502
Boone County,NE,41.70678,-98.06726
Box Butte County,NE,42.21977,-103.08568
Boyd County,NE,42.89968,-98.76646
Brewster,NE,41.93889,-99.86485
Bridgeport,NE,41.66525,-103.0991
Broken Bow,NE,41.40195,-99.63928
Brown County,NE,42.43002,-99.92951
Buffalo County,NE,40.85515,-99.07497
Burt County,NE,41.85156,-96.3286
Burwell,NE,41.78167,-99.13315
Butler County,NE,41.22608,-97.13177
Butte,NE,42.91139,-98.84926
Cambridge,NE,40.28195,-100.16569
Cass County,NE,40.90972,-96.14087
Cedar County,NE,42.59926,-97.2524
Center,NE,42.60945,-97.87673
Central City,NE,41.11585,-98.00172
Chadron,NE,42.82942,-102.99991
Chalco,NE,41.18389,-96.1503
Chappell,NE,41.09277,-102.47074
Chase County,NE,40.5242,-101.69795
Cherry County,NE,42.54493,-101.11858
Cheyenne County,NE,41.21978,-102.99498
Clay Center,NE,40.52168,-98.05533
Clay County,NE,40.52443,-98.05128
Colfax County,NE,41.57402,-97.08646
Columbus,NE,41.42973,-97.36838
Cozad,NE,40.85973,-99.98734
Creighton,NE,42.46667,-97.90618
Crete,NE,40.62778,-96.96142
Cuming County,NE,41.9164,-96.7874
Custer County,NE,41.39426,-99.72614
Dakota City,NE,42.41555,-96.41836
Dakota County,NE,42.39111,-96.56451
David City,NE,41.25279,-97.13004
Dawes County,NE,42.71972,-103.13544
Dawson County,NE,40.86994,-99.81957
Deuel County,NE,41.1116,-102.33395
Dixon County,NE,42.49319,-96.86775
Dodge County,NE,41.57789,-96.65398
Douglas County,NE,41.29535,-96.15448
Dundy County,NE,40.17624,-101.68796
Eagle,NE,40.81667,-96.43029
Elkhorn,NE,41.28639,-96.23447
Elwood,NE,40.59028,-99.86095
Fairbury,NE,40.13722,-97.18059
Falls City,NE,40.06084,-95.60193
Fillmore County,NE,40.52467,-97.5965
Franklin,NE,40.09612,-98.95258
Franklin County,NE,40.17634,-98.9528
Fremont,NE,41.43333,-96.49808
Friend,NE,40.65362,-97.28616
Frontier County,NE,40.53008,-100.3942
Fullerton,NE,41.36335,-97.96923
Furnas County,NE,40.17647,-99.91227
