name,state_code,latitude,longitude
Alamo,NV,37.36496,-115.16446
Battle Mountain,NV,40.64213,-116.93427
Beatty,NV,36.90856,-116.75923
Boulder City,NV,35.97859,-114.83249
Bunkerville,NV,36.77303,-114.12802
Caliente,NV,37.61496,-114.51194
Carlin,NV,40.71381,-116.10397
Carson City,NV,39.1638,-119.7674
Churchill County,NV,39.58088,-118.33578
Clark County,NV,36.2152,-115.01356
Cold Springs,NV,39.68019,-119.97659
Dayton,NV,39.23714,-119.59295
Douglas County,NV,38.91224,-119.61637
East Valley,NV,38.9434,-119.69923
Elko,NV,40.83242,-115.76312
Elko County,NV,41.14583,-115.35776
Ely,NV,39.24744,-114.88863
Enterprise,NV,36.02525,-115.24194
Esmeralda County,NV,37.7847,-117.63237
Eureka,NV,39.51271,-115.96061
Eureka County,NV,39.98389,-116.26856
Fallon,NV,39.47353,-118.77737
Fernley,NV,39.60797,-119.25183
Gardnerville,NV,38.9413,-119.74962
Gardnerville Ranchos,NV,38.88824,-119.74129
Golden Valley,NV,39.61547,-119.82658
Goldfield,NV,37.70854,-117.23563
Hawthorne,NV,38.52464,-118.62458
Henderson,NV,36.0397,-114.98194
Humboldt County,NV,41.40684,-118.11197
Incline Village,NV,39.2513,-119.97297
Indian Hills,NV,39.08602,-119.78407
Jackpot,NV,41.98324,-114.67476
Johnson Lane,NV,39.04796,-119.72212
Kingsbury,NV,38.97713,-119.90685
Lander County,NV,39.93381,-117.03791
Las Vegas,NV,36.17497,-115.13722
Laughlin,NV,35.16778,-114.57302
Lemmon Valley,NV,39.63602,-119.84325
Lincoln County,NV,37.64335,-114.87755
Lovelock,NV,40.17935,-118.47348
Lyon County,NV,39.0204,-119.1892
McGill,NV,39.40494,-114.77863
Mesquite,NV,36.80553,-114.06719
Minden,NV,38.95407,-119.76573
Mineral County,NV,38.53881,-118.43521
Moapa Town,NV,36.68219,-114.59416
Moapa Valley,NV,36.58053,-114.47026
Mogul,NV,39.5138,-119.92603
Nellis Air Force Base,NV,36.24607,-115.05721
North Las Vegas,NV,36.19886,-115.1175
Nye County,NV,38.04238,-116.47193
Pahrump,NV,36.20829,-115.98391
Paradise,NV,36.09719,-115.14666
Pershing County,NV,40.44036,-118.40444
Pioche,NV,37.92969,-114.45221
Reno,NV,39.52963,-119.8138
Sandy Valley,NV,35.81692,-115.63223
Silver Springs,NV,39.41547,-119.22461
Smith,NV,38.80047,-119.32738
Smith Valley,NV,38.78421,-119.34425
Spanish Springs,NV,39.64908,-119.70741
Sparks,NV,39.53491,-119.75269
Spring Creek,NV,40.72659,-115.5859
Spring Valley,NV,36.10803,-115.245
Stagecoach,NV,39.3738,-119.37406
Storey County,NV,39.44653,-119.52917
Summerlin South,NV,36.11708,-115.33001
Sun Valley,NV,39.5963,-119.77602
Sunrise Manor,NV,36.21108,-115.07306
Tonopah,NV,38.06716,-117.23008
Topaz Ranch Estates,NV,38.73565,-119.50079
Verdi,NV,39.51824,-119.98881
Virginia City,NV,39.30963,-119.64962
Washoe County,NV,40.66542,-119.6643
Wells,NV,41.11159,-114.96449
West Wendover,NV,40.7391,-114.07335
White Pine County,NV,39.44216,-114.90159
Whitney,NV,36.09831,-115.0363
Winchester,NV,36.12997,-115.11889
Winnemucca,NV,40.97296,-117.73568
Yerington,NV,38.98575,-119.16293
