name,state_code,latitude,longitude
Ada,OH,40.7695,-83.82271
Adams County,OH,38.84551,-83.47215
Akron,OH,41.08144,-81.51901
Allen County,OH,40.77152,-84.10578
Alliance,OH,40.91534,-81.10593
Amberley,OH,39.20478,-84.428
Amelia,OH,39.0284,-84.21771
Amherst,OH,41.39782,-82.22238
Andover,OH,41.60672,-80.5723
Anna,OH,40.39449,-84.17272
Ansonia,OH,40.21449,-84.6369
Antwerp,OH,41.18144,-84.74051
Apple Creek,OH,40.75172,-81.8393
Apple Valley,OH,40.4389,-82.35391
Arcanum,OH,39.99005,-84.55329
Archbold,OH,41.52144,-84.30717
Arlington,OH,40.89366,-83.65021
Ashland,OH,40.86867,-82.31822
Ashland County,OH,40.84602,-82.27069
Ashley,OH,40.40895,-82.95546
Ashtabula,OH,41.86505,-80.78981
Ashtabula County,OH,41.89638,-80.75901
Ashville,OH,39.71562,-82.95296
Athens,OH,39.32924,-82.10126
Athens County,OH,39.33386,-82.04513
Auglaize County,OH,40.56091,-84.22174
Aurora,OH,41.31755,-81.34539
Austintown,OH,41.10172,-80.76452
Avon,OH,41.45171,-82.03542
Avon Center,OH,41.45976,-82.01959
Avon Lake,OH,41.50532,-82.0282
Bainbridge,OH,41.38644,-81.33955
Ballville,OH,41.32783,-83.13214
Baltimore,OH,39.84534,-82.60072
Barberton,OH,41.01283,-81.60512
Barnesville,OH,39.98813,-81.1765
Batavia,OH,39.07701,-84.17688
Bay Village,OH,41.48477,-81.92208
Beach City,OH,40.65312,-81.58096
Beachwood,OH,41.4645,-81.50873
Beavercreek,OH,39.70923,-84.06327
Beckett Ridge,OH,39.347,-84.43522
Bedford,OH,41.39311,-81.53651
Bedford Heights,OH,41.417,-81.52734
Beechwood Trails,OH,40.02367,-82.65072
Bellaire,OH,40.01618,-80.74231
Bellbrook,OH,39.63562,-84.07077
Bellefontaine,OH,40.36116,-83.75966
Bellevue,OH,41.27366,-82.84158
Bellville,OH,40.62006,-82.51072
Belmont County,OH,40.0158,-80.98854
Belpre,OH,39.27396,-81.5729
Berea,OH,41.36616,-81.8543
Bethel,OH,38.96368,-84.08077
Bethesda,OH,40.01618,-81.0726
Beverly,OH,39.54785,-81.63957
Bexley,OH,39.96895,-82.93768
Blacklick Estates,OH,39.90506,-82.86434
Blanchester,OH,39.29312,-83.98882
Blue Ash,OH,39.232,-84.37827
Bluffton,OH,40.89533,-83.88883
Boardman,OH,41.02423,-80.66285
Bolindale,OH,41.20728,-80.77758
Boston Heights,OH,41.26478,-81.51317
Botkins,OH,40.46783,-84.1805
Bowling Green,OH,41.37477,-83.65132
Bradford,OH,40.13227,-84.43078
Bradner,OH,41.32422,-83.43854
Bratenahl,OH,41.54255,-81.62624
Brecksville,OH,41.31978,-81.62679
Bremen,OH,39.70173,-82.42682
Brewster,OH,40.707,-81.59818
Bridgeport,OH,40.06979,-80.74008
Bridgetown,OH,39.15311,-84.63717
Brilliant,OH,40.26479,-80.62619
Brimfield,OH,41.10006,-81.3465
Broadview Heights,OH,41.31394,-81.68513
Brook Park,OH,41.39838,-81.80458
Brookfield Center,OH,41.24061,-80.55785
Brooklyn,OH,41.43977,-81.73541
Brooklyn Heights,OH,41.42533,-81.68818
Brookville,OH,39.83672,-84.41134
Brown County,OH,38.93405,-83.86743
Brunswick,OH,41.23811,-81.8418
Bryan,OH,41.47477,-84.55245
Buckeye Lake,OH,39.93368,-82.47238
Bucyrus,OH,40.80839,-82.97546
Burlington,OH,38.4073,-82.53571
Burton,OH,41.47061,-81.1451
Butler County,OH,39.43865,-84.57566
Byesville,OH,39.96979,-81.53651
Cadiz,OH,40.27285,-80.99676
