name,state_code,latitude,longitude
Albany,OR,44.63651,-123.10593
Aloha,OR,45.49428,-122.86705
Altamont,OR,42.20681,-121.73722
Amity,OR,45.11567,-123.20733
Ashland,OR,42.19458,-122.70948
Astoria,OR,46.18788,-123.83125
Athena,OR,45.8118,-118.49053
Aumsville,OR,44.84095,-122.87092
Baker City,OR,44.77487,-117.83438
Baker County,OR,44.70923,-117.67534
Bandon,OR,43.119,-124.40845
Banks,OR,45.61872,-123.11428
Barview,OR,43.35428,-124.31317
Bay City,OR,45.5226,-123.8893
Beavercreek,OR,45.2879,-122.53564
Beaverton,OR,45.48706,-122.80371
Bend,OR,44.05817,-121.31531
Benton County,OR,44.49176,-123.42931
Bethany,OR,45.55789,-122.8676
Boardman,OR,45.83986,-119.70058
Brookings,OR,42.05261,-124.28398
Brownsville,OR,44.39346,-122.98481
Bunker Hill,OR,43.35595,-124.20483
Burns,OR,43.58626,-119.0541
Canby,OR,45.2629,-122.69259
Cannon Beach,OR,45.89177,-123.96153
Canyon City,OR,44.3896,-118.95023
Canyonville,OR,42.92734,-123.28117
Carlton,OR,45.29428,-123.17649
Cascade Locks,OR,45.66984,-121.89064
Cave Junction,OR,42.16289,-123.64812
Cedar Hills,OR,45.50484,-122.79843
Cedar Mill,OR,45.52484,-122.81093
Central Point,OR,42.37596,-122.91643
Chenoweth,OR,45.62762,-121.24341
Clackamas,OR,45.40762,-122.57037
Clackamas County,OR,45.18816,-122.22094
Clatskanie,OR,46.10122,-123.20679
Clatsop County,OR,46.01747,-123.71677
Coburg,OR,44.13707,-123.06648
Columbia City,OR,45.89011,-122.80705
Columbia County,OR,45.94377,-123.08805
Condon,OR,45.2343,-120.18503
Coos Bay,OR,43.3665,-124.21789
Coos County,OR,43.18501,-124.09333
Coquille,OR,43.17705,-124.18761
Cornelius,OR,45.51984,-123.05983
Corvallis,OR,44.56457,-123.26204
Cottage Grove,OR,43.79762,-123.05952
Creswell,OR,43.9179,-123.02453
Crook County,OR,44.14219,-120.35658
Culp Creek,OR,43.70346,-122.84757
Culver,OR,44.52568,-121.2131
Curry County,OR,42.46661,-124.21534
Dallas,OR,44.91928,-123.31705
Damascus,OR,45.41762,-122.45898
Dayton,OR,45.22067,-123.07621
Depoe Bay,OR,44.80845,-124.06317
Deschutes County,OR,43.91488,-121.22789
Deschutes River Woods,OR,43.99151,-121.35836
Donald,OR,45.22234,-122.83926
Douglas County,OR,43.28536,-123.17942
Drain,OR,43.65873,-123.3187
Dundee,OR,45.27817,-123.01094
Dunes City,OR,43.88318,-124.11512
Durham,OR,45.40206,-122.75287
Eagle Point,OR,42.47263,-122.80282
Elgin,OR,45.56486,-117.91743
Enterprise,OR,45.42626,-117.27878
Estacada,OR,45.28957,-122.3337
Eugene,OR,44.05207,-123.08675
Fairview,OR,45.53845,-122.43398
Florence,OR,43.98262,-124.09984
Forest Grove,OR,45.51984,-123.11066
Fossil,OR,44.99819,-120.21614
Four Corners,OR,44.9279,-122.98371
Fruitdale,OR,42.42206,-123.30811
Garden Home-Whitford,OR,45.464,-122.75891
Gearhart,OR,46.02427,-123.91125
Gervais,OR,45.10818,-122.8976
Gilliam County,OR,45.37806,-120.21087
Gladstone,OR,45.38068,-122.59481
Glide,OR,43.30151,-123.10118
Gold Beach,OR,42.40733,-124.42177
Gold Hill,OR,42.43179,-123.0506
Grand Ronde,OR,45.06011,-123.60928
Grant County,OR,44.49125,-119.00738
Grants Pass,OR,42.43933,-123.33067
Green,OR,43.16039,-123.36785
Gresham,OR,45.49818,-122.43148
Happy Valley,OR,45.44679,-122.53037
Harbor,OR,42.05317,-124.26759
Harney County,OR,43.06402,-118.96787
Harrisburg,OR,44.27401,-123.17065
Hayesville,OR,44.98595,-122.98287
Heppner,OR,45.35318,-119.5578
Hermiston,OR,45.84041,-119.28946
Hillsboro,OR,45.52289,-122.98983
Hines,OR,43.56404,-119.08105
Hood River,OR,45.7054,-121.52146
Hood River County,OR,45.51911,-121.65111
Hubbard,OR,45.18234,-122.80787
Independence,OR,44.85123,-123.18677
Irrigon,OR,45.89569,-119.49141
Island City,OR,45.34097,-118.04466
Jackson County,OR,42.43215,-122.72843
Jacksonville,OR,42.31346,-122.96699
Jefferson,OR,44.71957,-123.01037
Jefferson County,OR,44.62941,-121.17541
Jennings Lodge,OR,45.39123,-122.61259
John Day,OR,44.41599,-118.95301
Joseph,OR,45.35432,-117.22961
Josephine County,OR,42.36546,-123.55558
Junction City,OR,44.21929,-123.20565
Keizer,OR,44.99012,-123.02621
Kenton,OR,45.58178,-122.68149
King City,OR,45.40262,-122.80399
Klamath County,OR,42.68634,-121.65013
Klamath Falls,OR,42.22487,-121.78167
La Grande,OR,45.32458,-118.08772
La Pine,OR,43.6704,-121.50364
Lafayette,OR,45.24428,-123.11483
Lake County,OR,42.79339,-120.38747
Lake Oswego,OR,45.42067,-122.67065
Lakeside,OR,43.57567,-124.17511
Lakeview,OR,42.18877,-120.34579
Lane County,OR,43.94155,-122.87655
Lebanon,OR,44.53651,-122.90703
Lents,OR,45.47984,-122.56731
Lincoln Beach,OR,44.85039,-124.04678
Lincoln City,OR,44.95816,-124.01789
Lincoln County,OR,44.64568,-123.9077
Linn County,OR,44.48857,-122.53419
Lowell,OR,43.91846,-122.78368
Lyons,OR,44.77457,-122.61509
Madras,OR,44.63345,-121.12949
Malheur County,OR,43.19341,-117.62307
Marion County,OR,44.90319,-122.58473
McMinnville,OR,45.21012,-123.19872
Medford,OR,42.32652,-122.87559
Merlin,OR,42.51734,-123.41979
Metzger,OR,45.44651,-122.75899
Mill City,OR,44.75401,-122.47814
Millersburg,OR,44.68095,-123.06148
Milton-Freewater,OR,45.93263,-118.38774
Milwaukie,OR,45.44623,-122.63926
Mission,OR,45.67041,-118.68359
Molalla,OR,45.14734,-122.57703
Monmouth,OR,44.84845,-123.23399
Moro,OR,45.48401,-120.73117
Morrow County,OR,45.41883,-119.5843
Mount Angel,OR,45.0679,-122.80009
Mount Hood Village,OR,45.3554,-121.98064
Mulino,OR,45.22151,-122.58203
Multnomah County,OR,45.54687,-122.41534
Myrtle Creek,OR,43.02012,-123.29312
Myrtle Point,OR,43.06483,-124.13899
New Hope,OR,42.36234,-123.36784
Newberg,OR,45.30012,-122.97316
Newport,OR,44.63678,-124.05345
North Bend,OR,43.4065,-124.22428
North Plains,OR,45.59706,-122.99344
North Portland,OR,45.61039,-122.70343
Nyssa,OR,43.87683,-116.99488
