name,state_code,latitude,longitude
Abingdon,VA,36.70983,-81.97735
Accomac,VA,37.71957,-75.66548
Accomack County,VA,37.76494,-75.75656
Adwolf,VA,36.78928,-81.58206
Albemarle County,VA,38.02289,-78.55654
Alexandria,VA,38.80484,-77.04692
Alleghany County,VA,37.7876,-80.00699
Altavista,VA,37.11181,-79.28558
Amelia County,VA,37.33603,-77.97614
Amelia Court House,VA,37.34293,-77.98056
Amherst,VA,37.58514,-79.05141
Amherst County,VA,37.60477,-79.14511
Annandale,VA,38.83039,-77.19637
Appalachia,VA,36.90676,-82.78183
Apple Mountain Lake,VA,38.92428,-78.10139
Appomattox,VA,37.35709,-78.82529
Appomattox County,VA,37.37229,-78.81212
Aquia Harbour,VA,38.46262,-77.38887
Arlington,VA,38.88101,-77.10428
Arlington County,VA,38.87862,-77.10096
Ashburn,VA,39.04372,-77.48749
Ashland,VA,37.75903,-77.47998
Atkins,VA,36.86734,-81.42344
Augusta County,VA,38.16452,-79.13383
Baileys Crossroads,VA,38.85039,-77.1297
Bassett,VA,36.7593,-79.99032
Basye,VA,38.80706,-78.79224
Bath County,VA,38.05869,-79.74109
Bealeton,VA,38.57179,-77.76388
Bedford,VA,37.33431,-79.52309
Bedford County,VA,37.31494,-79.52422
Belle Haven,VA,38.78539,-77.06303
Bellwood,VA,37.42181,-77.43748
Belmont,VA,39.06483,-77.50999
Belmont Estates,VA,38.45271,-78.91979
Bensley,VA,37.44681,-77.44332
Berryville,VA,39.15177,-77.98222
Big Stone Gap,VA,36.88176,-82.7471
Blacksburg,VA,37.22957,-80.41394
Blackstone,VA,37.08043,-77.99723
Bland,VA,37.10206,-81.1162
Bland County,VA,37.13397,-81.13028
Blue Ridge,VA,37.37847,-79.80698
Bluefield,VA,37.25262,-81.27121
Bon Air,VA,37.52487,-77.55777
Boswell's Corner,VA,38.50541,-77.37263
Botetourt County,VA,37.55712,-79.81233
Bowling Green,VA,38.04958,-77.34665
Boydton,VA,36.66764,-78.3875
Bracey,VA,36.59959,-78.14305
Brambleton,VA,38.98205,-77.5386
Brandermill,VA,37.43209,-77.64971
Bridgewater,VA,38.38207,-78.9767
Brightwood,VA,38.42152,-78.19361
Bristol,VA,36.59649,-82.18847
Broadlands,VA,39.01816,-77.52027
Broadway,VA,38.61317,-78.79891
Brookneal,VA,37.05014,-78.94418
Brunswick County,VA,36.76478,-77.85902
Buchanan,VA,37.52736,-79.67976
Buchanan County,VA,37.26663,-82.03603
Buckhall,VA,38.73178,-77.4311
Buckingham,VA,37.55015,-78.55556
Buckingham County,VA,37.57224,-78.52871
Buena Vista,VA,37.7343,-79.35392
Bull Run,VA,38.78373,-77.52055
Bull Run Mountain Estates,VA,38.90372,-77.66166
Burke,VA,38.79345,-77.27165
Campbell County,VA,37.20564,-79.09635
Cana,VA,36.58958,-80.67173
Cape Charles,VA,37.27008,-76.01649
Captains Cove,VA,37.98996,-75.42272
Caroline County,VA,38.02682,-77.34696
Carroll County,VA,36.73154,-80.7339
Carrollton,VA,36.94682,-76.56051
Castlewood,VA,36.8901,-82.27959
Cave Spring,VA,37.22764,-80.01282
Cedar Bluff,VA,37.08761,-81.759
Central Garage,VA,37.74403,-77.13164
Centreville,VA,38.84039,-77.42888
Chamberlayne,VA,37.62653,-77.42859
Chantilly,VA,38.89428,-77.4311
Charles City,VA,37.34348,-77.07303
Charles City County,VA,37.35435,-77.05913
Charlotte County,VA,37.01161,-78.66164
Charlotte Court House,VA,37.05654,-78.63833
Charlottesville,VA,38.02931,-78.47668
Chase City,VA,36.79931,-78.45833
Chatham,VA,36.82569,-79.39808
Chatmoss,VA,36.6568,-79.81226
Cherry Hill,VA,38.56984,-77.26693
Chesapeake,VA,36.81904,-76.27494
Chester,VA,37.35682,-77.44165
