name,state_code,latitude,longitude
Alderson,WV,37.72595,-80.64202
Alum Creek,WV,38.28676,-81.80513
Ansted,WV,38.13622,-81.09955
Barbour County,WV,39.13293,-80.00303
Barboursville,WV,38.40953,-82.29459
Barrackville,WV,39.5037,-80.16675
Beaver,WV,37.74781,-81.14352
Beckley,WV,37.77817,-81.18816
Belington,WV,39.0251,-79.93563
Belle,WV,38.23205,-81.53762
Benwood,WV,40.01813,-80.73425
Berkeley County,WV,39.46407,-78.02754
Berkeley Springs,WV,39.6248,-78.22472
Bethany,WV,40.20563,-80.55674
Bethlehem,WV,39.39203,-80.28064
Blennerhassett,WV,39.26369,-81.62929
Bluefield,WV,37.26984,-81.22232
Bluewell,WV,37.31262,-81.25982
Boaz,WV,39.36146,-81.50207
Bolivar,WV,39.32343,-77.75277
Boone County,WV,38.023,-81.71121
Bradley,WV,37.86539,-81.19399
Braxton County,WV,38.69987,-80.71929
Bridgeport,WV,39.28648,-80.2562
Brooke County,WV,40.27381,-80.57642
Brookhaven,WV,39.61175,-79.90451
Brush Fork,WV,37.28095,-81.25593
Buckhannon,WV,38.99399,-80.23203
Buffalo,WV,38.61759,-81.9818
Cabell County,WV,38.4203,-82.24172
Calhoun County,WV,38.8445,-81.11757
Ceredo,WV,38.39647,-82.55877
Chapmanville,WV,37.97371,-82.01735
Charles Town,WV,39.28899,-77.85972
Charleston,WV,38.34982,-81.63262
Cheat Lake,WV,39.67202,-79.85339
Chesapeake,WV,38.22344,-81.53623
Chester,WV,40.61312,-80.56285
Clarksburg,WV,39.28065,-80.34453
Clay,WV,38.46038,-81.08511
Clay County,WV,38.46253,-81.07509
Clendenin,WV,38.48871,-81.34817
Coal City,WV,37.679,-81.21038
Coal Fork,WV,38.3176,-81.52095
Crab Orchard,WV,37.74067,-81.23066
Craigsville,WV,38.33067,-80.65315
Cross Lanes,WV,38.42037,-81.79068
Culloden,WV,38.42009,-82.05542
Daniels,WV,37.74327,-81.12408
Despard,WV,39.2887,-80.30592
Doddridge County,WV,39.26917,-80.70697
Dunbar,WV,38.36065,-81.73735
Eleanor,WV,38.53759,-81.93236
Elizabeth,WV,39.06341,-81.39512
Elkins,WV,38.92594,-79.84673
Elkview,WV,38.44288,-81.4804
Fairlea,WV,37.78068,-80.45702
Fairmont,WV,39.48508,-80.14258
Fayette County,WV,38.02878,-81.08119
Fayetteville,WV,38.05289,-81.10399
Follansbee,WV,40.32757,-80.59591
Fort Ashby,WV,39.50315,-78.76863
Franklin,WV,38.64289,-79.33115
Gilbert Creek,WV,37.57594,-81.89484
Gilmer County,WV,38.92406,-80.85708
Glendale,WV,39.94924,-80.75425
Glenville,WV,38.93426,-80.8376
Grafton,WV,39.34092,-80.01897
Grant County,WV,39.10513,-79.19557
Grantsville,WV,38.92342,-81.09595
