name,state_code,latitude,longitude
Afton,WY,42.72493,-110.93187
Albany County,WY,41.65447,-105.72391
Antelope Valley-Crestview,WY,44.22488,-105.47409
Arapahoe,WY,42.96218,-108.48983
Bar Nunn,WY,42.91358,-106.34336
Basin,WY,44.37996,-108.03899
Big Horn County,WY,44.52682,-107.99521
Buffalo,WY,44.34831,-106.69894
Campbell County,WY,44.24839,-105.54831
Carbon County,WY,41.69459,-106.93061
Casper,WY,42.86663,-106.31308
Cheyenne,WY,41.13998,-104.82025
Cody,WY,44.52634,-109.05653
Converse County,WY,42.97233,-105.50706
Crook County,WY,44.5886,-104.56994
Douglas,WY,42.75969,-105.38221
Ethete,WY,43.02496,-108.77262
Evanston,WY,41.26828,-110.96324
Evansville,WY,42.85997,-106.26836
Fort Washakie,WY,43.00635,-108.88235
Fox Farm-College,WY,41.11203,-104.78546
Fremont County,WY,43.04053,-108.63042
Gillette,WY,44.29109,-105.50222
Glenrock,WY,42.86136,-105.87223
Goshen County,WY,42.08794,-104.35326
Green River,WY,41.52858,-109.46625
Greybull,WY,44.48912,-108.05621
Guernsey,WY,42.26969,-104.74163
Hoback,WY,43.28187,-110.78381
Hot Springs County,WY,43.71893,-108.4421
Jackson,WY,43.47993,-110.76243
Johnson County,WY,44.03877,-106.58463
Kemmerer,WY,41.79245,-110.53767
Lander,WY,42.83301,-108.73067
Laramie,WY,41.31137,-105.5911
Laramie County,WY,41.30707,-104.68962
Lincoln County,WY,42.26404,-110.65597
Lovell,WY,44.83745,-108.38956
Lusk,WY,42.76247,-104.45217
Lyman,WY,41.32745,-110.29293
Marbleton,WY,42.55355,-110.10932
Mills,WY,42.84052,-106.36586
Moorcroft,WY,44.26331,-104.95025
Moose Wilson Road,WY,43.52521,-110.84466
Mountain View,WY,41.26884,-110.33988
Natrona County,WY,42.96224,-106.79849
Newcastle,WY,43.8547,-104.20494
Niobrara County,WY,43.0565,-104.47538
North Rock Springs,WY,41.64358,-109.26568
Park County,WY,44.52057,-109.58853
Pine Bluffs,WY,41.18193,-104.06912
Pinedale,WY,42.86661,-109.86099
Platte County,WY,42.13305,-104.96582
Powell,WY,44.75384,-108.75735
Rafter J Ranch,WY,43.42604,-110.79909
Ranchettes,WY,41.21859,-104.79025
Rawlins,WY,41.79107,-107.23866
Riverton,WY,43.02496,-108.3801
Rock Springs,WY,41.58746,-109.2029
Saratoga,WY,41.45496,-106.80643
Sheridan,WY,44.79719,-106.95618
Sheridan County,WY,44.79004,-106.87948
Sleepy Hollow,WY,44.24109,-105.42222
South Greeley,WY,41.09693,-104.80636
South Park,WY,43.42215,-110.79326
Star Valley Ranch,WY,42.97139,-110.95556
Sublette County,WY,42.76691,-109.91471
Sundance,WY,44.40637,-104.37578
Sweetwater County,WY,41.6595,-108.87942
Teton County,WY,43.93476,-110.58974
Thermopolis,WY,43.64607,-108.21204
Torrington,WY,42.06246,-104.18439
Uinta County,WY,41.28756,-110.54759
Upton,WY,44.0997,-104.62802
Washakie County,WY,43.905,-107.68286
Weston County,WY,43.84049,-104.56783
Wheatland,WY,42.05407,-104.95295
Wilson,WY,43.50076,-110.87521
Worland,WY,44.0169,-107.95537
Wright,WY,43.75124,-105.49201
