name,state_code,latitude,longitude
Abbeville,AL,31.57184,-85.25049
Adamsville,AL,33.60094,-86.95611
Alabaster,AL,33.24428,-86.81638
Albertville,AL,34.26783,-86.20878
Alexander City,AL,32.94401,-85.95385
Alexandria,AL,33.77399,-85.88552
Aliceville,AL,33.12957,-88.15142
Andalusia,AL,31.30808,-86.48243
Anniston,AL,33.65983,-85.83163
Arab,AL,34.31815,-86.49582
Argo,AL,33.68778,-86.50051
Ashford,AL,31.18296,-85.23632
Ashland,AL,33.27373,-85.83607
Ashville,AL,33.83704,-86.25442
Athens,AL,34.80243,-86.97219
Atmore,AL,31.02379,-87.49387
Attalla,AL,34.02176,-86.08859
Auburn,AL,32.60986,-85.48078
Autauga County,AL,32.53492,-86.64276
Baldwin County,AL,30.66097,-87.74984
Ballplay,AL,34.05871,-85.80802
Barbour County,AL,31.8696,-85.3932
Bay Minette,AL,30.88296,-87.77305
Bayou La Batre,AL,30.40352,-88.24852
Bear Creek,AL,34.27482,-87.70058
Berry,AL,33.65983,-87.60001
Bessemer,AL,33.40178,-86.95444
Bibb County,AL,32.99864,-87.12644
Birmingham,AL,33.52066,-86.80249
Blount County,AL,33.98087,-86.56737
Blountsville,AL,34.08149,-86.5911
Blue Ridge,AL,32.49264,-86.19052
Boaz,AL,34.20065,-86.16637
Brent,AL,32.93735,-87.16472
Brewton,AL,31.10518,-87.07219
Bridgeport,AL,34.94758,-85.71442
Brighton,AL,33.43428,-86.94721
Brook Highland,AL,33.43566,-86.67388
Brookside,AL,33.63788,-86.91666
Brookwood,AL,33.25567,-87.32083
Brundidge,AL,31.72016,-85.81606
Bullock County,AL,32.10055,-85.7157
Butler,AL,32.08959,-88.22197
Butler County,AL,31.75243,-86.68029
Bynum,AL,33.61316,-85.96108
Cahaba Heights,AL,33.464,-86.73193
Calera,AL,33.1029,-86.7536
Calhoun County,AL,33.77143,-85.82603
Camden,AL,31.99098,-87.29055
Carbon Hill,AL,33.89177,-87.52612
Carlisle-Rockledge,AL,34.11445,-86.12407
Carrollton,AL,33.26169,-88.09503
Cedar Bluff,AL,34.22009,-85.60774
Center Point,AL,33.64566,-86.6836
Centre,AL,34.15204,-85.67885
Centreville,AL,32.9462,-87.11669
Chalkville,AL,33.65316,-86.64777
Chambers County,AL,32.91437,-85.39204
Chatom,AL,31.46517,-88.25446
Chelsea,AL,33.34011,-86.63026
Cherokee,AL,34.75703,-87.97281
Cherokee County,AL,34.17596,-85.60379
Chickasaw,AL,30.7638,-88.07472
Childersburg,AL,33.27817,-86.35498
Chilton County,AL,32.84785,-86.71881
Choccolocco,AL,33.65927,-85.70357
Choctaw County,AL,32.01961,-88.2632
Citronelle,AL,31.09073,-88.22806
Clanton,AL,32.83874,-86.62943
Clarke County,AL,31.67666,-87.83081
Clay,AL,33.7026,-86.59971
Clay County,AL,33.26909,-85.86055
Clayton,AL,31.87822,-85.44966
Cleburne County,AL,33.67456,-85.51877
Cleveland,AL,33.99093,-86.57749
Clio,AL,31.70878,-85.6105
Coaling,AL,33.15901,-87.34083
Coffee County,AL,31.40263,-85.98821
Colbert County,AL,34.70043,-87.80498
Collinsville,AL,34.26398,-85.86053
Columbiana,AL,33.17817,-86.60721
Concord,AL,33.46761,-87.03111
Conecuh County,AL,31.42927,-86.99368
Coosa County,AL,32.93623,-86.24766
Coosada,AL,32.49791,-86.33136
Cordova,AL,33.75983,-87.18333
Cottonwood,AL,31.04879,-85.30493
Covington County,AL,31.24849,-86.45125
Cowarts,AL,31.20018,-85.30465
Crenshaw County,AL,31.73149,-86.31355
Creola,AL,30.89185,-88.03972
Crossville,AL,34.28759,-85.99414
Cullman,AL,34.17482,-86.84361
Cullman County,AL,34.13194,-86.86762
Dadeville,AL,32.83124,-85.76357
Dale County,AL,31.43182,-85.61103
Daleville,AL,31.31017,-85.71299
Dallas County,AL,32.32597,-87.10648
Danville,AL,34.41454,-87.08751
Daphne,AL,30.60353,-87.9036
Dauphin Island,AL,30.25548,-88.10972
Deatsville,AL,32.60819,-86.39581
Decatur,AL,34.60593,-86.98334
DeKalb County,AL,34.45977,-85.80414
Demopolis,AL,32.51764,-87.8364
Dixiana,AL,33.74021,-86.64938
Dora,AL,33.72872,-87.09028
Dothan,AL,31.22323,-85.39049
Double Springs,AL,34.14637,-87.40247
East Brewton,AL,31.09323,-87.06275
East Florence,AL,34.80953,-87.64947
Eclectic,AL,32.63541,-86.03441
Elba,AL,31.41461,-86.06772
Elberta,AL,30.41436,-87.59776
Elmore,AL,32.53874,-86.31497
Elmore County,AL,32.59665,-86.14915
Emerald Mountain,AL,32.44793,-86.09429
Enterprise,AL,31.31517,-85.85522
Escambia County,AL,31.12612,-87.16162
Etowah County,AL,34.04525,-86.03476
Eufaula,AL,31.89127,-85.14549
Eutaw,AL,32.84059,-87.88762
Evergreen,AL,31.4335,-86.95692
Fairfield,AL,33.48594,-86.91194
Fairhope,AL,30.52297,-87.90333
Falkville,AL,34.36843,-86.90862
Fayette,AL,33.68455,-87.83085
Fayette County,AL,33.72121,-87.73886
Fayetteville,AL,33.14567,-86.40581
Flint City,AL,34.52315,-86.97029
Flomaton,AL,31.00018,-87.26081
Florala,AL,31.00518,-86.328
Florence,AL,34.79981,-87.67725
Foley,AL,30.40659,-87.6836
Forestdale,AL,33.57011,-86.89638
Fort Deposit,AL,31.98459,-86.57859
Fort Payne,AL,34.44425,-85.71969
Fort Rucker,AL,31.34282,-85.71538
Franklin County,AL,34.44167,-87.84381
Frisco City,AL,31.4335,-87.40138
Fultondale,AL,33.60483,-86.79388
Fyffe,AL,34.44676,-85.90414
Gadsden,AL,34.01434,-86.00639
Gardendale,AL,33.6601,-86.81277
Geneva,AL,31.03296,-85.86382
Geneva County,AL,31.09502,-85.83898
Georgiana,AL,31.6371,-86.74192
Glencoe,AL,33.95704,-85.93247
Good Hope,AL,34.11593,-86.86361
Goodwater,AL,33.06567,-86.0533
Gordo,AL,33.32012,-87.9028
Grand Bay,AL,30.47631,-88.34223
