name,state_code,latitude,longitude
Ahwatukee Foothills,AZ,33.34171,-111.98403
Ajo,AZ,32.37172,-112.86071
Alhambra,AZ,33.49838,-112.13432
Anthem,AZ,33.86726,-112.14682
Apache County,AZ,35.3956,-109.48884
Apache Junction,AZ,33.41505,-111.54958
Arivaca Junction,AZ,31.72731,-111.0612
Arizona City,AZ,32.75589,-111.67096
Avenue B and C,AZ,32.71904,-114.66005
Avondale,AZ,33.4356,-112.3496
Avra Valley,AZ,32.43785,-111.31539
Bagdad,AZ,34.58113,-113.20464
Beaver Dam,AZ,36.89942,-113.93274
Benson,AZ,31.96786,-110.29452
Big Park,AZ,34.7803,-111.76265
Bisbee,AZ,31.44815,-109.92841
Black Canyon City,AZ,34.07087,-112.15071
Blackwater,AZ,33.03117,-111.58263
Buckeye,AZ,33.37032,-112.58378
Bullhead City,AZ,35.14778,-114.5683
Bylas,AZ,33.13428,-110.12004
Cactus Flat,AZ,32.7584,-109.71619
Camp Verde,AZ,34.56364,-111.85432
Canyon Day,AZ,33.78477,-110.02649
Carefree,AZ,33.82226,-111.9182
Casa Blanca,AZ,33.12033,-111.88819
Casa Grande,AZ,32.8795,-111.75735
Casas Adobes,AZ,32.32341,-110.9951
Catalina,AZ,32.50556,-110.92111
Catalina Foothills,AZ,32.29785,-110.9187
Cave Creek,AZ,33.83333,-111.95083
Centennial Park,AZ,36.95381,-112.98132
Central City,AZ,33.44001,-112.05805
Central Heights-Midland City,AZ,33.40372,-110.81541
Chandler,AZ,33.30616,-111.84125
Chinle,AZ,36.15445,-109.55261
Chino Valley,AZ,34.75752,-112.45378
Cibecue,AZ,34.04477,-110.48539
Cienega Springs,AZ,34.18863,-114.22467
Citrus Park,AZ,33.54865,-112.44433
Clarkdale,AZ,34.77113,-112.05794
Claypool,AZ,33.41117,-110.84261
Clifton,AZ,33.0509,-109.29618
Cochise County,AZ,31.87957,-109.75114
Coconino County,AZ,35.83873,-111.7705
Colorado City,AZ,36.99026,-112.97577
Congress,AZ,34.16253,-112.85074
Coolidge,AZ,32.97784,-111.51762
Cordes Lakes,AZ,34.30781,-112.10349
Cornville,AZ,34.7178,-111.92154
Corona de Tucson,AZ,31.96536,-110.77564
Cottonwood,AZ,34.73919,-112.00988
Deer Valley,AZ,33.68393,-112.13488
Desert Hills,AZ,34.5539,-114.37246
Dewey-Humboldt,AZ,34.53,-112.24222
Dilkon,AZ,35.38529,-110.32068
Dolan Springs,AZ,35.59194,-114.27329
Donovan Estates,AZ,32.70935,-114.67822
Douglas,AZ,31.34455,-109.54534
Drexel Heights,AZ,32.14119,-111.02843
Eagar,AZ,34.11124,-109.29238
East Sahuarita,AZ,31.94286,-110.92842
Ehrenberg,AZ,33.60419,-114.52523
El Mirage,AZ,33.61309,-112.3246
Eloy,AZ,32.7559,-111.55484
Encanto,AZ,33.47937,-112.07823
First Mesa,AZ,35.83667,-110.38152
Flagstaff,AZ,35.19807,-111.65127
Florence,AZ,33.03145,-111.38734
Flowing Wells,AZ,32.29396,-111.00982
Fort Defiance,AZ,35.74446,-109.07648
Fortuna Foothills,AZ,32.65783,-114.41189
Fountain Hills,AZ,33.61171,-111.71736
Fredonia,AZ,36.94554,-112.52659
Ganado,AZ,35.7114,-109.54205
Gila Bend,AZ,32.94782,-112.71683
Gila County,AZ,33.79975,-110.81174
Gilbert,AZ,33.35283,-111.78903
Glendale,AZ,33.53865,-112.18599
Globe,AZ,33.39422,-110.7865
