name,state_code,latitude,longitude
Acres Green,CO,39.55666,-104.89609
Adams County,CO,39.87363,-104.33791
Air Force Academy,CO,38.99425,-104.86375
Akron,CO,40.16054,-103.21438
Alamosa,CO,37.46945,-105.87002
Alamosa County,CO,37.57289,-105.78829
Alamosa East,CO,37.47735,-105.84217
Applewood,CO,39.75778,-105.1625
Arapahoe County,CO,39.64977,-104.33924
Archuleta County,CO,37.1936,-107.04833
Aristocrat Ranchettes,CO,40.10915,-104.76247
Arvada,CO,39.80276,-105.08748
Aspen,CO,39.1911,-106.81754
Ault,CO,40.58248,-104.73191
Aurora,CO,39.72943,-104.83192
Avon,CO,39.63137,-106.52225
Baca County,CO,37.31918,-102.56047
Basalt,CO,39.36887,-107.03282
Battlement Mesa,CO,39.44137,-108.02507
Bayfield,CO,37.22556,-107.59811
Bennett,CO,39.75887,-104.42746
Bent County,CO,37.95509,-103.0717
Berkley,CO,39.80443,-105.02609
Berthoud,CO,40.30832,-105.08109
Black Forest,CO,39.01305,-104.70081
Boulder,CO,40.01499,-105.27055
Boulder County,CO,40.09246,-105.3577
Breckenridge,CO,39.48165,-106.03835
Brighton,CO,39.98526,-104.82053
Broomfield,CO,39.92054,-105.08665
Broomfield County,CO,39.95413,-105.05266
Brush,CO,40.25887,-103.62384
Buena Vista,CO,38.84222,-106.13113
Burlington,CO,39.30611,-102.26936
Byers,CO,39.71137,-104.22774
Campion,CO,40.34943,-105.07776
Cañon City,CO,38.44098,-105.24245
Carbondale,CO,39.40221,-107.21116
Carriage Club,CO,39.53249,-104.90109
Cascade-Chipita Park,CO,38.94354,-105.00237
Castle Pines,CO,39.45804,-104.89609
Castle Pines North,CO,39.47174,-104.89482
Castle Rock,CO,39.37221,-104.85609
Castlewood,CO,39.58471,-104.90109
Cedaredge,CO,38.90165,-107.92645
Centennial,CO,39.57916,-104.87692
Center,CO,37.75306,-106.10864
Central City,CO,39.80193,-105.51416
Chaffee County,CO,38.7469,-106.19407
Cherry Creek,CO,39.63455,-104.88286
Cherry Hills Village,CO,39.64165,-104.95943
Cheyenne County,CO,38.82794,-102.6034
Cheyenne Wells,CO,38.8214,-102.35324
Cimarron Hills,CO,38.85861,-104.69886
Clear Creek County,CO,39.6891,-105.64436
Clifton,CO,39.09193,-108.44898
Coal Creek,CO,39.90638,-105.37749
Colorado City,CO,37.94529,-104.83526
Colorado Springs,CO,38.83388,-104.82136
Columbine,CO,39.58777,-105.06943
Columbine Valley,CO,39.6011,-105.03221
Commerce City,CO,39.80832,-104.93387
Conejos,CO,37.08835,-106.01974
Conejos County,CO,37.2007,-106.19163
Cortez,CO,37.34888,-108.58593
Costilla County,CO,37.2781,-105.42827
Craig,CO,40.51525,-107.54645
Creede,CO,37.84917,-106.92643
Crested Butte,CO,38.86971,-106.98782
Cripple Creek,CO,38.74666,-105.17831
Crowley County,CO,38.32666,-103.78483
Custer County,CO,38.10868,-105.36747
Dacono,CO,40.08471,-104.93942
Del Norte,CO,37.67889,-106.35337
Delta,CO,38.74221,-108.06896
Delta County,CO,38.86137,-107.86288
Denver,CO,39.73915,-104.9847
Denver County,CO,39.76204,-104.87635
Derby,CO,39.83943,-104.91859
Dolores County,CO,37.7516,-108.51722
Douglas County,CO,39.32972,-104.92956
Dove Creek,CO,37.7661,-108.90594
Dove Valley,CO,39.57771,-104.8294
Durango,CO,37.27528,-107.88007
Eads,CO,38.48056,-102.78186
Eagle,CO,39.65526,-106.82865
Eagle County,CO,39.62783,-106.6953
Eaton,CO,40.53026,-104.71135
Edgewater,CO,39.75304,-105.06415
Edwards,CO,39.64499,-106.5942
El Jebel,CO,39.39498,-107.09033
El Paso County,CO,38.83209,-104.52558
Elbert County,CO,39.28656,-104.13589
Elizabeth,CO,39.36027,-104.59691
Ellicott,CO,38.83833,-104.38691
Englewood,CO,39.64777,-104.98776
Erie,CO,40.05026,-105.04998
Estes Park,CO,40.37721,-105.52167
Evans,CO,40.37637,-104.69219
Evergreen,CO,39.63332,-105.31721
Fairplay,CO,39.22471,-106.00196
Federal Heights,CO,39.85137,-104.99859
Firestone,CO,40.11248,-104.93664
Florence,CO,38.39028,-105.1186
Fort Carson,CO,38.73749,-104.78886
Fort Collins,CO,40.58526,-105.08442
Fort Lupton,CO,40.08471,-104.81303
Fort Morgan,CO,40.25026,-103.79995
Fountain,CO,38.68222,-104.70081
Fowler,CO,38.12917,-104.02329
Fraser,CO,39.94499,-105.81723
Frederick,CO,40.09915,-104.9372
Fremont County,CO,38.47297,-105.43966
Frisco,CO,39.57443,-106.09752
Fruita,CO,39.15887,-108.72899
Fruitvale,CO,39.08165,-108.49676
Garfield County,CO,39.59931,-107.90395
Genesee,CO,39.68582,-105.27277
Georgetown,CO,39.7061,-105.6975
Gilcrest,CO,40.28193,-104.77775
Gilpin County,CO,39.85756,-105.52253
Glendale,CO,39.70499,-104.93359
Gleneagle,CO,39.04527,-104.82442
Glenwood Springs,CO,39.55054,-107.32478
Golden,CO,39.75554,-105.2211
Granby,CO,40.0861,-105.93946
Grand County,CO,40.10261,-106.11836
Grand Junction,CO,39.06387,-108.55065
Greeley,CO,40.42331,-104.70913
Greenwood Village,CO,39.61721,-104.95081
Gunbarrel,CO,40.06335,-105.17107
Gunnison,CO,38.54582,-106.92532
Gunnison County,CO,38.6668,-107.0317
Gypsum,CO,39.64693,-106.95171
Hayden,CO,40.49529,-107.25729
Highlands Ranch,CO,39.55388,-104.96943
Hinsdale County,CO,37.82134,-107.30031
Holly Hills,CO,39.66757,-104.91797
Holyoke,CO,40.58444,-102.30241
Hot Sulphur Springs,CO,40.07304,-106.1028
Hudson,CO,40.07359,-104.64302
