name,state_code,latitude,longitude
‘Āhuimanu,HI,21.44472,-157.83778
‘Aiea,HI,21.38222,-157.93361
‘Ele‘ele,HI,21.90738,-159.58322
‘Ewa Beach,HI,21.31556,-158.00722
‘Ewa Gentry,HI,21.33999,-158.03039
‘Ewa Villages,HI,21.34127,-158.0397
‘Ōma‘o,HI,21.92581,-159.48818
Ainaloa,HI,19.52694,-154.99306
Anahola,HI,22.14226,-159.31388
Captain Cook,HI,19.49694,-155.92167
East Honolulu,HI,21.28906,-157.71734
Fern Acres,HI,19.51222,-155.08028
Haiku-Pauwela,HI,20.92187,-156.30508
Hālawa,HI,21.37944,-157.92167
Hālawa Heights,HI,21.37848,-157.91388
Hale‘iwa,HI,21.59284,-158.10339
Hana,HI,20.75806,-155.99028
Hanamā‘ulu,HI,21.99773,-159.35918
Hanapēpē,HI,21.90733,-159.5944
Hanapēpē Heights,HI,21.91633,-159.58995
Hau‘ula,HI,21.6076,-157.90868
Hawaii County,HI,19.6024,-155.52289
Hawaiian Acres,HI,19.53806,-155.05222
Hawaiian Beaches,HI,19.54306,-154.91583
Hawaiian Ocean View,HI,19.06861,-155.765
Hawaiian Paradise Park,HI,19.59333,-154.97306
Hāwī,HI,20.24122,-155.83351
He‘eia,HI,21.43054,-157.81611
Hickam Field,HI,21.33967,-157.96018
Hilo,HI,19.72991,-155.09073
Hōlualoa,HI,19.61979,-155.94831
Honalo,HI,19.54639,-155.93194
Honaunau-Napoopoo,HI,19.45627,-155.86466
Honoka‘a,HI,20.07931,-155.46691
Honolulu,HI,21.30694,-157.85833
Honolulu County,HI,21.45543,-157.96138
Iroquois Point,HI,21.32776,-157.98301
Ka‘a‘awa,HI,21.55445,-157.85103
Kā‘anapali,HI,20.92881,-156.69422
Kaanapali Landing,HI,20.9309,-156.68778
Kahalu‘u,HI,21.45759,-157.84431
Kahaluu-Keauhou,HI,19.57181,-155.96172
Kahuku,HI,21.68048,-157.95237
Kahului,HI,20.88953,-156.47432
Kailua,HI,21.40241,-157.74054
Kailua-Kona,HI,19.64016,-155.99912
Kalāheo,HI,21.92416,-159.52686
Kalaoa,HI,19.72861,-155.98167
Kalawao County,HI,21.18569,-156.95944
Kaneohe,HI,21.39994,-157.79895
Kapa‘a,HI,22.07521,-159.31895
Kapaau,HI,20.23389,-155.80194
Kapolei,HI,21.33555,-158.0582
Kauai County,HI,22.01108,-159.70544
Kaunakakai,HI,21.09363,-157.02613
Kea‘au,HI,19.62265,-155.03744
Kealakekua,HI,19.52083,-155.9225
Kekaha,HI,21.96686,-159.71186
Kēōkea,HI,20.70711,-156.35446
Kīhei,HI,20.76462,-156.44578
Kīlauea,HI,22.21208,-159.41342
Ko Olina,HI,21.33993,-158.12562
Koloa,HI,21.9069,-159.46994
Kualapu‘u,HI,21.15306,-157.03677
Kula,HI,20.79094,-156.32695
Kurtistown,HI,19.60361,-155.05722
Lā‘ie,HI,21.64547,-157.9225
Lahaina,HI,20.87429,-156.67663
Lanai City,HI,20.82757,-156.92399
Lawai,HI,21.92159,-159.50376
Leilani Estates,HI,19.46972,-154.91778
Lihue,HI,21.98121,-159.3721
Mā‘ili,HI,21.41629,-158.17531
Mākaha,HI,21.46627,-158.21037
Mākaha Valley,HI,21.47583,-158.19918
Makakilo City,HI,21.34694,-158.08583
Makawao,HI,20.85694,-156.31306
Marine Corps Base Hawaii - MCBH,HI,21.44336,-157.74981
Maui County,HI,20.86774,-156.61706
Maunawili,HI,21.37278,-157.77056
Mililani Town,HI,21.45,-158.00111
Mokulēia,HI,21.57967,-158.15313
Mountain View,HI,19.55583,-155.10806
Nānākuli,HI,21.39362,-158.15429
Nanawale Estates,HI,19.50611,-154.91194
Napili-Honokowai,HI,20.97533,-156.67826
Ocean Pointe,HI,21.31066,-158.03638
Orchidlands Estates,HI,19.56084,-155.01527
Pāhala,HI,19.20297,-155.4786
Paia,HI,20.90333,-156.36944
Pāpa‘ikou,HI,19.78718,-155.09326
Pearl City,HI,21.39734,-157.97516
Pepeekeo,HI,19.83361,-155.10722
Princeville,HI,22.21758,-159.47888
Puhi,HI,21.96888,-159.40012
Pukalani,HI,20.83667,-156.33667
Punalu‘u,HI,21.57045,-157.87557
Pupukea,HI,21.65456,-158.06065
Royal Kunia,HI,21.39392,-158.0267
Schofield Barracks,HI,21.49837,-158.06515
Village Park,HI,21.39806,-158.03028
Volcano,HI,19.44276,-155.23398
Wahiawā,HI,21.50279,-158.02464
Waialua,HI,21.57688,-158.13154
Waianae,HI,21.43785,-158.18555
Waihee-Waiehu,HI,20.93022,-156.50458
Waikapū,HI,20.85806,-156.50694
Waikoloa,HI,19.93942,-155.78931
Wailea,HI,20.68973,-156.4419
Wailua,HI,22.05271,-159.33781
Wailua Homesteads,HI,22.07244,-159.37677
Wailuku,HI,20.89133,-156.50604
Waimalu,HI,21.40472,-157.94333
Waimanalo,HI,21.34614,-157.7238
Waimānalo Beach,HI,21.33407,-157.70003
Waimea,HI,20.02323,-155.67288
Wainaku,HI,19.74472,-155.095
Waipahu,HI,21.38667,-158.00917
Waipi‘o Acres,HI,21.46485,-158.01331
Waipio,HI,21.41823,-157.99906
Whitmore Village,HI,21.51429,-158.02464
