name,state_code,latitude,longitude
Ackley,IA,42.55415,-93.05326
Adair County,IA,41.33075,-94.47094
Adams County,IA,41.02898,-94.69918
Adel,IA,41.61443,-94.01745
Akron,IA,42.82888,-96.55948
Albia,IA,41.02667,-92.80575
Algona,IA,43.06997,-94.23302
Allamakee County,IA,43.28428,-91.37809
Allison,IA,42.75275,-92.79519
Alta,IA,42.67359,-95.29055
Alton,IA,42.98749,-96.01057
Altoona,IA,41.64416,-93.46466
Ames,IA,42.03471,-93.61994
Anamosa,IA,42.10834,-91.28516
Ankeny,IA,41.72971,-93.60577
Aplington,IA,42.58415,-92.88436
Appanoose County,IA,40.74316,-92.86861
Arnolds Park,IA,43.37274,-95.12388
Asbury,IA,42.51445,-90.75152
Atkins,IA,41.99694,-91.86213
Atlantic,IA,41.4036,-95.01388
Audubon,IA,41.71804,-94.93249
Audubon County,IA,41.68459,-94.90582
Avoca,IA,41.47666,-95.33805
Baxter,IA,41.8261,-93.15159
Bedford,IA,40.66693,-94.72136
Belle Plaine,IA,41.89694,-92.27824
Bellevue,IA,42.25863,-90.42291
Belmond,IA,42.84608,-93.6141
Benton County,IA,42.08019,-92.06569
Bettendorf,IA,41.52448,-90.51569
Black Hawk County,IA,42.4701,-92.30882
Bloomfield,IA,40.75169,-92.41491
Blue Grass,IA,41.50892,-90.76598
Bondurant,IA,41.70054,-93.46216
Boone,IA,42.0597,-93.88023
Boone County,IA,42.03655,-93.93167
Bremer County,IA,42.77459,-92.31805
Britt,IA,43.09774,-93.80189
Brooklyn,IA,41.73361,-92.44546
Buchanan County,IA,42.47078,-91.83784
Buena Vista County,IA,42.73549,-95.15115
Buffalo,IA,41.45642,-90.72347
Buffalo (historical),IA,41.3111,-94.00356
Burlington,IA,40.80754,-91.11292
Butler County,IA,42.73157,-92.79019
Calhoun County,IA,42.38518,-94.64041
Camanche,IA,41.78809,-90.25624
Carlisle,IA,41.50082,-93.49105
Carroll,IA,42.06582,-94.86693
Carroll County,IA,42.03624,-94.86056
Carter Lake,IA,41.29055,-95.91807
Cascade,IA,42.29862,-91.01486
Cass County,IA,41.33149,-94.92783
Cedar County,IA,41.77232,-91.13241
Cedar Falls,IA,42.52776,-92.44547
Cedar Rapids,IA,42.00833,-91.64407
Center Point,IA,42.19083,-91.78518
Centerville,IA,40.73418,-92.87409
Central City,IA,42.20388,-91.52406
Cerro Gordo County,IA,43.08156,-93.26082
Chariton,IA,41.01389,-93.3066
Charles City,IA,43.06636,-92.67241
Cherokee,IA,42.74943,-95.55167
Cherokee County,IA,42.73562,-95.62381
Chickasaw County,IA,43.06004,-92.31766
Clarinda,IA,40.73981,-95.038
Clarion,IA,42.73164,-93.73299
Clarke County,IA,41.02903,-93.78516
Clarksville,IA,42.7847,-92.66769
Clay County,IA,43.08258,-95.15092
Clayton County,IA,42.84475,-91.34143
Clear Lake,IA,43.13802,-93.37937
Clinton,IA,41.84447,-90.18874
Clinton County,IA,41.89804,-90.53197
Clive,IA,41.60304,-93.72411
Colfax,IA,41.67777,-93.2452
Columbus Junction,IA,41.28003,-91.36071
Conrad,IA,42.22471,-92.87465
Coon Rapids,IA,41.87082,-94.67748
Coralville,IA,41.6764,-91.58045
Corning,IA,40.98999,-94.74081
Corydon,IA,40.75695,-93.31882
Council Bluffs,IA,41.26194,-95.86083
Crawford County,IA,42.03721,-95.38197
Cresco,IA,43.38136,-92.11405
Creston,IA,41.0586,-94.36135
Dakota City,IA,42.72219,-94.19718
Dallas Center,IA,41.68443,-93.96106
Dallas County,IA,41.68489,-94.03974
Davenport,IA,41.52364,-90.57764
Davis County,IA,40.74769,-92.40972
De Soto,IA,41.53166,-94.00967
De Witt,IA,41.82336,-90.53819
Decatur County,IA,40.73768,-93.78628
Decorah,IA,43.30331,-91.78571
Delaware County,IA,42.47121,-91.36735
Denison,IA,42.01777,-95.35528
Denver,IA,42.67137,-92.3374
Des Moines,IA,41.60054,-93.60911
Des Moines County,IA,40.92318,-91.18147
Dickinson County,IA,43.37798,-95.15083
Dike,IA,42.46415,-92.62825
Dubuque,IA,42.50056,-90.66457
Dubuque County,IA,42.46883,-90.88246
Durant,IA,41.59975,-90.9107
Dyersville,IA,42.48444,-91.12291
Dysart,IA,42.17166,-92.3063
Eagle Grove,IA,42.66414,-93.90439
Earlham,IA,41.49193,-94.12412
Eddyville,IA,41.1565,-92.63739
Eldora,IA,42.36082,-93.09965
Eldridge,IA,41.65809,-90.58458
Elk Run Heights,IA,42.46693,-92.25657
Elkader,IA,42.85387,-91.40542
Ely,IA,41.87362,-91.58518
Emmet County,IA,43.37802,-94.67848
Emmetsburg,IA,43.11274,-94.68304
Epworth,IA,42.445,-90.93208
Estherville,IA,43.40163,-94.83276
Evansdale,IA,42.46915,-92.28102
Fairbank,IA,42.63915,-92.04712
Fairfax,IA,41.91945,-91.78101
Fairfield,IA,41.00863,-91.96267
Farley,IA,42.44278,-91.00625
