name,state_code,latitude,longitude
Aberdeen,ID,42.94408,-112.83833
Ada County,ID,43.45112,-116.24109
Adams County,ID,44.88965,-116.45387
American Falls,ID,42.78602,-112.85444
Ammon,ID,43.46964,-111.96664
Arco,ID,43.63657,-113.30028
Ashton,ID,44.07158,-111.44829
Bannock County,ID,42.66851,-112.22463
Bear Lake County,ID,42.28479,-111.32965
Bellevue,ID,43.46352,-114.2606
Benewah County,ID,47.21755,-116.65883
Bingham County,ID,43.21652,-112.39805
Blackfoot,ID,43.19047,-112.34498
Blaine County,ID,43.41233,-113.9804
Boise,ID,43.6135,-116.20345
Boise County,ID,43.98913,-115.73024
Bonner County,ID,48.29975,-116.60097
Bonners Ferry,ID,48.69133,-116.31631
Bonneville County,ID,43.38773,-111.61493
Boundary County,ID,48.76702,-116.46288
Buhl,ID,42.59907,-114.75949
Burley,ID,42.53574,-113.79279
Butte County,ID,43.72287,-113.17202
Caldwell,ID,43.66294,-116.68736
Camas County,ID,43.46325,-114.80585
Canyon County,ID,43.62513,-116.70929
Caribou County,ID,42.77051,-111.56224
Cascade,ID,44.51628,-116.0418
Cassia County,ID,42.28387,-113.60037
Challis,ID,44.50464,-114.23173
Chubbuck,ID,42.92075,-112.46609
Clark County,ID,44.28398,-112.35135
Clearwater County,ID,46.6737,-115.65686
Coeur d'Alene,ID,47.67768,-116.78047
Council,ID,44.72989,-116.4382
Custer County,ID,44.24142,-114.2818
Dalton Gardens,ID,47.72963,-116.77019
Driggs,ID,43.72325,-111.11133
Dubois,ID,44.1763,-112.23082
Eagle,ID,43.69544,-116.35401
Elmore County,ID,43.3539,-115.46918
Emmett,ID,43.8735,-116.4993
Fairfield,ID,43.34657,-114.79173
Filer,ID,42.57019,-114.60782
Fort Hall,ID,43.03325,-112.43831
Franklin County,ID,42.18117,-111.81323
Fremont County,ID,44.22879,-111.48202
Fruitland,ID,44.00766,-116.91655
Garden City,ID,43.62211,-116.23817
Gem County,ID,44.06169,-116.39723
Glenns Ferry,ID,42.9549,-115.3009
Gooding,ID,42.93879,-114.71311
Gooding County,ID,42.9709,-114.81152
Grangeville,ID,45.92655,-116.12237
Hailey,ID,43.51963,-114.31532
Hansen,ID,42.53068,-114.30101
Hayden,ID,47.76602,-116.78658
Heyburn,ID,42.55852,-113.7639
Hidden Spring,ID,43.72216,-116.25093
Homedale,ID,43.61766,-116.93376
Idaho City,ID,43.8285,-115.83455
Idaho County,ID,45.8442,-115.46745
Idaho Falls,ID,43.46658,-112.03414
Iona,ID,43.5263,-111.93302
Jefferson County,ID,43.82014,-112.31128
Jerome,ID,42.72407,-114.51865
Jerome County,ID,42.6899,-114.26403
Kamiah,ID,46.22712,-116.02931
Kellogg,ID,47.53826,-116.11933
Ketchum,ID,43.68074,-114.36366
Kimberly,ID,42.5338,-114.36476
Kootenai County,ID,47.67456,-116.70001
Kuna,ID,43.49183,-116.42012
Lapwai,ID,46.40489,-116.80487
Latah County,ID,46.81613,-116.71168
Lemhi County,ID,44.94331,-113.93324
Lewis County,ID,46.23702,-116.42625
Lewiston,ID,46.41655,-117.01766
Lewiston Orchards,ID,46.38044,-116.97543
Lincoln,ID,43.51297,-111.96441
Lincoln County,ID,43.00241,-114.13831
Madison County,ID,43.78419,-111.65934
Malad City,ID,42.19159,-112.2508
Marsing,ID,43.54544,-116.8132
McCall,ID,44.91101,-116.09874
Meridian,ID,43.61211,-116.39151
Middleton,ID,43.70683,-116.62014
Minidoka County,ID,42.8544,-113.63752
Montpelier,ID,42.32215,-111.2977
Moreland,ID,43.22269,-112.44248
Moscow,ID,46.73239,-117.00017
Mountain Home,ID,43.13295,-115.6912
Murphy,ID,43.21822,-116.55234
Nampa,ID,43.54072,-116.56346
New Plymouth,ID,43.96989,-116.81904
Nez Perce County,ID,46.32676,-116.75024
Nezperce,ID,46.23489,-116.2407
Oneida County,ID,42.1949,-112.53962
Orofino,ID,46.47935,-116.25514
Osburn,ID,47.50604,-115.99933
Owyhee County,ID,42.58153,-116.16998
Paris,ID,42.22715,-111.40104
Parma,ID,43.78516,-116.94321
Paul,ID,42.60796,-113.78335
Payette,ID,44.07822,-116.93377
Payette County,ID,44.00674,-116.76084
Pinehurst,ID,47.53881,-116.23739
Plummer,ID,47.33518,-116.88851
Pocatello,ID,42.8713,-112.44553
Ponderay,ID,48.30548,-116.5338
Post Falls,ID,47.71796,-116.95159
Power County,ID,42.69369,-112.84067
Preston,ID,42.09631,-111.87662
Priest River,ID,48.18097,-116.91157
Rathdrum,ID,47.8124,-116.89659
Rexburg,ID,43.82602,-111.78969
Rigby,ID,43.67241,-111.91497
Rupert,ID,42.61908,-113.67723
Saint Anthony,ID,43.9663,-111.68218
Saint Maries,ID,47.31435,-116.56267
Salmon,ID,45.17575,-113.8959
Sandpoint,ID,48.27659,-116.55325
Shelley,ID,43.3813,-112.12331
Shoshone,ID,42.93602,-114.40588
Shoshone County,ID,47.35167,-115.89103
Soda Springs,ID,42.65437,-111.60467
Spirit Lake,ID,47.96629,-116.86853
Star,ID,43.69211,-116.49346
Sugar City,ID,43.87297,-111.7483
Sun Valley,ID,43.69713,-114.35172
Teton County,ID,43.75946,-111.2077
Twin Falls,ID,42.56297,-114.46087
Twin Falls County,ID,42.35598,-114.66716
Tyhee,ID,42.95158,-112.46637
Ucon,ID,43.5963,-111.96386
Valley County,ID,44.7667,-115.56613
Victor,ID,43.6027,-111.11133
Wallace,ID,47.47409,-115.92794
Washington County,ID,44.45243,-116.78477
Weiser,ID,44.251,-116.96933
Wendell,ID,42.77574,-114.70422
Wilder,ID,43.67655,-116.91182
