name,state_code,latitude,longitude
Abingdon,IL,40.80448,-90.4018
Adams County,IL,39.98789,-91.18849
Addison,IL,41.9317,-87.98896
Albany Park,IL,41.96836,-87.72339
Albers,IL,38.54338,-89.61231
Albion,IL,38.37755,-88.05615
Aledo,IL,41.19976,-90.74931
Alexander County,IL,37.1916,-89.33764
Algonquin,IL,42.16558,-88.29425
Alorton,IL,38.58977,-90.12011
Alsip,IL,41.66892,-87.73866
Altamont,IL,39.06199,-88.74811
Alton,IL,38.8906,-90.18428
Amboy,IL,41.7142,-89.32871
Andalusia,IL,41.4392,-90.71764
Anna,IL,37.46033,-89.24703
Antioch,IL,42.47724,-88.09564
Arcola,IL,39.68476,-88.30644
Arlington Heights,IL,42.08836,-87.98063
Arthur,IL,39.71476,-88.47228
Ashburn,IL,41.74753,-87.71116
Ashland,IL,39.88783,-90.00789
Assumption,IL,39.52032,-89.04897
Astoria,IL,40.22754,-90.35957
Athens,IL,39.96088,-89.72399
Atlanta,IL,40.25948,-89.23342
Atwood,IL,39.79948,-88.46228
Auburn,IL,39.59172,-89.74649
Auburn Gresham,IL,41.74179,-87.65322
Aurora,IL,41.76058,-88.32007
Aviston,IL,38.60672,-89.60759
Avondale,IL,41.93892,-87.71117
Bannockburn,IL,42.19336,-87.86646
Barrington,IL,42.15391,-88.13619
Barrington Hills,IL,42.14475,-88.15563
Barry,IL,39.69421,-91.03902
Bartlett,IL,41.99503,-88.18563
Bartonville,IL,40.65032,-89.65205
Batavia,IL,41.85003,-88.31257
Beach Park,IL,42.42224,-87.8573
Beardstown,IL,40.01755,-90.42429
Beckemeyer,IL,38.6056,-89.43592
Beecher,IL,41.34059,-87.62143
Belleville,IL,38.52005,-89.98399
Bellevue,IL,40.68448,-89.6801
Bellwood,IL,41.88142,-87.88312
Belmont Cragin,IL,41.9317,-87.76867
Belvidere,IL,42.26391,-88.84427
Bement,IL,39.92198,-88.57201
Benld,IL,39.09282,-89.80398
Bensenville,IL,41.95503,-87.94007
Benton,IL,37.99672,-88.92007
Berkeley,IL,41.88892,-87.9034
Berwyn,IL,41.85059,-87.79367
Bethalto,IL,38.90921,-90.04066
Bethany,IL,39.64559,-88.73813
Big Rock,IL,41.76392,-88.54702
Bloomingdale,IL,41.95753,-88.0809
Bloomington,IL,40.4842,-88.99369
Blue Island,IL,41.65726,-87.68005
Blue Mound,IL,39.70115,-89.12314
Bolingbrook,IL,41.69864,-88.0684
Bond County,IL,38.88682,-89.43555
Boone County,IL,42.32308,-88.82336
Boulder Hill,IL,41.71253,-88.33618
Bourbonnais,IL,41.15376,-87.88754
Bradley,IL,41.14198,-87.86115
Braidwood,IL,41.26503,-88.21228
Breese,IL,38.6106,-89.52703
Bridgeport,IL,41.83809,-87.65116
Bridgeview,IL,41.75003,-87.80422
Brighton,IL,39.03977,-90.14066
Brighton Park,IL,41.81892,-87.69894
Broadview,IL,41.86392,-87.85339
Brookfield,IL,41.82392,-87.85173
Brown County,IL,39.96181,-90.75034
Buffalo Grove,IL,42.15141,-87.95979
Bull Valley,IL,42.32058,-88.35509
Bunker Hill,IL,39.04282,-89.95177
Burbank,IL,41.73392,-87.7795
Bureau County,IL,41.40415,-89.52868
Burnham,IL,41.63892,-87.55671
Burr Ridge,IL,41.74892,-87.91839
Bushnell,IL,40.55282,-90.50624
Byron,IL,42.12697,-89.25566
Cahokia,IL,38.57088,-90.19011
Cairo,IL,37.00533,-89.17646
Calhoun County,IL,39.1693,-90.66753
Calumet City,IL,41.61559,-87.52949
Calumet Park,IL,41.66281,-87.6606
Cambria,IL,37.78144,-89.11925
Cambridge,IL,41.30365,-90.1929
Camp Point,IL,40.03921,-91.0693
Canton,IL,40.55809,-90.03512
Capron,IL,42.39974,-88.74038
Carbon Cliff,IL,41.49476,-90.39068
Carbondale,IL,37.72727,-89.21675
Carlinville,IL,39.27977,-89.88177
Carlyle,IL,38.61033,-89.37258
Carmi,IL,38.09088,-88.15865
Carol Stream,IL,41.91253,-88.13479
Carpentersville,IL,42.12114,-88.25786
Carrier Mills,IL,37.68422,-88.63283
Carroll County,IL,42.06861,-89.93433
Carrollton,IL,39.30227,-90.40706
Carterville,IL,37.76005,-89.0773
Carthage,IL,40.41643,-91.13625
Cary,IL,42.21197,-88.23814
Casey,IL,39.2992,-87.99253
Caseyville,IL,38.63672,-90.02566
Cass County,IL,39.97356,-90.24738
Catlin,IL,40.06504,-87.70197
Central City,IL,38.54894,-89.12701
Centralia,IL,38.52505,-89.1334
Centreville,IL,38.58338,-90.12511
Cerro Gordo,IL,39.89059,-88.72813
Champaign,IL,40.11642,-88.24338
Champaign County,IL,40.14008,-88.19919
Channahon,IL,41.42948,-88.22867
Channel Lake,IL,42.47863,-88.13759
Charleston,IL,39.49615,-88.17615
Chatham,IL,41.74115,-87.61255
Chatsworth,IL,40.75365,-88.29199
Chebanse,IL,41.00309,-87.9081
Chenoa,IL,40.7417,-88.71979
Cherry Valley,IL,42.23474,-88.94899
Chester,IL,37.91366,-89.82205
Chicago,IL,41.85003,-87.65005
Chicago Heights,IL,41.50615,-87.6356
Chicago Lawn,IL,41.77503,-87.69644
Chicago Loop,IL,41.88407,-87.6333
Chicago Ridge,IL,41.70142,-87.77922
Chillicothe,IL,40.92226,-89.4862
Chrisman,IL,39.80365,-87.67364
Christian County,IL,39.54579,-89.27727
Christopher,IL,37.97255,-89.05341
Cicero,IL,41.84559,-87.75394
Clarendon Hills,IL,41.79753,-87.95478
Clark County,IL,39.33357,-87.78772
Clay County,IL,38.75416,-88.49019
Clifton,IL,40.93531,-87.93449
Clinton,IL,40.15365,-88.96453
Clinton County,IL,38.60645,-89.42248
