name,state_code,latitude,longitude
Aberdeen,IN,41.43893,-87.11142
Adams County,IN,40.74566,-84.93665
Akron,IN,41.03838,-86.02805
Albany,IN,40.30088,-85.24191
Albion,IN,41.3956,-85.42442
Alexandria,IN,40.26282,-85.67581
Allen County,IN,41.09087,-85.06656
Anderson,IN,40.10532,-85.68025
Andrews,IN,40.86254,-85.60165
Angola,IN,41.63477,-84.99941
Arcadia,IN,40.17587,-86.02165
Argos,IN,41.2378,-86.21465
Attica,IN,40.2942,-87.2489
Auburn,IN,41.36699,-85.05886
Aurora,IN,39.057,-84.90134
Austin,IN,38.75839,-85.80803
Avilla,IN,41.36588,-85.23886
Avon,IN,39.76282,-86.39972
Bargersville,IN,39.52088,-86.16777
Bartholomew County,IN,39.20597,-85.8976
Bass Lake,IN,41.20726,-86.60196
Batesville,IN,39.30005,-85.22218
Battle Ground,IN,40.50837,-86.84168
Bedford,IN,38.86116,-86.48721
Beech Grove,IN,39.72199,-86.08998
Benton County,IN,40.60626,-87.31091
Berne,IN,40.65782,-84.95191
Bicknell,IN,38.77421,-87.30779
Blackford County,IN,40.4736,-85.32482
Bloomfield,IN,39.02699,-86.93751
Bloomington,IN,39.16533,-86.52639
Bluffton,IN,40.73866,-85.17164
Boone County,IN,40.0508,-86.4687
Boonville,IN,38.04921,-87.27417
Bourbon,IN,41.2956,-86.11639
Brazil,IN,39.52365,-87.12502
Bremen,IN,41.44644,-86.14806
Bright,IN,39.21839,-84.85606
Bristol,IN,41.72144,-85.81749
Broad Ripple,IN,39.86671,-86.14165
Brooklyn,IN,39.53921,-86.36916
Brookston,IN,40.60281,-86.86723
Brookville,IN,39.42311,-85.01274
Brown County,IN,39.19621,-86.22737
Brownsburg,IN,39.84338,-86.39777
Brownstown,IN,38.87894,-86.04192
Burns Harbor,IN,41.62587,-87.13337
Butler,IN,41.42977,-84.87135
Cambridge City,IN,39.81255,-85.17163
Cannelton,IN,37.91144,-86.74443
Carmel,IN,39.97837,-86.11804
Carroll County,IN,40.58286,-86.56348
Cass County,IN,40.76149,-86.34595
Cayuga,IN,39.94865,-87.45974
Cedar Lake,IN,41.36476,-87.44115
Centerville,IN,39.81782,-84.99635
Chandler,IN,38.04171,-87.36806
Charlestown,IN,38.45312,-85.67024
Chesterfield,IN,40.11254,-85.59692
Chesterton,IN,41.61059,-87.0642
Churubusco,IN,41.2306,-85.31942
Cicero,IN,40.12393,-86.01332
Clark County,IN,38.47718,-85.70728
Clarksville,IN,38.29674,-85.75996
Clay County,IN,39.39273,-87.11576
Clermont,IN,39.80977,-86.32249
Clinton,IN,39.65698,-87.39807
Clinton County,IN,40.30169,-86.47516
Cloverdale,IN,39.51477,-86.7939
Columbia City,IN,41.15727,-85.48831
Columbus,IN,39.20144,-85.92138
Connersville,IN,39.64116,-85.14107
Converse,IN,40.57754,-85.87332
Cordry Sweetwater Lakes,IN,39.30464,-86.11837
Corydon,IN,38.21201,-86.12192
Country Squire Lakes,IN,39.03478,-85.69858
Covington,IN,40.1417,-87.39474
Crawford County,IN,38.29241,-86.45171
Crawfordsville,IN,40.04115,-86.87445
Crothersville,IN,38.80061,-85.84164
Crown Point,IN,41.41698,-87.36531
Culver,IN,41.21893,-86.42306
Cumberland,IN,39.77615,-85.9572
Dale,IN,38.16894,-86.99
Daleville,IN,40.12115,-85.55803
Danville,IN,39.7606,-86.52639
Darmstadt,IN,38.09921,-87.57891
Daviess County,IN,38.70241,-87.07207
