name,state_code,latitude,longitude
Aberdeen,MD,39.50956,-76.16412
Aberdeen Proving Ground,MD,39.46686,-76.13066
Accokeek,MD,38.66762,-77.02831
Adamstown,MD,39.31094,-77.47471
Adelphi,MD,39.00317,-76.97192
Algonquin,MD,38.5829,-76.10577
Allegany County,MD,39.62148,-78.6989
Andrews AFB,MD,38.80531,-76.8746
Annapolis,MD,38.97845,-76.49218
Anne Arundel County,MD,38.99416,-76.5676
Arbutus,MD,39.25455,-76.69997
Arden on the Severn,MD,39.06594,-76.57885
Arlington,MD,39.34857,-76.68324
Arnold,MD,39.03206,-76.50274
Ashton-Sandy Spring,MD,39.14976,-77.00504
Aspen Hill,MD,39.07955,-77.07303
Baden,MD,38.65928,-76.77775
Ballenger Creek,MD,39.3726,-77.43526
Baltimore,MD,39.29038,-76.61219
Baltimore County,MD,39.44307,-76.61632
Baltimore Highlands,MD,39.23316,-76.63663
Bartonsville,MD,39.3926,-77.35804
Bel Air,MD,39.53594,-76.34829
Bel Air North,MD,39.55429,-76.37309
Bel Air South,MD,39.50506,-76.31977
Beltsville,MD,39.03483,-76.90747
Bennsville,MD,38.60929,-77.0122
Berlin,MD,38.32262,-75.21769
Berwyn Heights,MD,38.994,-76.91053
Bethesda,MD,38.98067,-77.10026
Bladensburg,MD,38.93928,-76.93386
Boonsboro,MD,39.50621,-77.65249
Bowie,MD,38.94278,-76.73028
Bowleys Quarters,MD,39.33539,-76.39024
Bowling Green,MD,39.6237,-78.80446
Braddock Heights,MD,39.41871,-77.5036
Brandywine,MD,38.69678,-76.84775
Brentwood,MD,38.94317,-76.95664
Brock Hall,MD,38.85011,-76.76108
Brooklyn Park,MD,39.22844,-76.61636
Brookmont,MD,38.94206,-77.12026
Brunswick,MD,39.31427,-77.62777
Bryans Road,MD,38.62706,-77.07303
Buckeystown,MD,39.33482,-77.43165
Burtonsville,MD,39.11122,-76.93248
Butcher's Hill,MD,39.28955,-76.5883
Cabin John,MD,38.97539,-77.15803
California,MD,38.3004,-76.50745
Calvert County,MD,38.53471,-76.53056
Calverton,MD,39.05761,-76.93581
Cambridge,MD,38.56317,-76.07883
Camp Springs,MD,38.804,-76.90664
Cape Saint Claire,MD,39.04317,-76.44496
Capitol Heights,MD,38.88511,-76.91581
Carney,MD,39.39427,-76.52358
Caroline County,MD,38.87173,-75.8316
Carroll County,MD,39.56286,-77.02252
Catonsville,MD,39.27205,-76.73192
Cavetown,MD,39.64426,-77.58582
Cecil County,MD,39.56242,-75.94811
Centreville,MD,39.04178,-76.06633
Charles County,MD,38.47368,-77.01348
Charles Village,MD,39.32316,-76.6133
Charlestown,MD,39.57373,-75.97495
Charlotte Hall,MD,38.48096,-76.77802
Chesapeake Beach,MD,38.68623,-76.53468
Chesapeake Ranch Estates,MD,38.34624,-76.41773
Chester,MD,38.97539,-76.2894
Chestertown,MD,39.209,-76.06661
Cheverly,MD,38.92817,-76.91581
Chevy Chase,MD,39.00287,-77.07115
Chevy Chase Village,MD,38.96928,-77.07887
Chillum,MD,38.96372,-76.99081
City of Baltimore,MD,39.29038,-76.61219
Clarksburg,MD,39.23872,-77.27943
Clinton,MD,38.76511,-76.89831
Clover Hill,MD,39.45621,-77.42887
Cloverly,MD,39.10816,-76.99775
Cobb Island,MD,38.25846,-76.84386
Cockeysville,MD,39.48122,-76.64386
Colesville,MD,39.07566,-77.00192
College Park,MD,38.98067,-76.93692
Colmar Manor,MD,38.93317,-76.94581
Columbia,MD,39.24038,-76.83942
Coral Hills,MD,38.87039,-76.92108
Cottage City,MD,38.93817,-76.94831
Cresaptown,MD,39.59287,-78.83335
Crisfield,MD,37.98346,-75.85382
Crofton,MD,39.00178,-76.68747
Croom,MD,38.75262,-76.76386
Crownsville,MD,39.02844,-76.60135
Cumberland,MD,39.65287,-78.76252
Damascus,MD,39.28844,-77.20387
Darnestown,MD,39.10344,-77.29082
Davidsonville,MD,38.92289,-76.6283
Deale,MD,38.77651,-76.55524
Denton,MD,38.88456,-75.82716
Derwood,MD,39.11733,-77.16109
District Heights,MD,38.85761,-76.88942
Dorchester County,MD,38.42261,-76.08332
Drum Point,MD,38.32679,-76.42606
Dundalk,MD,39.25066,-76.52052
Dunkirk,MD,38.72178,-76.66052
Dunkirk Town Center,MD,38.72039,-76.65857
East Riverdale,MD,38.96206,-76.92192
Easton,MD,38.77428,-76.07633
Edgemere,MD,39.24205,-76.44802
Edgewater,MD,38.95706,-76.54996
Edgewood,MD,39.41872,-76.2944
Edmonston,MD,38.94678,-76.93109
Eldersburg,MD,39.40371,-76.95026
Elkridge,MD,39.21261,-76.71358
Elkton,MD,39.60678,-75.83327
Ellicott City,MD,39.26733,-76.79831
Emmitsburg,MD,39.70454,-77.32693
Essex,MD,39.30927,-76.47496
Fairland,MD,39.07622,-76.95775
Fairmount Heights,MD,38.90095,-76.91553
Fairwood,MD,38.95665,-76.77772
Fallston,MD,39.51455,-76.41107
Federalsburg,MD,38.69428,-75.77216
Ferndale,MD,39.18316,-76.64024
Forest Glen,MD,39.01455,-77.0547
Forest Heights,MD,38.80956,-76.99803
Forestville,MD,38.84511,-76.87497
Fort George G Mead Junction,MD,39.12594,-76.78914
Fort Meade,MD,39.10815,-76.74323
Fort Washington,MD,38.70734,-77.02303
Fountainhead-Orchard Hills,MD,39.68636,-77.71901
Four Corners,MD,39.02039,-77.01275
Frederick,MD,39.41427,-77.41054
Frederick County,MD,39.47222,-77.39799
Friendly,MD,38.75178,-76.97859
Friendship Village,MD,38.96289,-77.08887
Frostburg,MD,39.65814,-78.92836
Fruitland,MD,38.32206,-75.6202
Fulton,MD,39.15094,-76.92303
Gaithersburg,MD,39.14344,-77.20137
Gambrills,MD,39.06705,-76.66524
Garrett County,MD,39.5286,-79.27388
Garrett Park,MD,39.03816,-77.09303
Garrison,MD,39.40594,-76.76053
Germantown,MD,39.17316,-77.27165
Glassmanor,MD,38.819,-76.99859
Glen Burnie,MD,39.16261,-76.62469
Glenarden,MD,38.92928,-76.86164
Glenmont,MD,39.05789,-77.0497
Glenn Dale,MD,38.98761,-76.82053
Goddard,MD,38.98955,-76.85331
Golden Beach,MD,38.48985,-76.68218
Grasonville,MD,38.95817,-76.21023
Greater Upper Marlboro,MD,38.83142,-76.74827
Green Haven,MD,39.13955,-76.54774
Green Valley,MD,39.30927,-77.29721
Greenbelt,MD,39.00455,-76.87553
Greensboro,MD,38.97372,-75.80493
Hagerstown,MD,39.64176,-77.71999
Halfway,MD,39.62065,-77.75888
Hampstead,MD,39.60483,-76.84998
Hampton,MD,39.42288,-76.58469
Hancock,MD,39.69898,-78.17973
Hanover,MD,39.19289,-76.72414
Harford County,MD,39.53644,-76.29887
Havre de Grace,MD,39.54928,-76.09162
Hebron,MD,38.42012,-75.68771
Herald Harbor,MD,39.05372,-76.56913
Highfield-Cascade,MD,39.71616,-77.48282
Highland,MD,39.179,-76.95748
Hillandale,MD,39.0265,-76.97414
Hillcrest Heights,MD,38.83289,-76.95942
Hillsmere Shores,MD,38.94011,-76.49496
Howard County,MD,39.25072,-76.93119
Hughesville,MD,38.53262,-76.78386
Hunt Valley,MD,39.49983,-76.64108
Huntingtown,MD,38.61595,-76.61302
Huntingtown Town Center,MD,38.62095,-76.61607
Hurlock,MD,38.62428,-75.85438
Hyattsville,MD,38.95594,-76.94553
Ilchester,MD,39.25094,-76.76469
Indian Head,MD,38.60012,-77.1622
Irvington,MD,39.28288,-76.68608
Jarrettsville,MD,39.60455,-76.47774
Jefferson,MD,39.36205,-77.53165
Jessup,MD,39.14927,-76.77525
Joppatowne,MD,39.45789,-76.35524
Keedysville,MD,39.48621,-77.69971
Kemp Mill,MD,39.039,-77.01914
Kensington,MD,39.02567,-77.07637
Kent County,MD,39.2356,-76.09582
Kettering,MD,38.88456,-76.81469
Kingstown,MD,39.20483,-76.05133
Kingsville,MD,39.44872,-76.41774
La Plata,MD,38.52929,-76.97525
La Vale,MD,39.65564,-78.81058
Lake Arbor,MD,38.90789,-76.82969
Lake Shore,MD,39.10705,-76.48496
Landover,MD,38.934,-76.89664
Landover Hills,MD,38.94317,-76.8922
Langley Park,MD,38.98872,-76.98136
Lanham,MD,38.96875,-76.8634
Lanham-Seabrook,MD,38.96835,-76.85108
Lansdowne,MD,39.24511,-76.66052
Largo,MD,38.89761,-76.83025
Laurel,MD,39.09928,-76.84831
Layhill,MD,39.09233,-77.04442
Leisure World,MD,39.1023,-77.06898
Leonardtown,MD,38.29124,-76.63579
Lexington Park,MD,38.26679,-76.45384
Linganore,MD,39.44038,-77.20804
Linthicum,MD,39.20511,-76.65275
Lochearn,MD,39.34066,-76.72219
Lonaconing,MD,39.56592,-78.9803
Londontowne,MD,38.93345,-76.54941
Long Beach,MD,38.46096,-76.46884
Lusby,MD,38.41068,-76.45523
Lutherville,MD,39.42122,-76.62608
Lutherville-Timonium,MD,39.43997,-76.61099
Manchester,MD,39.66121,-76.88498
Marlboro Meadows,MD,38.83622,-76.71497
Marlboro Village,MD,38.83054,-76.76965
Marlow Heights,MD,38.83345,-76.95164
Marlton,MD,38.77373,-76.78997
Maryland City,MD,39.09205,-76.81775
Maugansville,MD,39.69287,-77.74472
Mayo,MD,38.88761,-76.5119
Mays Chapel,MD,39.43316,-76.64941
Mechanicsville,MD,38.4429,-76.74385
Mellwood,MD,38.81039,-76.82414
Middle River,MD,39.33427,-76.43941
Middletown,MD,39.44371,-77.54471
Milford Mill,MD,39.34788,-76.76997
Mitchellville,MD,38.92511,-76.74275
Montgomery County,MD,39.13638,-77.20424
Montgomery Village,MD,39.17677,-77.19526
Morningside,MD,38.83011,-76.89136
Mount Airy,MD,39.37621,-77.1547
Mount Rainier,MD,38.9415,-76.96498
Mountain Lake Park,MD,39.39843,-79.38171
Myersville,MD,39.5051,-77.56638
National Harbor,MD,38.78264,-77.01506
Naval Academy,MD,38.98568,-76.48774
New Carrollton,MD,38.96983,-76.87997
New Windsor,MD,39.54205,-77.10804
North Beach,MD,38.70734,-76.53107
North Bel Air,MD,39.53983,-76.35496
North Bethesda,MD,39.04455,-77.11887
North East,MD,39.60011,-75.94133
North Kensington,MD,39.03039,-77.07248
North Laurel,MD,39.139,-76.87053
North Potomac,MD,39.08289,-77.26498
Oakland,MD,39.40787,-79.40671
Ocean City,MD,38.3365,-75.08491
Ocean Pines,MD,38.39539,-75.15574
Odenton,MD,39.084,-76.70025
Olney,MD,39.15316,-77.06692
Overlea,MD,39.36344,-76.52052
Owings,MD,38.71762,-76.60135
Owings Mills,MD,39.41955,-76.78025
Oxon Hill,MD,38.80345,-76.9897
Oxon Hill-Glassmanor,MD,38.79615,-76.97499
Paramount-Long Meadow,MD,39.68042,-77.6929
Parkville,MD,39.37733,-76.53969
Parole,MD,38.97956,-76.53052
Pasadena,MD,39.10733,-76.57108
Peppermill Village,MD,38.89472,-76.88654
Perry Hall,MD,39.41261,-76.46357
Perryman,MD,39.46955,-76.2044
Perryville,MD,39.56011,-76.07134
Pikesville,MD,39.37427,-76.72247
Pittsville,MD,38.39539,-75.41297
Pleasant Hills,MD,39.47955,-76.39413
Pocomoke City,MD,38.07568,-75.56798
Point of Rocks,MD,39.27594,-77.53915
Poolesville,MD,39.14594,-77.41693
Potomac,MD,39.01817,-77.20859
Potomac Heights,MD,38.60873,-77.14053
Potomac Park,MD,39.61176,-78.80585
Prince Frederick,MD,38.5404,-76.5844
Prince George's County,MD,38.82952,-76.84729
Princess Anne,MD,38.2029,-75.69243
Pumphrey,MD,39.21733,-76.63719
Queen Anne,MD,38.89872,-76.6783
Queen Anne's County,MD,39.03763,-76.08504
Queenland,MD,38.80524,-76.79126
Randallstown,MD,39.36733,-76.79525
Redland,MD,39.14539,-77.14415
Reisterstown,MD,39.46976,-76.8319
Ridgely,MD,38.94789,-75.88438
Rising Sun,MD,39.69789,-76.06273
Riva,MD,38.95206,-76.57802
Riverdale Park,MD,38.96344,-76.93164
Riverside,MD,39.47372,-76.24134
Riviera Beach,MD,39.16678,-76.50802
Robinwood,MD,39.63704,-77.65694
Rock Hall,MD,39.13817,-76.23495
Rockville,MD,39.084,-77.15276
Rosaryville,MD,38.75678,-76.80969
Rosedale,MD,39.32011,-76.51552
Rossmoor,MD,39.10372,-77.07109
Rossville,MD,39.33844,-76.47968
Saint Charles,MD,38.60317,-76.93858
Saint James,MD,39.5626,-77.75805
Saint Mary's County,MD,38.21586,-76.52906
Saint Michaels,MD,38.78512,-76.22439
Salisbury,MD,38.36067,-75.59937
Savage,MD,39.13789,-76.82386
Scaggsville,MD,39.14511,-76.90025
Seabrook,MD,38.96805,-76.84658
Seat Pleasant,MD,38.89622,-76.90664
Selby-on-the-Bay,MD,38.91622,-76.52246
Severn,MD,39.13705,-76.6983
Severna Park,MD,39.07039,-76.54524
Shady Side,MD,38.84178,-76.51218
Silver Hill,MD,38.84178,-76.94581
Silver Spring,MD,38.99067,-77.02609
Smithsburg,MD,39.65482,-77.57277
Snow Hill,MD,38.17706,-75.3927
Solomons,MD,38.31846,-76.45412
Somerset,MD,38.96594,-77.09609
Somerset County,MD,38.08007,-75.85347
South Bel Air,MD,39.53316,-76.33746
South Gate,MD,39.129,-76.6258
South Kensington,MD,39.019,-77.07998
South Laurel,MD,39.06983,-76.85025
Spencerville,MD,39.11427,-76.97831
Spring Ridge,MD,39.40149,-77.35248
Springdale,MD,38.93761,-76.83886
Stevensville,MD,38.98067,-76.3144
Suitland,MD,38.84872,-76.92386
Suitland-Silver Hill,MD,38.84685,-76.92591
Summerfield,MD,38.90454,-76.8683
Sykesville,MD,39.37371,-76.96776
Takoma Park,MD,38.97789,-77.00748
Talbot County,MD,38.7491,-76.17862
Taneytown,MD,39.65788,-77.17443
Temple Hills,MD,38.814,-76.94553
Thurmont,MD,39.62371,-77.41082
Timonium,MD,39.43705,-76.61969
Towson,MD,39.4015,-76.60191
Trappe,MD,38.65845,-76.058
Travilah,MD,39.069,-77.26304
University Park,MD,38.97039,-76.94192
Upper Marlboro,MD,38.81595,-76.74969
Urbana,MD,39.32594,-77.35137
Waldorf,MD,38.62456,-76.93914
Walker Mill,MD,38.87539,-76.88831
Walkersville,MD,39.48621,-77.35193
Washington County,MD,39.60367,-77.81398
West Elkridge,MD,39.20705,-76.72692
West Laurel,MD,39.10122,-76.8997
West Ocean City,MD,38.3315,-75.10685
Westernport,MD,39.48537,-79.04475
Westminster,MD,39.57538,-76.99581
Westphalia,MD,38.84539,-76.81108
Wheaton,MD,39.03983,-77.05526
White Marsh,MD,39.38372,-76.43218
White Oak,MD,39.03983,-76.99303
Wicomico County,MD,38.36942,-75.63151
