name,state_code,latitude,longitude
Adrian,MI,41.89755,-84.03717
Albion,MI,42.2431,-84.75303
Alcona County,MI,44.71161,-83.34366
Alger County,MI,46.4511,-86.54755
Algonac,MI,42.61858,-82.5323
Allegan,MI,42.5292,-85.8553
Allegan County,MI,42.51766,-85.91034
Allen Park,MI,42.25754,-83.21104
Allendale,MI,42.97225,-85.95365
Alma,MI,43.37892,-84.65973
Almont,MI,42.92058,-83.04493
Alpena,MI,45.06168,-83.43275
Alpena County,MI,45.0635,-83.46039
Ann Arbor,MI,42.27756,-83.74088
Antrim County,MI,45.00737,-85.17579
Arenac County,MI,44.04289,-83.74725
Argentine,MI,42.79142,-83.84634
Armada,MI,42.8442,-82.88437
Athens,MI,42.08866,-85.23471
Atlanta,MI,45.00473,-84.14389
Au Sable,MI,44.41085,-83.33219
Auburn,MI,43.60336,-84.0697
Auburn Hills,MI,42.68753,-83.2341
Bad Axe,MI,43.80196,-83.00078
Baldwin,MI,43.90112,-85.85173
Bangor,MI,42.31254,-86.11308
Baraga,MI,46.77854,-88.48902
Baraga County,MI,46.69976,-88.35215
Barnes Lake-Millers Lake,MI,43.17956,-83.3123
Barry County,MI,42.59503,-85.30897
Bath,MI,42.81864,-84.44859
Battle Creek,MI,42.3173,-85.17816
Bay City,MI,43.59447,-83.88886
Bay County,MI,43.72137,-83.94184
Bay Harbor,MI,45.36413,-85.08208
Beaverton,MI,43.88225,-84.48473
Beecher,MI,43.09003,-83.6944
Beechwood,MI,42.79697,-86.12588
Belding,MI,43.09781,-85.22891
Bellaire,MI,44.98028,-85.21117
Belleville,MI,42.20476,-83.48521
Bellevue,MI,42.44337,-85.01805
Benton Harbor,MI,42.11671,-86.45419
Benton Heights,MI,42.13115,-86.40724
Benzie County,MI,44.61687,-86.13899
Berkley,MI,42.50309,-83.18354
Berrien County,MI,41.91863,-86.42807
Berrien Springs,MI,41.94643,-86.3389
Bessemer,MI,46.48134,-90.05295
Beulah,MI,44.63194,-86.09092
Beverly Hills,MI,42.52392,-83.22326
Big Rapids,MI,43.69808,-85.48366
Bingham Farms,MI,42.51587,-83.27326
Birch Run,MI,43.25086,-83.79413
Birmingham,MI,42.5467,-83.21132
Blissfield,MI,41.83255,-83.86244
Bloomfield Hills,MI,42.58364,-83.24549
Boyne City,MI,45.21668,-85.01394
Branch County,MI,41.91611,-85.05903
Breckenridge,MI,43.40808,-84.475
Bridgeport,MI,43.35947,-83.88164
Bridgman,MI,41.9431,-86.55697
Brighton,MI,42.52948,-83.78022
Bronson,MI,41.87227,-85.1947
Brooklyn,MI,42.10587,-84.24828
Brown City,MI,43.21225,-82.98966
Brownlee Park,MI,42.31893,-85.14249
Buchanan,MI,41.82727,-86.36112
Buena Vista,MI,43.4203,-83.89858
Burt,MI,43.23669,-83.90636
Burton,MI,42.99947,-83.61634
Byron Center,MI,42.81225,-85.72281
Cadillac,MI,44.25195,-85.40116
Caledonia,MI,42.7892,-85.51669
Calhoun County,MI,42.24653,-85.00559
Canadian Lakes,MI,43.57919,-85.3017
Canton,MI,42.30865,-83.48216
Capac,MI,43.01253,-82.92799
Carleton,MI,42.05921,-83.39077
Caro,MI,43.49073,-83.39885
Carrollton,MI,43.45864,-83.93025
Carson City,MI,43.17698,-84.84639
Cass City,MI,43.60085,-83.17467
Cass County,MI,41.9154,-85.99346
Cassopolis,MI,41.91171,-86.01001
Cedar Springs,MI,43.22336,-85.55142
Center Line,MI,42.48504,-83.0277
Centreville,MI,41.92338,-85.52832
Charlevoix,MI,45.31806,-85.2584
Charlevoix County,MI,45.26715,-85.24017
Charlotte,MI,42.56365,-84.83582
Cheboygan,MI,45.64696,-84.47448
Cheboygan County,MI,45.47294,-84.49206
Chelsea,MI,42.31807,-84.02181
Chesaning,MI,43.18475,-84.11497
Chippewa County,MI,46.32818,-84.52936
Clare,MI,43.81947,-84.76863
Clare County,MI,43.98787,-84.84784
Clarkston,MI,42.73586,-83.41883
Clawson,MI,42.53337,-83.14632
Clinton,MI,42.07199,-83.97161
Clinton County,MI,42.94365,-84.60152
Clinton Township,MI,42.58698,-82.91992
Clio,MI,43.17753,-83.73413
Coldwater,MI,41.94033,-85.00052
Coleman,MI,43.75669,-84.58584
Coloma,MI,42.18615,-86.30836
Colon,MI,41.95838,-85.32498
Comstock Northwest,MI,42.32182,-85.51759
Comstock Park,MI,43.03864,-85.67003
Concord,MI,42.17782,-84.64302
Constantine,MI,41.84116,-85.6686
Coopersville,MI,43.06391,-85.93477
Corunna,MI,42.98197,-84.11775
Crawford County,MI,44.68361,-84.6103
Croswell,MI,43.27558,-82.62104
Crystal Falls,MI,46.09801,-88.33402
Cutlerville,MI,42.84086,-85.66364
Davison,MI,43.03475,-83.51801
Dearborn,MI,42.32226,-83.17631
Dearborn Heights,MI,42.33698,-83.27326
Decatur,MI,42.1081,-85.97446
Delta County,MI,45.79162,-86.8706
Detroit,MI,42.33143,-83.04575
Detroit Beach,MI,41.93116,-83.32688
DeWitt,MI,42.84226,-84.56915
Dexter,MI,42.33834,-83.88954
Dickinson County,MI,46.00935,-87.87021
Dimondale,MI,42.64559,-84.64887
Dollar Bay,MI,47.11965,-88.51151
Douglas,MI,42.64336,-86.20059
Dowagiac,MI,41.98421,-86.10862
Dundee,MI,41.95727,-83.65966
Durand,MI,42.91198,-83.98468
Eagle River,MI,47.41381,-88.29566
East Grand Rapids,MI,42.94114,-85.61003
East Jordan,MI,45.15806,-85.12423
East Lansing,MI,42.73698,-84.48387
East Tawas,MI,44.27946,-83.49025
Eastpointe,MI,42.46837,-82.95547
Eastwood,MI,42.3031,-85.55028
Eaton County,MI,42.59607,-84.83831
Eaton Rapids,MI,42.5092,-84.65581
Ecorse,MI,42.24448,-83.14576
Edgemont Park,MI,42.7467,-84.59359
Edmore,MI,43.40809,-85.03863
Edwardsburg,MI,41.7956,-86.08084
Elk Rapids,MI,44.89556,-85.41646
Emmet County,MI,45.58754,-84.98147
Escanaba,MI,45.74525,-87.06458
Essexville,MI,43.6153,-83.84192
Evart,MI,43.90058,-85.2581
Fair Plain,MI,42.08699,-86.45586
Farmington,MI,42.46448,-83.37632
Farmington Hills,MI,42.48531,-83.37716
Fennville,MI,42.59392,-86.1017
Fenton,MI,42.79781,-83.70495
Ferndale,MI,42.46059,-83.13465
Ferrysburg,MI,43.08446,-86.22033
Flat Rock,MI,42.09643,-83.29187
Flint,MI,43.01253,-83.68746
Flushing,MI,43.06308,-83.85107
Forest Hills,MI,42.95947,-85.48975
Fowler,MI,43.0017,-84.73972
Fowlerville,MI,42.66059,-84.07301
Frankenmuth,MI,43.33169,-83.73802
Frankfort,MI,44.63361,-86.23454
Franklin,MI,42.52226,-83.30604
Fraser,MI,42.5392,-82.94937
Freeland,MI,43.52503,-84.12276
Fremont,MI,43.46752,-85.942
Fruitport,MI,43.13196,-86.15478
Galesburg,MI,42.28865,-85.41806
Garden City,MI,42.32559,-83.33104
