name,state_code,latitude,longitude
Absarokee,MT,45.5205,-109.44294
Anaconda,MT,46.12854,-112.94226
Baker,MT,46.36695,-104.28466
Beaverhead County,MT,45.13273,-112.89889
Belgrade,MT,45.77604,-111.1769
Big Horn County,MT,45.42346,-107.4897
Big Sky,MT,45.28465,-111.36829
Big Timber,MT,45.83494,-109.95546
Bigfork,MT,48.06329,-114.07261
Billings,MT,45.78329,-108.50069
Blaine County,MT,48.43276,-108.95866
Bonner-West Riverside,MT,46.87669,-113.88678
Boulder,MT,46.23659,-112.12083
Bozeman,MT,45.67965,-111.03856
Broadus,MT,45.44387,-105.41133
Broadwater County,MT,46.33199,-111.49547
Browning,MT,48.55692,-113.01342
Butte,MT,46.00382,-112.53474
Butte-Silver Bow (Balance),MT,45.90194,-112.65708
Carbon County,MT,45.22737,-109.02832
Carter County,MT,45.51677,-104.53616
Cascade County,MT,47.30802,-111.34715
Chester,MT,48.51054,-110.96747
Chinook,MT,48.59,-109.23128
Choteau,MT,47.81245,-112.18363
Chouteau County,MT,47.88056,-110.4352
Circle,MT,47.41667,-105.59222
Clancy,MT,46.46521,-111.98638
Clinton,MT,46.76909,-113.7126
Colstrip,MT,45.88416,-106.62364
Columbia Falls,MT,48.37246,-114.18152
Columbus,MT,45.63661,-109.25211
Conrad,MT,48.17025,-111.94613
Crow Agency,MT,45.60164,-107.46119
Custer County,MT,46.2527,-105.57178
Cut Bank,MT,48.63304,-112.32616
Daniels County,MT,48.78381,-105.54857
Dawson County,MT,47.26638,-104.89946
Deer Lodge,MT,46.39576,-112.73004
Deer Lodge County,MT,46.06079,-113.06775
Dillon,MT,45.21631,-112.63752
East Helena,MT,46.58966,-111.91555
East Missoula,MT,46.87076,-113.94455
Ekalaka,MT,45.88889,-104.55273
Eureka,MT,48.87996,-115.0535
Evergreen,MT,48.22579,-114.27624
Fallon County,MT,46.33402,-104.41742
Fergus County,MT,47.26357,-109.22433
Flathead County,MT,48.29516,-114.04981
Forsyth,MT,46.26638,-106.67781
Fort Belknap Agency,MT,48.4825,-108.76544
Fort Benton,MT,47.8183,-110.66744
Four Corners,MT,45.62965,-111.18606
Frenchtown,MT,47.01492,-114.22984
Gallatin County,MT,45.54049,-111.17035
Garfield County,MT,47.2777,-106.99283
Glacier County,MT,48.70508,-112.99475
Glasgow,MT,48.19696,-106.63671
Glendive,MT,47.10529,-104.71246
Golden Valley County,MT,46.38126,-109.17494
Granite County,MT,46.40444,-113.44026
Great Falls,MT,47.50024,-111.30081
Hamilton,MT,46.24687,-114.16037
Hardin,MT,45.73248,-107.61203
Harlowton,MT,46.43551,-109.83435
Havre,MT,48.55,-109.68409
Helena,MT,46.59271,-112.03611
Helena Valley Northeast,MT,46.69882,-111.95207
Helena Valley Northwest,MT,46.72894,-112.06275
Helena Valley Southeast,MT,46.61527,-111.92156
Helena Valley West Central,MT,46.66291,-112.06044
Helena West Side,MT,46.59672,-112.11304
Hill County,MT,48.62823,-110.11131
Hysham,MT,46.29277,-107.23423
Jefferson County,MT,46.14849,-112.09374
Jordan,MT,47.32083,-106.91007
Judith Basin County,MT,47.04546,-110.26607
Kalispell,MT,48.19579,-114.31291
Lake County,MT,47.64594,-114.08935
Lakeside,MT,48.01939,-114.22457
Lame Deer,MT,45.62305,-106.6667
Laurel,MT,45.66912,-108.77153
Lewis and Clark County,MT,47.12234,-112.39035
Lewistown,MT,47.06247,-109.42824
Libby,MT,48.38829,-115.556
Liberty County,MT,48.56169,-111.02461
Lincoln,MT,46.95494,-112.68171
Lincoln County,MT,48.54253,-115.40519
Livingston,MT,45.66244,-110.56104
Lockwood,MT,45.81912,-108.41486
Lolo,MT,46.75881,-114.08094
Madison County,MT,45.30074,-111.92033
Malmstrom Air Force Base,MT,47.50549,-111.18302
Malta,MT,48.35972,-107.87428
Manhattan,MT,45.8566,-111.33246
McCone County,MT,47.64523,-105.79534
Meagher County,MT,46.59819,-110.88564
Miles City,MT,46.40834,-105.84056
Mineral County,MT,47.14732,-114.9985
Missoula,MT,46.87215,-113.994
Missoula County,MT,47.03649,-113.92371
Montana City,MT,46.53771,-111.93277
Musselshell County,MT,46.49655,-108.39771
North Browning,MT,48.57025,-113.00953
Orchard Homes,MT,46.86326,-114.04844
Pablo,MT,47.60021,-114.119
Park County,MT,45.48834,-110.52632
Petroleum County,MT,47.11751,-108.25012
Philipsburg,MT,46.33215,-113.29423
Phillips County,MT,48.25909,-107.91329
Plains,MT,47.46021,-114.88291
Plentywood,MT,48.77475,-104.56246
Polson,MT,47.69355,-114.16317
Pondera County,MT,48.22798,-112.22639
Powder River County,MT,45.39501,-105.6301
Powell County,MT,46.85663,-112.9362
Prairie County,MT,46.86049,-105.37794
Ravalli County,MT,46.0817,-114.12069
Red Lodge,MT,45.18578,-109.24682
Richland County,MT,47.78792,-104.56134
Ronan,MT,47.52882,-114.1015
Roosevelt County,MT,48.29455,-105.01652
Rosebud County,MT,46.22974,-106.73082
Roundup,MT,46.44524,-108.5418
Ryegate,MT,46.29718,-109.25879
Sanders County,MT,47.67483,-115.13329
Scobey,MT,48.79252,-105.42083
Seeley Lake,MT,47.17938,-113.48452
Shelby,MT,48.50526,-111.85697
Sheridan County,MT,48.7212,-104.50468
Sidney,MT,47.71668,-104.15633
Silver Bow County,MT,45.90236,-112.65672
Somers,MT,48.08023,-114.22151
South Browning,MT,48.54608,-113.01425
Stanford,MT,47.15358,-110.21826
Stevensville,MT,46.50992,-114.09316
Stillwater County,MT,45.66944,-109.39477
Sun Prairie,MT,47.5369,-111.48136
Superior,MT,47.19159,-114.8918
Sweet Grass County,MT,45.81373,-109.94105
Terry,MT,46.79306,-105.31221
Teton County,MT,47.83729,-112.2408
Thompson Falls,MT,47.59489,-115.33834
Three Forks,MT,45.89243,-111.55219
Toole County,MT,48.6553,-111.6957
Townsend,MT,46.3191,-111.5208
Treasure County,MT,46.21147,-107.2717
Valley County,MT,48.36531,-106.66752
Virginia City,MT,45.29381,-111.94609
Warm Springs,MT,46.18131,-112.78476
West Glendive,MT,47.11085,-104.74968
West Yellowstone,MT,44.66215,-111.10411
Wheatland County,MT,46.46634,-109.8444
White Sulphur Springs,MT,46.54828,-110.90216
Whitefish,MT,48.41108,-114.33763
Whitehall,MT,45.87076,-112.09749
Wibaux,MT,46.98501,-104.18827
Wibaux County,MT,46.96535,-104.24897
Winnett,MT,47.00276,-108.35207
Wolf Point,MT,48.09057,-105.64056
Yellowstone County,MT,45.93725,-108.27435
