name,state_code,latitude,longitude
Alexandria,NH,43.61146,-71.79286
Alstead,NH,43.14897,-72.36064
Andover,NH,43.43702,-71.82341
Antrim,NH,43.03091,-71.93897
Ashland,NH,43.69535,-71.63063
Atkinson,NH,42.83842,-71.147
Auburn,NH,43.00453,-71.3484
Barnstead,NH,43.33397,-71.29284
Barrington,NH,43.22286,-71.04701
Bedford,NH,42.94647,-71.5159
Belknap County,NH,43.51869,-71.42336
Belmont,NH,43.44536,-71.47785
Berlin,NH,44.46867,-71.18508
Boscawen,NH,43.31508,-71.62091
Bow Bog,NH,43.12064,-71.51146
Brentwood,NH,42.9787,-71.07284
Bridgewater,NH,43.63841,-71.73647
Bristol,NH,43.59119,-71.73675
Brookline,NH,42.73481,-71.65813
Candia,NH,43.07786,-71.27673
Canterbury,NH,43.33702,-71.56535
Carroll County,NH,43.87391,-71.20277
Center Harbor,NH,43.7098,-71.46035
Charlestown,NH,43.23869,-72.42453
Cheshire County,NH,42.91932,-72.25118
Chester,NH,42.95675,-71.25728
Chesterfield,NH,42.8873,-72.47037
Chichester,NH,43.24925,-71.39979
Claremont,NH,43.37674,-72.34676
Colebrook,NH,44.89449,-71.49592
Concord,NH,43.20814,-71.53757
Contoocook,NH,43.22202,-71.71397
Conway,NH,43.97924,-71.12035
Coos County,NH,44.6896,-71.30542
Danbury,NH,43.52563,-71.86175
Danville,NH,42.91259,-71.1245
Deerfield,NH,44.23062,-71.61703
Deering,NH,43.07314,-71.84452
Derry,NH,42.88064,-71.32729
Derry Village,NH,42.89175,-71.31201
Dover,NH,43.19786,-70.87367
Dublin,NH,42.90758,-72.06258
Durham,NH,43.13397,-70.92645
East Concord,NH,43.24202,-71.53813
East Kingston,NH,42.92564,-71.01672
East Merrimack,NH,42.86814,-71.4834
Effingham,NH,43.76119,-70.99645
Enfield,NH,43.64063,-72.14398
Epping,NH,43.03342,-71.07423
Epsom,NH,43.22286,-71.33201
Exeter,NH,42.98148,-70.94783
Farmington,NH,43.3898,-71.06506
Fitzwilliam,NH,42.78064,-72.14175
Francestown,NH,42.98758,-71.81258
Franklin,NH,43.44424,-71.6473
Freedom,NH,43.8123,-71.03562
Fremont,NH,42.99092,-71.14256
Gilford,NH,43.54758,-71.40674
Gilmanton,NH,43.42425,-71.41452
Goffstown,NH,43.02036,-71.60035
Gorham,NH,44.38784,-71.17313
Grafton,NH,43.55868,-71.94397
Grafton County,NH,43.94074,-71.82055
Grantham,NH,43.48952,-72.13759
Greenfield,NH,42.95064,-71.8723
Greenland,NH,43.0362,-70.83283
Greenville,NH,42.76731,-71.8123
Groveton,NH,44.59867,-71.5112
Hampstead,NH,42.87453,-71.18117
Hampton,NH,42.93759,-70.83894
Hampton Beach,NH,42.90731,-70.812
Hampton Falls,NH,42.9162,-70.86366
Hanover,NH,43.70229,-72.28954
Harrisville,NH,42.94508,-72.09647
Haverhill,NH,44.03451,-72.06398
Henniker,NH,43.1798,-71.8223
Hill,NH,43.52424,-71.70091
Hillsborough,NH,43.1141,-71.8992
Hillsborough County,NH,42.91531,-71.71601
Hinsdale,NH,42.78619,-72.48648
Holderness,NH,43.73202,-71.58841
Hollis,NH,42.74314,-71.59174
Hooksett,NH,43.09675,-71.46507
Hopkinton,NH,43.19147,-71.67535
