name,state_code,latitude,longitude
Absecon,NJ,39.42845,-74.49571
Allendale,NJ,41.04149,-74.12903
Allentown,NJ,40.17789,-74.58349
Alloway,NJ,39.56095,-75.36242
Alpha,NJ,40.66704,-75.1574
Alpine,NJ,40.95593,-73.93125
Annandale,NJ,40.64093,-74.88128
Asbury Park,NJ,40.22039,-74.01208
Ashland,NJ,39.86317,-75.006
Atco,NJ,39.76984,-74.88739
Atlantic City,NJ,39.36415,-74.42306
Atlantic County,NJ,39.46883,-74.63373
Atlantic Highlands,NJ,40.40789,-74.03431
Audubon,NJ,39.89095,-75.07295
Audubon Park,NJ,39.8965,-75.08767
Avalon,NJ,39.10122,-74.71766
Avenel,NJ,40.58038,-74.28515
Avon-by-the-Sea,NJ,40.19234,-74.01597
Barnegat,NJ,39.75318,-74.22292
Barrington,NJ,39.86484,-75.05517
Bayonne,NJ,40.66871,-74.11431
Bayville,NJ,39.90929,-74.15486
Beach Haven,NJ,39.55928,-74.2432
Beach Haven West,NJ,39.66984,-74.23181
Beachwood,NJ,39.93901,-74.19292
Beattystown,NJ,40.81315,-74.84294
Beckett,NJ,39.754,-75.35741
Bedminster,NJ,40.68066,-74.64544
Belford,NJ,40.42594,-74.08681
Belleville,NJ,40.79371,-74.15014
Bellmawr,NJ,39.86761,-75.09462
Belmar,NJ,40.17845,-74.0218
Belvidere,NJ,40.82982,-75.07767
Bergen County,NJ,40.95977,-74.07441
Bergenfield,NJ,40.9276,-73.99736
Berkeley Heights,NJ,40.68343,-74.44265
Berlin,NJ,39.79123,-74.92905
Bernardsville,NJ,40.71871,-74.56932
Beverly,NJ,40.06539,-74.91906
Blackwood,NJ,39.80234,-75.06406
Bloomfield,NJ,40.80677,-74.18542
Bloomingdale,NJ,41.00204,-74.32654
Bogota,NJ,40.87621,-74.02986
Boonton,NJ,40.9026,-74.4071
Bordentown,NJ,40.14622,-74.71183
Bound Brook,NJ,40.56844,-74.53849
Bradley Beach,NJ,40.20234,-74.01208
Bradley Gardens,NJ,40.56288,-74.6546
Brass Castle,NJ,40.76482,-75.01101
Bridgeton,NJ,39.42734,-75.23408
Bridgewater,NJ,40.60079,-74.64815
Brielle,NJ,40.10789,-74.05653
Brigantine,NJ,39.41012,-74.36459
Brookdale,NJ,40.83371,-74.18292
Brooklawn,NJ,39.87817,-75.12073
Browns Mills,NJ,39.97261,-74.58293
Brownville,NJ,40.40066,-74.29515
Budd Lake,NJ,40.87121,-74.73405
Buena,NJ,39.51373,-74.92462
Burlington,NJ,40.07122,-74.86489
Burlington County,NJ,39.87769,-74.6682
Butler,NJ,41.00371,-74.34154
Caldwell,NJ,40.83982,-74.27654
Califon,NJ,40.71954,-74.83572
Camden,NJ,39.92595,-75.11962
Camden County,NJ,39.80353,-74.95976
Cape May,NJ,38.93511,-74.90601
Cape May County,NJ,39.08513,-74.84998
Cape May Court House,NJ,39.08261,-74.82378
Carlstadt,NJ,40.84038,-74.0907
Carneys Point,NJ,39.71122,-75.4702
Carteret,NJ,40.57733,-74.2282
Cedar Glen Lakes,NJ,39.95234,-74.39987
Cedar Glen West,NJ,40.04206,-74.29265
Cedar Grove,NJ,40.85177,-74.22903
Chatham,NJ,40.74093,-74.38376
Cherry Hill,NJ,39.93484,-75.03073
Cherry Hill Mall,NJ,39.93595,-75.00906
Chesilhurst,NJ,39.73234,-74.881
Chester,NJ,40.78427,-74.69683
Cinnaminson,NJ,39.99678,-74.99267
Clark,NJ,40.64094,-74.3107
Clayton,NJ,39.66011,-75.09212
Clearbrook Park,NJ,40.30983,-74.4646
Clementon,NJ,39.8115,-74.98294
Cliffside Park,NJ,40.82149,-73.98764
Cliffwood Beach,NJ,40.44205,-74.21681
Clifton,NJ,40.85843,-74.16376
Clinton,NJ,40.63677,-74.90989
Closter,NJ,40.97315,-73.96153
Collings Lakes,NJ,39.59567,-74.88156
Collingswood,NJ,39.91817,-75.07128
Colonia,NJ,40.57455,-74.30209
Concordia,NJ,40.31094,-74.44821
Country Lake Estates,NJ,39.94262,-74.54404
Cranbury,NJ,40.31622,-74.51376
Crandon Lakes,NJ,41.12426,-74.83989
Cranford,NJ,40.65844,-74.29959
Cresskill,NJ,40.94149,-73.9593
Crestwood Village,NJ,39.94817,-74.3607
Cumberland County,NJ,39.32807,-75.12934
Dayton,NJ,40.37261,-74.51015
Delanco,NJ,40.05067,-74.9535
Demarest,NJ,40.95732,-73.96347
Dover,NJ,40.88399,-74.5621
Dover Beaches North,NJ,39.99123,-74.06375
Dover Beaches South,NJ,39.95567,-74.0743
Dumont,NJ,40.94065,-73.99681
Dunellen,NJ,40.58927,-74.47182
East Brunswick,NJ,40.42788,-74.41598
East Franklin,NJ,40.4933,-74.4711
East Freehold,NJ,40.28094,-74.25126
East Hanover,NJ,40.8201,-74.36487
East Newark,NJ,40.74843,-74.16181
East Orange,NJ,40.76732,-74.20487
East Rutherford,NJ,40.83399,-74.09709
Eatontown,NJ,40.29622,-74.05097
Echelon,NJ,39.84845,-74.99572
Edgewater,NJ,40.82704,-73.97569
Edgewater Park,NJ,40.06817,-74.90072
Edison,NJ,40.51872,-74.4121
Egg Harbor City,NJ,39.52873,-74.64794
Elizabeth,NJ,40.66399,-74.2107
Ellisburg,NJ,39.91372,-75.01045
Elmer,NJ,39.59511,-75.17018
Elmwood Park,NJ,40.90399,-74.11848
Elwood,NJ,39.57651,-74.71683
Emerson,NJ,40.97621,-74.02625
Englewood,NJ,40.89288,-73.97264
Englewood Cliffs,NJ,40.88538,-73.95236
