name,state_code,latitude,longitude
Agua Fria,NM,35.65448,-106.02224
Alamo,NM,34.42089,-107.51088
Alamogordo,NM,32.89953,-105.96027
Albuquerque,NM,35.08449,-106.65114
Angel Fire,NM,36.39309,-105.28501
Anthony,NM,32.00399,-106.60583
Arenas Valley,NM,32.79396,-108.18421
Arroyo Seco,NM,36.51669,-105.56918
Artesia,NM,32.84233,-104.4033
Atoka,NM,32.76956,-104.38885
Aztec,NM,36.82223,-107.99285
Bayard,NM,32.76174,-108.1306
Belen,NM,34.66284,-106.77642
Berino,NM,32.07093,-106.62138
Bernalillo,NM,35.30004,-106.55114
Bernalillo County,NM,35.05131,-106.67017
Black Rock,NM,35.08837,-108.79119
Bloomfield,NM,36.71112,-107.98451
Boles Acres,NM,32.80703,-105.9861
Bosque Farms,NM,34.85478,-106.7053
Cannon Air Force Base,NM,34.39689,-103.32444
Capitan,NM,33.54536,-105.5722
Carlsbad,NM,32.42067,-104.22884
Carnuel,NM,35.06394,-106.45725
Carrizozo,NM,33.64174,-105.87721
Catron County,NM,33.91533,-108.40473
Chama,NM,36.90307,-106.57948
Chaparral,NM,32.02376,-106.38566
Chaves County,NM,33.36319,-104.467
Chimayo,NM,36.00391,-105.94697
Church Rock,NM,35.53391,-108.5998
Cibola County,NM,34.91257,-107.99971
Clayton,NM,36.45169,-103.1841
Clovis,NM,34.4048,-103.20523
Colfax County,NM,36.60612,-104.64686
Columbus,NM,31.8276,-107.64002
Corrales,NM,35.23782,-106.60669
Crownpoint,NM,35.67808,-108.15118
Curry County,NM,34.57416,-103.34691
De Baca County,NM,34.34239,-104.412
Deming,NM,32.2687,-107.75864
Dexter,NM,33.19733,-104.37302
Doña Ana,NM,32.38954,-106.8139
Doña Ana County,NM,32.35268,-106.8328
Dulce,NM,36.93362,-106.99893
Eddy County,NM,32.47149,-104.30431
Edgewood,NM,35.06144,-106.19141
El Cerro,NM,34.727,-106.71086
El Cerro Mission,NM,34.76227,-106.6445
El Rancho,NM,35.88919,-106.07975
El Valle de Arroyo Seco,NM,35.9628,-106.02947
Eldorado at Santa Fe,NM,35.52642,-105.93474
Elephant Butte,NM,33.14868,-107.18475
Enchanted Hills,NM,35.33676,-106.59296
Española,NM,35.99113,-106.08058
Estancia,NM,34.75839,-106.05585
Eunice,NM,32.43734,-103.15908
Farmington,NM,36.72806,-108.21869
Flora Vista,NM,36.79445,-108.08035
Fort Sumner,NM,34.47173,-104.24553
Gallup,NM,35.52808,-108.74258
Grant County,NM,32.73901,-108.38225
Grants,NM,35.1476,-107.85261
Guadalupe County,NM,34.86333,-104.7907
Hagerman,NM,33.11511,-104.32691
Harding County,NM,35.85794,-103.81993
Hatch,NM,32.66536,-107.15307
Hidalgo County,NM,31.91416,-108.71482
Hobbs,NM,32.70261,-103.13604
Holloman Air Force Base,NM,32.84827,-106.09977
Hurley,NM,32.69924,-108.13199
Jal,NM,32.11318,-103.19351
Jarales,NM,34.61312,-106.76364
Jemez Pueblo,NM,35.61422,-106.72832
Keeler Farm,NM,32.31607,-107.76023
Kirtland,NM,36.73417,-108.3598
La Cienega,NM,35.56281,-106.13086
La Huerta,NM,32.4429,-104.22106
La Luz,NM,32.97787,-105.94193
La Mesilla,NM,35.94836,-106.07058
La Puebla,NM,35.98919,-105.99641
La Union,NM,31.95066,-106.66166
Laguna,NM,35.03671,-107.38282
Las Cruces,NM,32.31232,-106.77834
Las Maravillas,NM,34.73815,-106.66854
Las Vegas,NM,35.59393,-105.2239
Lea County,NM,32.79218,-103.41245
Lee Acres,NM,35.14866,-106.64697
Lincoln County,NM,33.74524,-105.45925
Lordsburg,NM,32.35036,-108.70866
Los Alamos,NM,35.88808,-106.30697
Los Alamos County,NM,35.86937,-106.30729
Los Chavez,NM,34.72571,-106.75726
Los Lunas,NM,34.80617,-106.73336
Los Ranchos de Albuquerque,NM,35.16199,-106.6428
Loving,NM,32.28623,-104.09577
Lovington,NM,32.94401,-103.34855
Luna County,NM,32.18215,-107.74977
McIntosh,NM,34.86478,-106.05169
McKinley County,NM,35.58061,-108.26193
Meadow Lake,NM,34.80144,-106.54363
Mescalero,NM,33.15759,-105.77415
Mesilla,NM,32.27009,-106.80084
Mesquite,NM,32.16454,-106.69666
Milan,NM,35.16976,-107.89089
Monterey Park,NM,34.75898,-106.64085
Mora,NM,35.9742,-105.33001
Mora County,NM,36.00995,-104.94458
Moriarty,NM,34.99005,-106.04919
Mosquero,NM,35.77698,-103.95664
Nambe,NM,35.89336,-105.98252
Navajo,NM,35.90001,-109.03398
North Valley,NM,35.17338,-106.62336
Ohkay Owingeh,NM,36.05082,-106.06897
Otero County,NM,32.61316,-105.74168
Paradise Hills,NM,35.2006,-106.70114
Pecos,NM,35.5742,-105.67502
Peralta,NM,34.837,-106.69058
Placitas,NM,35.30698,-106.42475
Pojoaque,NM,35.8928,-106.02308
Ponderosa Pine,NM,34.97699,-106.32419
Portales,NM,34.18619,-103.3344
Quay County,NM,35.10436,-103.54974
Questa,NM,36.70391,-105.59501
Radium Springs,NM,32.5012,-106.92807
Ranchos de Taos,NM,36.35864,-105.60946
Raton,NM,36.90336,-104.43915
Reserve,NM,33.71311,-108.75784
Rio Arriba County,NM,36.50957,-106.69311
Rio Communities,NM,34.64959,-106.73403
Rio Rancho,NM,35.23338,-106.66447
Roosevelt County,NM,34.02127,-103.48018
Roswell,NM,33.39437,-104.52491
Ruidoso,NM,33.33175,-105.67304
Ruidoso Downs,NM,33.32897,-105.60443
San Felipe Pueblo,NM,35.43392,-106.44669
San Juan County,NM,36.50847,-108.3206
San Miguel,NM,32.15538,-106.735
San Miguel County,NM,35.48029,-104.81585
San Ysidro,NM,32.35093,-106.81112
Sandia Heights,NM,35.17699,-106.49141
Sandia Knolls,NM,35.16393,-106.31141
Sandoval County,NM,35.68855,-106.86584
Santa Clara,NM,32.77952,-108.15032
Santa Clara Pueblo,NM,35.96558,-106.08863
Santa Fe,NM,35.68698,-105.9378
Santa Fe County,NM,35.50686,-105.97612
Santa Rosa,NM,34.93867,-104.68249
Santa Teresa,NM,31.85594,-106.63916
Santo Domingo Pueblo,NM,35.51476,-106.36586
Shiprock,NM,36.78555,-108.68703
Sierra County,NM,33.13047,-107.1925
Silver City,NM,32.77007,-108.28033
Skyline-Ganipa,NM,35.03279,-107.61396
Socorro,NM,34.0584,-106.89142
Socorro County,NM,34.00724,-106.93033
South Valley,NM,35.01005,-106.67808
Spencerville,NM,36.82,-108.05813
Sunland Park,NM,31.7965,-106.57999
Taos,NM,36.40725,-105.57307
Taos County,NM,36.5783,-105.63097
Taos Pueblo,NM,36.43864,-105.54445
Texico,NM,34.38869,-103.05134
Thoreau,NM,35.40253,-108.2234
Tierra Amarilla,NM,36.70029,-106.54976
Tome,NM,34.74089,-106.72836
Torrance County,NM,34.64047,-105.85078
Truth or Consequences,NM,33.1284,-107.25281
Tucumcari,NM,35.17191,-103.72686
Tularosa,NM,33.07397,-106.0186
Twin Lakes,NM,35.70919,-108.77481
Union County,NM,36.48176,-103.47099
University Park,NM,32.28343,-106.75334
Upper Fruitland,NM,36.71584,-108.31424
Vado,NM,32.11176,-106.6625
Valencia,NM,34.7995,-106.7003
Valencia County,NM,34.71545,-106.80911
Waterflow,NM,36.75972,-108.48175
West Hammond,NM,36.68071,-108.04921
White Rock,NM,35.82753,-106.20391
White Sands,NM,32.38093,-106.47944
Zuni Pueblo,NM,35.07253,-108.85064
