name,state_code,latitude,longitude
Adams,NY,43.80923,-76.02409
Adams Center,NY,43.86006,-76.00548
Addison,NY,42.10285,-77.23359
Airmont,NY,41.10093,-74.11625
Akron,NY,43.02089,-78.4953
Alabama,NY,43.09645,-78.39086
Albany,NY,42.65258,-73.75623
Albany County,NY,42.60018,-73.97356
Albertson,NY,40.77343,-73.64318
Albion,NY,43.24645,-78.19363
Alden,NY,42.90006,-78.49197
Alexandria Bay,NY,44.33588,-75.91773
Alfred,NY,42.25424,-77.79055
Allegany,NY,42.09006,-78.49419
Allegany County,NY,42.25739,-78.02756
Altamont,NY,42.70063,-74.03374
Amagansett,NY,40.97371,-72.14369
Amherst,NY,42.97839,-78.79976
Amityville,NY,40.67899,-73.41707
Amsterdam,NY,42.93869,-74.18819
Andover,NY,42.15646,-77.79555
Angola,NY,42.63839,-79.02782
Angola on the Lake,NY,42.65478,-79.04893
Apalachin,NY,42.06952,-76.15465
Aquebogue,NY,40.94454,-72.62704
Arcade,NY,42.53395,-78.42307
Ardsley,NY,41.01065,-73.84375
Arlington,NY,41.69593,-73.8968
Armonk,NY,41.12648,-73.71402
Arrochar,NY,40.59844,-74.07264
Arverne,NY,40.59122,-73.79597
Astoria,NY,40.77205,-73.93014
Athens,NY,42.26036,-73.80957
Atlantic Beach,NY,40.58899,-73.72902
Attica,NY,42.86423,-78.28029
Auburn,NY,42.93173,-76.56605
Augusta,NY,42.97479,-75.50129
Averill Park,NY,42.63397,-73.55373
Avon,NY,42.91201,-77.74556
Babylon,NY,40.69566,-73.32568
Bainbridge,NY,42.29341,-75.47935
Baiting Hollow,NY,40.95621,-72.74427
Baldwin,NY,40.65649,-73.6093
Baldwin Harbor,NY,40.63955,-73.60846
Baldwinsville,NY,43.15868,-76.33271
Ballston Spa,NY,43.00091,-73.84901
Balmville,NY,41.53482,-74.01486
Bardonia,NY,41.10954,-73.99625
Barnum Island,NY,40.60455,-73.64402
Batavia,NY,42.99812,-78.18752
Bath,NY,42.33702,-77.31776
Bath Beach,NY,40.60455,-74.00431
Baxter Estates,NY,40.83482,-73.69541
Bay Park,NY,40.63316,-73.67041
Bay Shore,NY,40.7251,-73.24539
Bay Wood,NY,40.7501,-73.29123
Baychester,NY,40.86928,-73.83645
Bayport,NY,40.73843,-73.05067
Bayside,NY,40.76844,-73.77708
Bayville,NY,40.91065,-73.56207
Beacon,NY,41.50482,-73.96958
Beaver Dam Lake,NY,41.44743,-74.11463
Beaverdam Lake-Salisbury Mills,NY,41.44162,-74.11629
Bedford,NY,41.20426,-73.64374
Bedford Hills,NY,41.23676,-73.69458
Bellaire,NY,40.71399,-73.75402
Belle Harbor,NY,40.57594,-73.84819
Bellerose,NY,40.72427,-73.71513
Bellerose Terrace,NY,40.72066,-73.72596
Bellmore,NY,40.66871,-73.52707
Bellport,NY,40.75704,-72.93927
Belmont,NY,42.22312,-78.03445
Bensonhurst,NY,40.60177,-73.99403
Bergen,NY,43.08534,-77.94223
Bergen Beach,NY,40.62038,-73.9068
Bethpage,NY,40.74427,-73.48207
