name,state_code,latitude,longitude
Ada,OK,34.77453,-96.67834
Adair County,OK,35.88393,-94.65868
Afton,OK,36.69369,-94.96302
Alfalfa County,OK,36.73098,-98.324
Altus,OK,34.63813,-99.33398
Alva,OK,36.80499,-98.66718
Anadarko,OK,35.07256,-98.24366
Antlers,OK,34.23121,-95.62025
Apache,OK,34.89368,-98.36589
Arapaho,OK,35.57783,-98.96453
Ardmore,OK,34.17426,-97.14363
Arkoma,OK,35.35454,-94.4341
Arnett,OK,36.13504,-99.77484
Atoka,OK,34.38593,-96.12833
Atoka County,OK,34.37372,-96.03783
Barnsdall,OK,36.56202,-96.16167
Bartlesville,OK,36.74731,-95.98082
Beaver,OK,36.81614,-100.51987
Beaver County,OK,36.74971,-100.47678
Beckham County,OK,35.26871,-99.68192
Beggs,OK,35.7426,-96.07027
Bethany,OK,35.51867,-97.63226
Bethel Acres,OK,35.30868,-97.02558
Bixby,OK,35.94204,-95.88332
Blackwell,OK,36.80448,-97.28282
Blaine County,OK,35.87525,-98.43346
Blanchard,OK,35.13784,-97.65809
Boise City,OK,36.72947,-102.51324
Boley,OK,35.49341,-96.48362
Bray,OK,34.63786,-97.81753
Bristow,OK,35.83063,-96.39112
Broken Arrow,OK,36.0526,-95.79082
Broken Bow,OK,34.02928,-94.7391
Bryan County,OK,33.9623,-96.25975
Buffalo,OK,36.83559,-99.6304
Burns Flat,OK,35.34894,-99.17036
Bushyhead,OK,36.46148,-95.49414
Byng,OK,34.8612,-96.66557
Cache,OK,34.62952,-98.62867
Caddo,OK,34.12676,-96.26332
Caddo County,OK,35.17438,-98.37515
Calera,OK,33.93454,-96.4286
Canadian County,OK,35.54244,-97.98238
Carnegie,OK,35.10367,-98.60367
Carter County,OK,34.25086,-97.28579
Catoosa,OK,36.18899,-95.74582
Central High,OK,34.62313,-98.08976
Chandler,OK,35.70173,-96.88086
Checotah,OK,35.4701,-95.52304
Chelsea,OK,36.53565,-95.43247
Cherokee,OK,36.75447,-98.35674
Cherokee County,OK,35.90663,-94.99966
Cheyenne,OK,35.61394,-99.67149
Chickasha,OK,35.05257,-97.93643
Choctaw,OK,35.49756,-97.26892
Choctaw County,OK,34.02662,-95.55214
Chouteau,OK,36.18593,-95.34302
Cimarron County,OK,36.74831,-102.51771
Claremore,OK,36.3126,-95.61609
Cleora,OK,36.57897,-94.97107
Cleveland,OK,36.31032,-96.46584
Cleveland County,OK,35.20302,-97.32641
Clinton,OK,35.51561,-98.96731
Coal County,OK,34.58819,-96.29786
Coalgate,OK,34.53815,-96.21861
Colbert,OK,33.85316,-96.50249
Collinsville,OK,36.36454,-95.83888
Comanche,OK,34.36897,-97.96392
Comanche County,OK,34.6621,-98.47166
Commerce,OK,36.9334,-94.87301
Copeland,OK,36.65591,-94.82829
Cordell,OK,35.29061,-98.98841
Cotton County,OK,34.29024,-98.37223
Coweta,OK,35.95177,-95.65081
Craig County,OK,36.76176,-95.2085
Creek County,OK,35.90268,-96.37094
Crescent,OK,35.95254,-97.59477
Cushing,OK,35.98506,-96.76697
Custer County,OK,35.63886,-99.0015
Cyril,OK,34.89646,-98.2006
Davis,OK,34.50453,-97.11946
Del City,OK,35.44201,-97.44087
Delaware County,OK,36.4082,-94.80265
Dewey,OK,36.79592,-95.93554
Dewey County,OK,35.98766,-99.00789
Dickson,OK,34.18732,-96.98446
Drumright,OK,35.9884,-96.60113
Duncan,OK,34.5023,-97.95781
Durant,OK,33.99399,-96.37082
Edmond,OK,35.65283,-97.4781
El Reno,OK,35.53227,-97.95505
Elgin,OK,34.78035,-98.29227
Elk City,OK,35.41199,-99.40426
Ellis County,OK,36.21836,-99.7546
Enid,OK,36.39559,-97.87839
Erick,OK,35.21533,-99.86649
Eufaula,OK,35.28722,-95.5825
Fairfax,OK,36.57366,-96.7042
Fairland,OK,36.75118,-94.84746
Fairview,OK,36.26892,-98.4798
Fletcher,OK,34.82312,-98.24422
Forest Park,OK,35.50423,-97.44615
Fort Gibson,OK,35.7976,-95.25052
Frederick,OK,34.39203,-99.01841
Garfield County,OK,36.37906,-97.78272
Garvin County,OK,34.70457,-97.30932
Geary,OK,35.63116,-98.31729
Geronimo,OK,34.48119,-98.38311
Glenpool,OK,35.95537,-96.00888
Goldsby,OK,35.14118,-97.47698
Goodwell,OK,36.5953,-101.63655
Grady County,OK,35.01694,-97.88411
Granite,OK,34.96228,-99.38064
Grant County,OK,36.79614,-97.78616
Greer County,OK,34.9357,-99.5608
Grove,OK,36.59369,-94.76912
Guthrie,OK,35.87894,-97.42532
Guymon,OK,36.6828,-101.48155
Hall Park,OK,35.23701,-97.40642
Harmon County,OK,34.74412,-99.84628
Harper County,OK,36.78873,-99.66736
Harrah,OK,35.48951,-97.16364
Hartshorne,OK,34.8451,-95.55748
Haskell,OK,35.82038,-95.67415
Haskell County,OK,35.22482,-95.1166
Healdton,OK,34.23315,-97.4878
Heavener,OK,34.88927,-94.60078
Helena,OK,36.54614,-98.27007
Hennessey,OK,36.1092,-97.89867
Henryetta,OK,35.43983,-95.98194
Hinton,OK,35.47144,-98.35562
Hobart,OK,35.0295,-99.09313
Holdenville,OK,35.08036,-96.39918
Hollis,OK,34.68839,-99.91205
Hominy,OK,36.41424,-96.3953
Hooker,OK,36.86003,-101.2135
Hughes County,OK,35.04834,-96.25024
Hugo,OK,34.01066,-95.50968
Idabel,OK,33.89566,-94.82633
Inola,OK,36.15121,-95.50942
Jackson County,OK,34.58797,-99.41476
Jay,OK,36.42119,-94.7969
Jefferson County,OK,34.11101,-97.83585
Jenks,OK,36.02287,-95.96833
Johnston County,OK,34.31649,-96.66066
Jones,OK,35.56589,-97.28698
Justice,OK,36.29287,-95.56664
Kay County,OK,36.81801,-97.14392
Kellyville,OK,35.9437,-96.21361
Kenwood,OK,36.31453,-94.98579
Kiefer,OK,35.94482,-96.06528
Kingfisher,OK,35.86143,-97.93172
Kingfisher County,OK,35.94539,-97.94211
Kingston,OK,33.99871,-96.71972
Kiowa County,OK,34.91637,-98.98087
Konawa,OK,34.95953,-96.7528
Krebs,OK,34.92787,-95.71582
Langston,OK,35.94505,-97.25531
Latimer County,OK,34.87606,-95.25042
Laverne,OK,36.70975,-99.89346
Lawton,OK,34.60869,-98.39033
Le Flore County,OK,34.9003,-94.70339
Lexington,OK,35.01479,-97.33558
Lincoln County,OK,35.703,-96.88092
Lindsay,OK,34.8348,-97.60253
Locust Grove,OK,36.20009,-95.16774
Logan County,OK,35.91934,-97.44332
Lone Grove,OK,34.17537,-97.26279
Longtown,OK,35.24538,-95.51276
Love County,OK,33.94986,-97.24418
Luther,OK,35.66173,-97.19559
Madill,OK,34.09038,-96.77167
Major County,OK,36.31164,-98.53595
Mangum,OK,34.872,-99.50426
Mannford,OK,36.13341,-96.35446
Marietta,OK,33.93704,-97.11668
Marlow,OK,34.64813,-97.95809
Marshall County,OK,34.02449,-96.76913
Maud,OK,35.13036,-96.77585
Mayes County,OK,36.30188,-95.23085
Maysville,OK,34.8173,-97.40586
McAlester,OK,34.93343,-95.76971
McClain County,OK,35.00934,-97.4443
McCord,OK,36.67847,-97.04
McCurtain County,OK,34.11529,-94.77133
McIntosh County,OK,35.37366,-95.66684
McLoud,OK,35.4359,-97.09142
Medford,OK,36.80697,-97.73366
Meeker,OK,35.5034,-96.9028
Meridian,OK,34.42731,-97.97809
Miami,OK,36.87451,-94.87746
Midwest City,OK,35.44951,-97.3967
Minco,OK,35.31284,-97.94449
Moore,OK,35.33951,-97.4867
Mooreland,OK,36.4392,-99.20482
Morris,OK,35.6076,-95.86027
Mounds,OK,35.87648,-96.06111
Muldrow,OK,35.4062,-94.59883
Murray County,OK,34.48233,-97.06792
Muskogee,OK,35.74788,-95.36969
Muskogee County,OK,35.61613,-95.37953
Mustang,OK,35.38423,-97.72449
Newcastle,OK,35.24729,-97.59976
Newkirk,OK,36.88225,-97.05337
Nichols Hills,OK,35.55089,-97.54893
Nicoma Park,OK,35.49117,-97.32309
Ninnekah,OK,34.94785,-97.92393
Noble,OK,35.13924,-97.39475
Noble County,OK,36.3886,-97.23051
Norman,OK,35.22257,-97.43948
Nowata,OK,36.70065,-95.63803
Nowata County,OK,36.79848,-95.6174
Oakhurst,OK,36.07537,-96.06444
Oakland,OK,34.1001,-96.79389
Oilton,OK,36.08451,-96.58363
Okarche,OK,35.72588,-97.97644
Okeene,OK,36.11615,-98.31702
Okemah,OK,35.43259,-96.30501
Okfuskee County,OK,35.46546,-96.3228
Oklahoma City,OK,35.46756,-97.51643
Oklahoma County,OK,35.55152,-97.4072
Okmulgee,OK,35.62344,-95.96055
Okmulgee County,OK,35.64666,-95.96431
Oologah,OK,36.44704,-95.70832
Osage County,OK,36.62919,-96.39849
