name,state_code,latitude,longitude
Abbeville,SC,34.17817,-82.37901
Abbeville County,SC,34.22257,-82.45871
Aiken,SC,33.56042,-81.71955
Aiken County,SC,33.54437,-81.63474
Allendale,SC,33.00793,-81.30844
Allendale County,SC,32.98811,-81.3582
Anderson,SC,34.50344,-82.65013
Anderson County,SC,34.51909,-82.63788
Andrews,SC,33.45128,-79.5609
Arcadia,SC,34.95818,-81.99066
Arial,SC,34.84595,-82.64152
Awendaw,SC,33.03767,-79.61313
Bamberg,SC,33.2971,-81.03482
Bamberg County,SC,33.21477,-81.05423
Barnwell,SC,33.24487,-81.35872
Barnwell County,SC,33.26606,-81.43502
Batesburg,SC,33.90792,-81.54733
Batesburg-Leesville,SC,33.91014,-81.53733
Beaufort,SC,32.43158,-80.66983
Beaufort County,SC,32.35706,-80.69217
Belton,SC,34.52289,-82.49429
Belvedere,SC,33.53097,-81.94484
Bennettsville,SC,34.61738,-79.68478
Berea,SC,34.8854,-82.45596
Berkeley County,SC,33.19768,-79.95099
Bishopville,SC,34.21821,-80.24841
Blacksburg,SC,35.12124,-81.51592
Blackville,SC,33.35793,-81.27066
Bluffton,SC,32.23715,-80.86039
Blythewood,SC,34.21432,-80.97398
Boiling Springs,SC,35.04651,-81.98177
Bonneau Beach,SC,33.31989,-80.00036
Brookdale,SC,33.50682,-80.82342
Buffalo,SC,34.72569,-81.68343
Burnettown,SC,33.51541,-81.849
Burton,SC,32.43575,-80.724
Calhoun County,SC,33.67486,-80.78028
Calhoun Falls,SC,34.09234,-82.59569
Camden,SC,34.24654,-80.60702
Cane Savannah,SC,33.90182,-80.45036
Catawba,SC,34.85292,-80.91119
Cayce,SC,33.96571,-81.07398
Centerville,SC,34.53205,-82.70402
Central,SC,34.72427,-82.78125
Chapin,SC,34.16598,-81.34982
Charleston,SC,32.77657,-79.93092
Charleston County,SC,32.74917,-79.94202
Cheraw,SC,34.69766,-79.8834
Cherokee County,SC,35.0482,-81.62039
Cherryvale,SC,33.95571,-80.45814
Chester,SC,34.70486,-81.21426
Chester County,SC,34.69206,-81.15953
Chesterfield,SC,34.73599,-80.08812
Chesterfield County,SC,34.63978,-80.15872
City View,SC,34.86151,-82.43151
Clarendon County,SC,33.66581,-80.2164
Clearwater,SC,33.4968,-81.89206
Clemson,SC,34.68344,-82.83737
Clinton,SC,34.47263,-81.88066
Clover,SC,35.11125,-81.22646
Colleton County,SC,32.84343,-80.64968
Columbia,SC,34.00071,-81.03481
Conway,SC,33.836,-79.04781
Cowpens,SC,35.01679,-81.80399
Dalzell,SC,34.01682,-80.43008
Darlington,SC,34.29988,-79.87617
Darlington County,SC,34.33235,-79.95769
Denmark,SC,33.32265,-81.14232
Dentsville,SC,34.06404,-80.95815
Dillon,SC,34.41655,-79.37116
Dillon County,SC,34.39152,-79.37893
Dorchester County,SC,33.07949,-80.40556
Due West,SC,34.33345,-82.3879
Duncan,SC,34.9379,-82.14511
Dunean,SC,34.82484,-82.41929
Easley,SC,34.82984,-82.60152
East Gaffney,SC,35.08013,-81.63287
East Sumter,SC,33.92544,-80.29619
Edgefield,SC,33.78958,-81.92956
Edgefield County,SC,33.77229,-81.96658
Edisto,SC,33.47654,-80.8987
Elgin,SC,34.67293,-80.71896
Estill,SC,32.75489,-81.24205
Eureka Mill,SC,34.71764,-81.1937
Fairfax,SC,32.95905,-81.2365
Fairfield County,SC,34.39511,-81.12123
Fairforest,SC,34.95651,-82.01011
Five Forks,SC,34.80484,-82.22956
Florence,SC,34.19543,-79.76256
Florence County,SC,34.02439,-79.70282
Folly Beach,SC,32.65518,-79.94037
Forest Acres,SC,34.01932,-80.98981
Forestbrook,SC,33.72239,-78.95809
Fort Mill,SC,35.00737,-80.94508
Fountain Inn,SC,34.68901,-82.19567
Gadsden,SC,33.84571,-80.76592
Gaffney,SC,35.07179,-81.64982
Gantt,SC,34.80012,-82.42429
Garden City,SC,33.59295,-79.00865
