name,state_code,latitude,longitude
Abernathy,TX,33.8323,-101.84295
Abilene,TX,32.44874,-99.73314
Abram,TX,26.1998,-98.41113
Addison,TX,32.96179,-96.82917
Agua Dulce,TX,31.65511,-106.13887
Alamo,TX,26.18369,-98.12306
Alamo Heights,TX,29.48495,-98.46585
Albany,TX,32.72345,-99.2973
Aldine,TX,29.93245,-95.38021
Aledo,TX,32.69596,-97.60225
Alice,TX,27.75225,-98.06972
Alief,TX,29.71106,-95.59633
Allen,TX,33.10317,-96.67055
Alpine,TX,30.35862,-103.66206
Alto,TX,31.65045,-95.07272
Alton,TX,26.28729,-98.31335
Alton North (historical),TX,26.29535,-98.30446
Alvarado,TX,32.40653,-97.21168
Alvin,TX,29.42385,-95.2441
Alvord,TX,33.35845,-97.69475
Amarillo,TX,35.222,-101.8313
Ames,TX,30.05383,-94.74353
Anahuac,TX,29.773,-94.6827
Anderson,TX,30.48715,-95.9869
Anderson County,TX,31.81333,-95.65255
Anderson Mill,TX,30.45492,-97.80584
Andrews,TX,32.31872,-102.54572
Andrews County,TX,32.30503,-102.63781
Angelina County,TX,31.25476,-94.61185
Angleton,TX,29.16941,-95.43188
Anna,TX,33.349,-96.5486
Annetta,TX,32.7093,-97.67614
Anson,TX,32.7565,-99.89621
Anthony,TX,31.99927,-106.60555
Anton,TX,33.8112,-102.16379
Aransas County,TX,28.01501,-97.07382
Aransas Pass,TX,27.90947,-97.14999
Archer City,TX,33.59566,-98.62561
Archer County,TX,33.61525,-98.68765
Arcola,TX,29.49607,-95.46578
Argyle,TX,33.12123,-97.18335
Arlington,TX,32.73569,-97.10807
Armstrong County,TX,34.96493,-101.3574
Asherton,TX,28.44193,-99.76033
Aspermont,TX,33.13343,-100.22733
Atascocita,TX,29.99883,-95.1766
Atascosa County,TX,28.89352,-98.52713
Athens,TX,32.20487,-95.85552
Atlanta,TX,33.11374,-94.16435
Aubrey,TX,33.30428,-96.98612
Aurora,TX,33.06068,-97.50336
Austin,TX,30.26715,-97.74306
Austin County,TX,29.88702,-96.27791
Azle,TX,32.89513,-97.54586
Bacliff,TX,29.5069,-94.99243
Bailey County,TX,34.06852,-102.82987
Baird,TX,32.39402,-99.39424
Balch Springs,TX,32.72874,-96.62277
Balcones Heights,TX,29.48801,-98.55169
Ballinger,TX,31.73821,-99.94731
Bandera,TX,29.72661,-99.07365
Bandera County,TX,29.74721,-99.24624
Bangs,TX,31.7171,-99.13255
Barrett,TX,29.87995,-95.06298
Bartlett,TX,30.79491,-97.42556
Barton Creek,TX,30.28521,-97.86917
Bartonville,TX,33.07318,-97.13168
Bastrop,TX,30.11049,-97.31527
Bastrop County,TX,30.10361,-97.31201
Batesville,TX,28.95108,-99.61783
Bay City,TX,28.98276,-95.9694
Baylor County,TX,33.61649,-99.21351
Bayou Vista,TX,29.32635,-94.93853
Baytown,TX,29.7355,-94.97743
Beach City,TX,29.66217,-94.88992
Beaumont,TX,30.08605,-94.10185
Bedford,TX,32.84402,-97.14307
Bee Cave,TX,30.30854,-97.94501
Bee County,TX,28.41739,-97.74119
Beeville,TX,28.40095,-97.74974
Bell County,TX,31.03767,-97.4782
Bellaire,TX,29.70579,-95.45883
Bellmead,TX,31.59405,-97.10889
Bells,TX,33.61038,-96.41082
Bellville,TX,29.95023,-96.25719
Belton,TX,31.05601,-97.46445
Benavides,TX,27.59892,-98.40807
Benbrook,TX,32.67319,-97.46058
Benjamin,TX,33.58398,-99.79231
Berryville,TX,32.08849,-95.4719
Bertram,TX,30.7438,-98.05558
Beverly,TX,31.52517,-97.14195
Beverly Hills,TX,31.52156,-97.15389
Bevil Oaks,TX,30.15021,-94.26963
Bexar County,TX,29.44896,-98.52002
Big Lake,TX,31.19154,-101.46039
Big Sandy,TX,32.58375,-95.10883
Big Spring,TX,32.2504,-101.47874
Bishop,TX,27.58614,-97.79916
