name,state_code,latitude,longitude
Alpine,UT,40.45328,-111.77799
American Fork,UT,40.3769,-111.79576
Aurora,UT,38.92219,-111.93409
Ballard,UT,40.2894,-109.9432
Beaver,UT,38.27691,-112.64105
Beaver County,UT,38.35771,-113.23576
Benjamin,UT,40.09829,-111.73132
Benson,UT,41.78743,-111.93022
Blanding,UT,37.62433,-109.47966
Bluffdale,UT,40.48967,-111.93882
Bountiful,UT,40.88939,-111.88077
Box Elder County,UT,41.52097,-113.08209
Brigham City,UT,41.51021,-112.0155
Cache County,UT,41.72237,-111.74356
Canyon Rim,UT,40.70661,-111.82188
Carbon County,UT,39.64817,-110.58898
Carbonville,UT,39.61996,-110.83433
Castle Dale,UT,39.21219,-111.01961
Cedar City,UT,37.67748,-113.06189
Cedar Hills,UT,40.41412,-111.75854
Centerfield,UT,39.12524,-111.81909
Centerville,UT,40.918,-111.87216
Clearfield,UT,41.11078,-112.02605
Clinton,UT,41.13967,-112.0505
Coalville,UT,40.91773,-111.39936
Cottonwood Heights,UT,40.61967,-111.81021
Daggett County,UT,40.88727,-109.50765
Daniel,UT,40.47079,-111.41463
Davis County,UT,40.99061,-112.11124
Delta,UT,39.35218,-112.57717
Draper,UT,40.52467,-111.86382
Duchesne,UT,40.16329,-110.40293
Duchesne County,UT,40.29751,-110.42476
Eagle Mountain,UT,40.31412,-112.00688
East Carbon City,UT,39.54774,-110.41488
East Millcreek,UT,40.69995,-111.81049
Elk Ridge,UT,40.01134,-111.67687
Elwood,UT,41.69048,-112.14106
Emery County,UT,38.99677,-110.70067
Enoch,UT,37.77331,-113.02439
Enterprise,UT,37.57359,-113.71913
Ephraim,UT,39.35968,-111.58631
Erda,UT,40.61272,-112.30439
Fairview,UT,39.62635,-111.43963
Farmington,UT,40.9805,-111.88744
Farr West,UT,41.29717,-112.02772
Ferron,UT,39.09358,-111.13322
Fillmore,UT,38.96885,-112.32355
Fountain Green,UT,39.62996,-111.6352
Francis,UT,40.61051,-111.28074
Fruit Heights,UT,41.03217,-111.90216
Garfield County,UT,37.85492,-111.44313
Garland,UT,41.74104,-112.16162
Genola,UT,39.99634,-111.84327
Grand County,UT,38.98174,-109.56971
Granite,UT,40.573,-111.80604
Grantsville,UT,40.59994,-112.4644
Gunnison,UT,39.15524,-111.81826
Harrisville,UT,41.28133,-111.98828
Heber City,UT,40.5069,-111.41324
Helper,UT,39.68413,-110.85461
Herriman,UT,40.51411,-112.03299
Highland,UT,40.42548,-111.79447
Hildale,UT,37.0036,-112.96688
Hill Air Force Base,UT,41.11118,-111.97712
Holladay,UT,40.66884,-111.82466
Honeyville,UT,41.63854,-112.07939
Hooper,UT,41.16383,-112.12244
Huntington,UT,39.32664,-110.96461
Hurricane,UT,37.17526,-113.28995
Hyde Park,UT,41.79882,-111.81911
Hyrum,UT,41.6341,-111.85217
Iron County,UT,37.85917,-113.28927
Ivins,UT,37.16859,-113.67941
Juab County,UT,39.70262,-112.78477
Junction,UT,38.23748,-112.21993
Kamas,UT,40.64301,-111.28074
Kanab,UT,37.04749,-112.52631
Kane County,UT,37.28507,-111.88785
Kaysville,UT,41.03522,-111.93855
Kearns,UT,40.65995,-111.99633
LaVerkin,UT,37.20109,-113.26967
Layton,UT,41.06022,-111.97105
Lehi,UT,40.39162,-111.85077
Lewiston,UT,41.97576,-111.85634
Liberty,UT,41.33355,-111.86355
Lindon,UT,40.34329,-111.72076
Little Cottonwood Creek Valley,UT,40.60439,-111.82938
Loa,UT,38.40276,-111.64296
Logan,UT,41.73549,-111.83439
Maeser,UT,40.47718,-109.58681
Magna,UT,40.70911,-112.10161
Manila,UT,40.98801,-109.72265
Manti,UT,39.2683,-111.63686
Mapleton,UT,40.13023,-111.57853
Marriott-Slaterville,UT,41.25161,-112.0255
Mendon,UT,41.70993,-111.97773
Midvale,UT,40.61106,-111.89994
Midway,UT,40.51218,-111.47435
Milford,UT,38.39691,-113.01079
Millard County,UT,39.07381,-113.10046
Millcreek,UT,40.68689,-111.87549
Millville,UT,41.6816,-111.823
Moab,UT,38.57332,-109.54984
Mona,UT,39.81607,-111.85549
Monroe,UT,38.62997,-112.12076
Monticello,UT,37.87138,-109.34289
Morgan,UT,41.03606,-111.67688
Morgan County,UT,41.08932,-111.57312
Moroni,UT,39.52496,-111.59047
Mount Olympus,UT,40.6855,-111.78854
Mount Pleasant,UT,39.54691,-111.45547
Mountain Green,UT,41.143,-111.7916
Murray,UT,40.66689,-111.88799
Naples,UT,40.42691,-109.4993
Nephi,UT,39.71023,-111.83632
Nibley,UT,41.67438,-111.833
North Logan,UT,41.76937,-111.80467
North Ogden,UT,41.30716,-111.96022
North Salt Lake,UT,40.84856,-111.90688
Oakley,UT,40.71467,-111.30074
Ogden,UT,41.223,-111.97383
Oquirrh,UT,40.6305,-112.03383
Orangeville,UT,39.22719,-111.0535
Orem,UT,40.2969,-111.69465
Panguitch,UT,37.82276,-112.43576
Park City,UT,40.64606,-111.49797
Parowan,UT,37.8422,-112.828
Payson,UT,40.0444,-111.73215
Perry,UT,41.46494,-112.03245
Piute County,UT,38.33645,-112.12695
Plain City,UT,41.298,-112.08605
Pleasant Grove,UT,40.36412,-111.73854
Pleasant View,UT,41.31828,-111.99216
Price,UT,39.59941,-110.81071
Providence,UT,41.70632,-111.81717
Provo,UT,40.23384,-111.65853
Randolph,UT,41.66578,-111.18214
