name,state_code,latitude,longitude
Addison,VT,44.08867,-73.30262
Addison County,VT,44.03091,-73.14094
Arlington,VT,43.0748,-73.154
Barre,VT,44.19701,-72.50205
Bellows Falls,VT,43.13341,-72.44398
Bennington,VT,42.87813,-73.19677
Bennington County,VT,43.03546,-73.09295
Brandon,VT,43.79812,-73.08761
Brattleboro,VT,42.85092,-72.55787
Bridport,VT,43.98506,-73.31262
Bristol,VT,44.13339,-73.07901
Burlington,VT,44.47588,-73.21207
Caledonia County,VT,44.46472,-72.10219
Castleton,VT,43.61062,-73.17983
Charlotte,VT,44.30977,-73.26096
Chelsea,VT,43.98979,-72.4476
Chester,VT,43.26285,-72.59509
Chittenden,VT,43.70784,-72.94816
Chittenden County,VT,44.46098,-73.08092
Clarendon,VT,43.51618,-72.96983
Colchester,VT,44.54394,-73.14791
Danby,VT,43.34618,-72.99538
Dover,VT,42.94369,-72.80399
Enosburg Falls,VT,44.90699,-72.80652
Essex County,VT,44.72779,-71.73605
Essex Junction,VT,44.49061,-73.11096
Fair Haven,VT,43.59479,-73.26567
Ferrisburgh,VT,44.20561,-73.24623
Franklin County,VT,44.85748,-72.912
Grand Isle County,VT,44.79683,-73.29483
Guildhall,VT,44.56506,-71.55981
Hardwick,VT,44.50478,-72.36816
Hartford,VT,43.66063,-72.33842
Hinesburg,VT,44.32922,-73.11068
Hyde Park,VT,44.59394,-72.61651
Jamaica,VT,43.10036,-72.77843
Jericho,VT,44.50394,-72.99763
Johnson,VT,44.63561,-72.6804
Lamoille County,VT,44.60576,-72.64145
Leicester,VT,43.86673,-73.10789
Lincoln,VT,44.10589,-72.99706
Londonderry,VT,43.22646,-72.80649
Lunenburg,VT,44.46311,-71.68203
Lyndon,VT,44.51422,-72.01093
Lyndonville,VT,44.53367,-72.00315
Manchester Center,VT,43.17702,-73.05705
Mendon,VT,43.65198,-72.9278
Middlebury (village),VT,44.01553,-73.16937
Milton,VT,44.63977,-73.11041
Montgomery,VT,44.90255,-72.63818
Montpelier,VT,44.26006,-72.57539
Moretown,VT,44.25089,-72.76095
Morristown,VT,44.55727,-72.62373
Morrisville,VT,44.56172,-72.59845
Mount Holly,VT,43.45229,-72.82482
Newfane,VT,42.98564,-72.65593
Newport,VT,44.93644,-72.2051
North Bennington,VT,42.93036,-73.24261
North Hero,VT,44.83125,-73.27323
Northfield,VT,44.15117,-72.6565
Orange County,VT,44.0056,-72.37661
Orleans County,VT,44.82881,-72.24381
Pawlet,VT,43.34674,-73.17622
Poultney,VT,43.51701,-73.23622
Pownal,VT,42.76564,-73.23594
Randolph,VT,43.92507,-72.66594
Richford,VT,44.99699,-72.67124
Rockingham,VT,43.18758,-72.48898
Rutland,VT,43.61062,-72.97261
Rutland County,VT,43.58009,-73.03661
Saint Albans,VT,44.81088,-73.08319
Saint Johnsbury,VT,44.41922,-72.01509
Salisbury,VT,43.89645,-73.09984
South Barre,VT,44.17701,-72.50566
South Burlington,VT,44.46699,-73.17096
Springfield,VT,43.29841,-72.48231
St Johnsbury,VT,44.42526,-72.01512
Starksboro,VT,44.22728,-73.05734
Stowe,VT,44.46533,-72.68456
Swanton,VT,44.9181,-73.1243
Townshend,VT,43.0473,-72.66759
Vergennes,VT,44.16728,-73.25401
Washington,VT,44.10562,-72.4326
Washington County,VT,44.27342,-72.6149
Waterbury,VT,44.33783,-72.75623
West Brattleboro,VT,42.85592,-72.60315
West Rutland,VT,43.59312,-73.04511
White River Junction,VT,43.64896,-72.31926
Wilder,VT,43.67285,-72.3087
Williamstown,VT,44.12173,-72.54149
Williston,VT,44.43755,-73.06818
Windham County,VT,42.99059,-72.71384
Windsor,VT,43.48035,-72.38481
Windsor County,VT,43.58,-72.58624
Winooski,VT,44.49144,-73.18568
Woodstock,VT,43.62424,-72.51843
