name,state_code,latitude,longitude
Aberdeen,WA,46.97537,-123.81572
Adams County,WA,46.98338,-118.5605
Ahtanum,WA,46.55957,-120.62201
Airway Heights,WA,47.64461,-117.59327
Alderton,WA,47.16955,-122.22928
Alderwood Manor,WA,47.82204,-122.28207
Algona,WA,47.27899,-122.25206
Allyn,WA,47.38565,-122.82764
Amboy,WA,45.91011,-122.44649
Ames Lake,WA,47.63288,-121.96623
Anacortes,WA,48.5126,-122.61267
Arlington,WA,48.19871,-122.12514
Arlington Heights,WA,48.20205,-122.06208
Artondale,WA,47.29954,-122.62069
Asotin,WA,46.33933,-117.04821
Asotin County,WA,46.19186,-117.20307
Auburn,WA,47.30732,-122.22845
Ault Field,WA,48.33812,-122.67441
Bainbridge Island,WA,47.62621,-122.52124
Bangor Trident Base,WA,47.72274,-122.71446
Barberton,WA,45.69317,-122.59899
Basin City,WA,46.59403,-119.15223
Battle Ground,WA,45.78095,-122.53343
Belfair,WA,47.45065,-122.82737
Bellevue,WA,47.61038,-122.20068
Bellingham,WA,48.75955,-122.48822
Benton City,WA,46.26319,-119.4878
Benton County,WA,46.23978,-119.5112
Bethel,WA,47.49398,-122.63125
Big Lake,WA,48.40288,-122.24127
Birch Bay,WA,48.91789,-122.74462
Black Diamond,WA,47.30871,-122.00317
Blaine,WA,48.99372,-122.74712
Bonney Lake,WA,47.17705,-122.18651
Bothell,WA,47.76232,-122.2054
Bothell East,WA,47.80631,-122.18427
Bothell West,WA,47.80527,-122.24064
Boulevard Park,WA,47.48927,-122.31512
Bremerton,WA,47.56732,-122.63264
Brewster,WA,48.09598,-119.78062
Bridgeport,WA,48.0082,-119.67116
Brier,WA,47.78454,-122.27429
Browns Point,WA,47.30038,-122.44124
Brush Prairie,WA,45.73289,-122.54649
Bryant,WA,48.23899,-122.15792
Bryn Mawr-Skyway,WA,47.4943,-122.24092
Buckley,WA,47.16316,-122.02678
Bunk Foss,WA,47.96171,-122.09441
Burbank,WA,46.19986,-119.01306
Burien,WA,47.47038,-122.34679
Burley,WA,47.41787,-122.63097
Burlington,WA,48.47566,-122.32544
Camano,WA,48.17399,-122.52821
Camas,WA,45.58706,-122.39954
Canterwood,WA,47.3751,-122.5893
Carnation,WA,47.64788,-121.91401
Carson,WA,45.72539,-121.81924
Cascade Valley,WA,47.13459,-119.32808
Cashmere,WA,47.52235,-120.4698
Castle Rock,WA,46.27511,-122.90761
Cathcart,WA,47.84788,-122.09929
Cathlamet,WA,46.20317,-123.38318
Central Park,WA,46.97343,-123.69239
Centralia,WA,46.71621,-122.9543
Chehalis,WA,46.66205,-122.96402
Chelan,WA,47.84097,-120.01646
Chelan County,WA,47.8691,-120.61891
Cheney,WA,47.48739,-117.57576
Chewelah,WA,48.27629,-117.71552
Chico,WA,47.61148,-122.71042
City of Sammamish,WA,47.60444,-122.03768
Clallam County,WA,48.11044,-123.93432
Clark County,WA,45.77927,-122.48259
Clarkston,WA,46.41629,-117.04557
Clarkston Heights-Vineland,WA,46.38742,-117.083
Cle Elum,WA,47.1954,-120.93925
Clear Lake,WA,48.46427,-122.23404
Clearview,WA,47.83371,-122.12596
Clyde Hill,WA,47.63177,-122.2179
Colfax,WA,46.88017,-117.36435
College Place,WA,46.0493,-118.3883
Columbia County,WA,46.29755,-117.90788
Colville,WA,48.54657,-117.90554
Connell,WA,46.66347,-118.86111
Cosmopolis,WA,46.95537,-123.77378
Cottage Lake,WA,47.74427,-122.07735
Coulee Dam,WA,47.96543,-118.97613
Country Homes,WA,47.7485,-117.40439
Coupeville,WA,48.21982,-122.68628
Covington,WA,47.35818,-122.12216
Cowlitz County,WA,46.19329,-122.68078
Crocker,WA,47.08091,-122.10383
Dallesport,WA,45.61734,-121.17952
Darrington,WA,48.25539,-121.60151
Davenport,WA,47.65405,-118.14997
Dayton,WA,46.32375,-117.97244
Deer Park,WA,47.95434,-117.47689
Des Moines,WA,47.40177,-122.32429
Desert Aire,WA,46.6793,-119.91727
Dishman,WA,47.66007,-117.27596
Dollar Corner,WA,45.78012,-122.6001
Douglas County,WA,47.73607,-119.69172
DuPont,WA,47.09676,-122.63124
Duvall,WA,47.74232,-121.98568
East Hill-Meridian,WA,47.41052,-122.17369
East Port Orchard,WA,47.52343,-122.6243
East Renton Highlands,WA,47.48482,-122.11234
East Wenatchee,WA,47.41568,-120.29313
East Wenatchee Bench,WA,47.42568,-120.28118
Eastgate,WA,47.57266,-122.14578
Eastmont,WA,47.8974,-122.18154
Eatonville,WA,46.86733,-122.2665
Edgewood,WA,47.2501,-122.29373
Edmonds,WA,47.81065,-122.37736
Electric City,WA,47.93237,-119.03808
Elk Plain,WA,47.05316,-122.39762
Ellensburg,WA,46.99651,-120.54785
Elma,WA,47.00343,-123.40877
Enetai,WA,47.58482,-122.59875
Entiat,WA,47.67596,-120.20841
Enumclaw,WA,47.20427,-121.9915
Ephrata,WA,47.31764,-119.55365
Erlands Point-Kitsap Lake,WA,47.59719,-122.70225
Esperance,WA,47.78899,-122.35541
Everett,WA,47.97898,-122.20208
Everson,WA,48.92012,-122.34266
Fairchild Air Force Base,WA,47.61879,-117.64826
Fairwood,WA,47.44843,-122.15734
Fall City,WA,47.56732,-121.88873
Federal Way,WA,47.32232,-122.31262
Felida,WA,45.70956,-122.70732
Fern Prairie,WA,45.63651,-122.3987
Ferndale,WA,48.8465,-122.59101
Ferry County,WA,48.47007,-118.51649
Fife,WA,47.23927,-122.35707
Fife Heights,WA,47.25899,-122.34568
Finley,WA,46.15402,-119.0339
Fircrest,WA,47.23954,-122.51596
Five Corners,WA,45.68456,-122.5751
Fobes Hill,WA,47.94899,-122.11985
Fords Prairie,WA,46.7351,-122.98902
Forks,WA,47.95036,-124.38549
Fox Island,WA,47.25149,-122.62902
Franklin County,WA,46.53477,-118.89889
