name,state_code,latitude,longitude
Acalanes Ridge,CA,37.90472,-122.07857
Acton,CA,34.46999,-118.19674
Adelanto,CA,34.58277,-117.40922
Agoura,CA,34.14306,-118.73787
Agoura Hills,CA,34.13639,-118.77453
Agua Dulce,CA,34.49638,-118.32563
Aguanga,CA,33.44281,-116.86502
Ahwahnee,CA,37.3655,-119.72627
Alameda,CA,37.76521,-122.24164
Alameda County,CA,37.65055,-121.91789
Alamo,CA,37.8502,-122.03218
Albany,CA,37.88687,-122.29775
Alhambra,CA,34.09529,-118.12701
Aliso Viejo,CA,33.56504,-117.72712
Allendale,CA,38.44463,-121.94302
Alondra Park,CA,33.88946,-118.33091
Alpaugh,CA,35.88773,-119.48734
Alpine,CA,32.83505,-116.76641
Alpine County,CA,38.59725,-119.82065
Alta Sierra,CA,35.73126,-118.5539
Altadena,CA,34.18973,-118.13118
Alturas,CA,41.48714,-120.54349
Alum Rock,CA,37.36605,-121.82718
Amador County,CA,38.44639,-120.65112
American Canyon,CA,38.17492,-122.2608
Amesti,CA,36.96356,-121.77912
Anaheim,CA,33.83529,-117.9145
Anderson,CA,40.44821,-122.29778
Angels Camp,CA,38.06826,-120.53965
Angwin,CA,38.57574,-122.44998
Antelope,CA,38.70824,-121.32995
Antioch,CA,38.00492,-121.80579
Anza,CA,33.55503,-116.67363
Apple Valley,CA,34.50083,-117.18588
Aptos,CA,36.97717,-121.8994
Aptos Hills-Larkin Valley,CA,36.96064,-121.83404
Arbuckle,CA,39.0174,-122.05775
Arcadia,CA,34.13973,-118.03534
Arcata,CA,40.86652,-124.08284
Arden-Arcade,CA,38.6025,-121.37854
Armona,CA,36.31578,-119.70846
Arnold,CA,38.25547,-120.35103
Aromas,CA,36.88856,-121.643
Arroyo Grande,CA,35.11859,-120.59073
Artesia,CA,33.86585,-118.08312
Arvin,CA,35.20913,-118.82843
Ashland,CA,37.69465,-122.11385
Atascadero,CA,35.48942,-120.67073
Atherton,CA,37.46133,-122.19774
Atwater,CA,37.34772,-120.60908
Auberry,CA,37.08078,-119.48541
Auburn,CA,38.89657,-121.07689
Auburn Lake Trails,CA,38.91434,-120.95244
August,CA,37.97881,-121.26217
Avalon,CA,33.34281,-118.32785
Avenal,CA,36.00412,-120.12903
Avila Beach,CA,35.17998,-120.73184
Avocado Heights,CA,34.03612,-117.99118
Azusa,CA,34.13362,-117.90756
Bakersfield,CA,35.37329,-119.01871
Baldwin Park,CA,34.08529,-117.9609
Banning,CA,33.92557,-116.87641
Barstow,CA,34.89859,-117.02282
Barstow Heights,CA,34.86971,-117.05615
Bay Point,CA,38.02909,-121.96163
Bayside,CA,40.84235,-124.06367
Bayview,CA,40.77263,-124.18395
Beale Air Force Base,CA,39.10917,-121.35444
Bear Valley Springs,CA,35.15913,-118.62842
Beaumont,CA,33.92946,-116.97725
Bell,CA,33.97751,-118.18702
Bell Gardens,CA,33.96529,-118.15146
Bella Vista,CA,40.64071,-122.2325
Bellflower,CA,33.88168,-118.11701
Belmont,CA,37.52021,-122.2758
Belvedere,CA,37.8727,-122.46442
Ben Lomond,CA,37.08911,-122.08635
Benicia,CA,38.04937,-122.15858
Berkeley,CA,37.87159,-122.27275
Bermuda Dunes,CA,33.7428,-116.28918
Berry Creek,CA,39.64516,-121.4033
Bertsch-Oceanview,CA,41.7525,-124.15875
Bethel Island,CA,38.01492,-121.64051
Beverly Hills,CA,34.07362,-118.40036
Big Bear City,CA,34.26112,-116.84503
Big Bear Lake,CA,34.2439,-116.91142
Big Pine,CA,37.16493,-118.28955
Big River,CA,34.14002,-114.36134
Biggs,CA,39.41239,-121.71275
Biola,CA,36.80217,-120.01627
Bishop,CA,37.36354,-118.39511
Black Point-Green Point,CA,38.11547,-122.51318
Blackhawk,CA,37.82076,-121.90774
Bloomington,CA,34.07029,-117.39588
Blue Lake,CA,40.88291,-123.98395
Blythe,CA,33.6103,-114.59635
Bodega Bay,CA,38.33325,-123.04806
Bodfish,CA,35.58801,-118.49203
Bolinas,CA,37.90937,-122.68637
Bonadelle Ranchos-Madera Ranchos,CA,36.98467,-119.87463
Bonita,CA,32.65783,-117.03003
Bonny Doon,CA,37.04162,-122.15052
Bonsall,CA,33.28892,-117.22559
Boonville,CA,39.00907,-123.36612
Boron,CA,34.99942,-117.64978
Boronda,CA,36.69885,-121.67495
Borrego Springs,CA,33.25587,-116.37501
Bostonia,CA,32.80755,-116.93642
Boulder Creek,CA,37.12606,-122.12219
Boyes Hot Springs,CA,38.3138,-122.48193
Boyle Heights,CA,34.0339,-118.20535
Bradbury,CA,34.14695,-117.9709
Brawley,CA,32.97866,-115.53027
Brea,CA,33.91668,-117.90006
Brentwood,CA,37.93187,-121.69579
Bret Harte,CA,37.60207,-121.00519
Bridgeport,CA,38.25575,-119.23127
Brisbane,CA,37.68077,-122.39997
Broadmoor,CA,37.6866,-122.48275
Brookdale,CA,37.10634,-122.10608
Brooktrails,CA,39.44377,-123.38529
Buckhorn,CA,38.45216,-120.52854
Buellton,CA,34.6136,-120.19265
Buena Park,CA,33.86751,-117.99812
Buena Vista,CA,37.32133,-121.91662
Burbank,CA,34.18084,-118.30897
Burlingame,CA,37.5841,-122.36608
Burney,CA,40.88238,-121.66082
Butte County,CA,39.66693,-121.60067
Buttonwillow,CA,35.40052,-119.46956
Byron,CA,37.86715,-121.63801
Bystrom,CA,37.62076,-120.98577
Cabazon,CA,33.91752,-116.78724
Calabasas,CA,34.15778,-118.63842
Calaveras County,CA,38.20461,-120.55413
Calexico,CA,32.67895,-115.49888
California City,CA,35.1258,-117.9859
Calimesa,CA,34.0039,-117.06198
Calipatria,CA,33.1256,-115.51415
Calistoga,CA,38.5788,-122.57971
Callender,CA,35.05303,-120.59628
Camarillo,CA,34.21639,-119.0376
Cambria,CA,35.56414,-121.08075
Cambrian Park,CA,37.25689,-121.93079
Cameron Park,CA,38.66879,-120.98716
Camino,CA,38.73824,-120.67493
Camp Meeker,CA,38.42519,-122.95944
Camp Pendleton North,CA,33.31465,-117.31603
Camp Pendleton South,CA,33.22844,-117.37929
Campbell,CA,37.28717,-121.94996
Campo,CA,32.60645,-116.46891
Canoga Park,CA,34.20112,-118.59814
Canyon Lake,CA,33.68502,-117.27309
Capitola,CA,36.97523,-121.95329
Carlsbad,CA,33.15809,-117.35059
Carmel Valley Village,CA,36.50605,-121.76594
Carmel-by-the-Sea,CA,36.55524,-121.92329
Carmichael,CA,38.61713,-121.32828
Carpinteria,CA,34.39888,-119.51846
Carson,CA,33.83141,-118.28202
Caruthers,CA,36.54273,-119.8332
Casa Conejo,CA,34.18362,-118.94343
Casa de Oro-Mount Helix,CA,32.76397,-116.96877
Castaic,CA,34.48888,-118.62287
Castro Valley,CA,37.6941,-122.08635
Castroville,CA,36.76579,-121.758
Cathedral City,CA,33.77974,-116.46529
Cayucos,CA,35.44275,-120.89213
Cedar Ridge,CA,38.06576,-120.27686
Central Valley (historical),CA,40.68043,-122.37112
Century City,CA,34.05557,-118.41786
Ceres,CA,37.59493,-120.95771
Cerritos,CA,33.85835,-118.06479
Challenge-Brownsville,CA,39.46447,-121.26338
Channel Islands Beach,CA,34.15806,-119.22316
Charter Oak,CA,34.10306,-117.84589
Chatsworth,CA,34.25723,-118.6012
Cherry Valley,CA,33.97252,-116.97725
Cherryland,CA,37.67938,-122.1033
Chester,CA,40.30627,-121.23191
Chico,CA,39.72849,-121.83748
China Lake Acres,CA,35.64051,-117.76395
Chinatown,CA,37.7966,-122.40858
Chino,CA,34.01223,-117.68894
Chino Hills,CA,33.9938,-117.75888
Chowchilla,CA,37.123,-120.26018
Chualar,CA,36.57052,-121.51855
Chula Vista,CA,32.64005,-117.0842
