name,state_code,latitude,longitude
Ada,MN,47.29969,-96.51535
Adrian,MN,43.63497,-95.9328
Afton,MN,44.90275,-92.78354
Aitkin,MN,46.53301,-93.71025
Aitkin County,MN,46.60826,-93.41543
Albany,MN,45.62996,-94.57
Albert Lea,MN,43.64801,-93.36827
Albertville,MN,45.23774,-93.65441
Alexandria,MN,45.88524,-95.37754
Andover,MN,45.2333,-93.29134
Annandale,MN,45.26274,-94.12443
Anoka,MN,45.19774,-93.38718
Anoka County,MN,45.27324,-93.24645
Apple Valley,MN,44.73191,-93.21772
Appleton,MN,45.19691,-96.01977
Arden Hills,MN,45.05024,-93.15661
Arlington,MN,44.6083,-94.08053
Arnold,MN,46.88022,-92.09047
Atwater,MN,45.13885,-94.77806
Aurora,MN,47.52993,-92.23712
Austin,MN,43.66663,-92.97464
Avon,MN,45.60913,-94.45167
Babbitt,MN,47.70853,-91.9446
Bagley,MN,47.52162,-95.39835
Barnesville,MN,46.65218,-96.41979
Baudette,MN,48.71247,-94.59993
Baxter,MN,46.3433,-94.28667
Bayport,MN,45.02136,-92.78104
Becker,MN,45.3933,-93.87692
Becker County,MN,46.93465,-95.67392
Belle Plaine,MN,44.62274,-93.76857
Beltrami County,MN,47.97378,-94.93765
Bemidji,MN,47.47356,-94.88028
Benson,MN,45.31496,-95.60003
Benton County,MN,45.69913,-93.99884
Big Lake,MN,45.33246,-93.74608
Big Stone County,MN,45.4261,-96.41092
Birchwood,MN,45.06108,-92.97605
Blaine,MN,45.1608,-93.23495
Blooming Prairie,MN,43.86663,-93.05103
Bloomington,MN,44.8408,-93.29828
Blue Earth,MN,43.63746,-94.10218
Blue Earth County,MN,44.03459,-94.06703
Braham,MN,45.72274,-93.17078
Brainerd,MN,46.35802,-94.20083
Branch,MN,45.48524,-92.96188
Breckenridge,MN,46.26357,-96.58813
Breezy Point,MN,46.59001,-94.21982
Brooklyn Center,MN,45.07608,-93.33273
Brooklyn Park,MN,45.09413,-93.35634
Brown County,MN,44.24217,-94.72748
Buffalo,MN,45.17191,-93.87469
Burnsville,MN,44.76774,-93.27772
Byron,MN,44.03274,-92.64546
Caledonia,MN,43.63469,-91.49681
Cambridge,MN,45.57274,-93.22439
Canby,MN,44.70885,-96.27643
Cannon Falls,MN,44.50691,-92.90548
Carlton,MN,46.66383,-92.42491
Carlton County,MN,46.5924,-92.67705
