name,state_code,latitude,longitude
Aberdeen,MS,33.82511,-88.54366
Ackerman,MS,33.31012,-89.17284
Adams County,MS,31.48294,-91.3535
Alcorn County,MS,34.88077,-88.58026
Amite County,MS,31.1744,-90.80443
Amory,MS,33.98428,-88.4881
Arnold Line,MS,31.33517,-89.3734
Ashland,MS,34.83287,-89.1759
Attala County,MS,33.08629,-89.58155
Baldwyn,MS,34.50954,-88.63533
Batesville,MS,34.3115,-89.94426
Bay Saint Louis,MS,30.30881,-89.33005
Bay Springs,MS,31.97904,-89.28728
Beechwood,MS,32.32765,-90.82677
Belmont,MS,34.50982,-88.20921
Belzoni,MS,33.18429,-90.48926
Benton County,MS,34.81729,-89.18848
Biloxi,MS,30.39603,-88.88531
Bolivar County,MS,33.79554,-90.8804
Booneville,MS,34.65815,-88.56672
Brandon,MS,32.2732,-89.98592
Brookhaven,MS,31.57906,-90.44065
Brooksville,MS,33.23457,-88.58227
Bruce,MS,33.99206,-89.34896
Bude,MS,31.46295,-90.8501
Byhalia,MS,34.87232,-89.69064
Byram,MS,32.17932,-90.24537
Caledonia,MS,33.68289,-88.32448
Calhoun City,MS,33.85539,-89.31146
Calhoun County,MS,33.93645,-89.33645
Canton,MS,32.61264,-90.03675
Carriere,MS,30.61686,-89.65256
Carroll County,MS,33.44853,-89.9202
Carrollton,MS,33.50818,-89.92036
Carthage,MS,32.73264,-89.53618
Centreville,MS,31.08962,-91.06844
Charleston,MS,34.00678,-90.05676
Chickasaw County,MS,33.9208,-88.94786
Choctaw County,MS,33.34731,-89.24838
Claiborne County,MS,31.97369,-90.91181
Clarke County,MS,32.0414,-88.6894
Clarksdale,MS,34.20011,-90.57093
Clay County,MS,33.65567,-88.78157
Cleary,MS,32.16543,-90.18064
Cleveland,MS,33.744,-90.72482
Clinton,MS,32.34153,-90.32176
Coahoma County,MS,34.22917,-90.60269
Coldwater,MS,34.69177,-89.97731
Collins,MS,31.64544,-89.55535
Collinsville,MS,32.49792,-88.84588
Columbia,MS,31.25184,-89.83758
Columbus,MS,33.49567,-88.42726
Columbus Air Force Base,MS,33.63239,-88.45153
Como,MS,34.51066,-89.93981
Conehatta,MS,32.45125,-89.28534
Copiah County,MS,31.86924,-90.4488
Corinth,MS,34.93425,-88.52227
Covington County,MS,31.63322,-89.55263
Crystal Springs,MS,31.98738,-90.35704
D'Iberville,MS,30.42631,-88.89086
De Kalb,MS,32.76763,-88.65088
De Lisle,MS,30.37936,-89.26449
De Soto County,MS,34.8754,-89.99178
Decatur,MS,32.43903,-89.10839
Derma,MS,33.85567,-89.28452
Diamondhead,MS,30.39464,-89.36394
Drew,MS,33.80956,-90.52648
Duck Hill,MS,33.63318,-89.71119
Durant,MS,33.07513,-89.85453
Edwards,MS,32.33015,-90.60565
Ellisville,MS,31.60405,-89.19561
Escatawpa,MS,30.44048,-88.54363
Eupora,MS,33.54068,-89.26701
Farmington,MS,34.93009,-88.45227
Fayette,MS,31.71155,-91.06066
Flora,MS,32.5432,-90.30926
Florence,MS,32.15348,-90.1312
Flowood,MS,32.30959,-90.13898
Forest,MS,32.36459,-89.47423
Forrest County,MS,31.18887,-89.25786
Franklin County,MS,31.47715,-90.89785
Friars Point,MS,34.37088,-90.63834
Fulton,MS,34.27399,-88.40921
Gautier,MS,30.38575,-88.61169
George County,MS,30.86261,-88.64403
Glendale,MS,31.36462,-89.30617
Goodman,MS,32.97013,-89.91231
Greene County,MS,31.21422,-88.63916
Greenville,MS,33.40898,-91.05978
Greenwood,MS,33.51623,-90.17953
Grenada,MS,33.769,-89.80842
Grenada County,MS,33.76995,-89.80201
Gulf Hills,MS,30.43048,-88.84225
Gulf Park Estates,MS,30.39187,-88.76114
Gulfport,MS,30.36742,-89.09282
Guntown,MS,34.44316,-88.65978
Hancock County,MS,30.39378,-89.47456
Harrison County,MS,30.41605,-89.08164
Hattiesburg,MS,31.32712,-89.29034
Hazlehurst,MS,31.86044,-90.39593
Helena,MS,30.49464,-88.49585
Hernando,MS,34.82399,-89.9937
Hickory Hills,MS,30.45687,-88.63919
Hide-A-Way Lake,MS,30.56492,-89.6402
Hillsboro,MS,32.45931,-89.51146
Hinds County,MS,32.2667,-90.44282
Hollandale,MS,33.16901,-90.85399
Holly Springs,MS,34.7676,-89.44869
Holmes County,MS,33.12351,-90.09205
Horn Lake,MS,34.95537,-90.03481
Houston,MS,33.89845,-88.99923
Humphreys County,MS,33.1287,-90.52662
Hurley,MS,30.66103,-88.49418
Indianola,MS,33.45095,-90.65509
Issaquena County,MS,32.74139,-90.98921
Itawamba County,MS,34.27999,-88.36132
Itta Bena,MS,33.49512,-90.31981
Iuka,MS,34.81176,-88.19004
Jackson,MS,32.29876,-90.18481
Jackson County,MS,30.46289,-88.62284
Jasper County,MS,32.01911,-89.11886
Jefferson County,MS,31.73421,-91.03718
Jefferson Davis County,MS,31.56964,-89.823
Jones County,MS,31.62256,-89.16879
Jonestown,MS,34.31955,-90.45565
Kearney Park,MS,32.58903,-90.31537
Kemper County,MS,32.75456,-88.64116
Kiln,MS,30.40908,-89.43505
Kosciusko,MS,33.058,-89.58956
Lafayette County,MS,34.35675,-89.48492
Lamar County,MS,31.20587,-89.50869
Lambert,MS,34.20178,-90.28343
Latimer,MS,30.53464,-88.8667
Lauderdale County,MS,32.40429,-88.66254
Laurel,MS,31.69405,-89.13061
Lawrence County,MS,31.5502,-90.10699
Leake County,MS,32.75353,-89.52406
Leakesville,MS,31.15574,-88.5578
Lee County,MS,34.28989,-88.68042
Leflore County,MS,33.55052,-90.30106
Leland,MS,33.40539,-90.8976
Lexington,MS,33.11318,-90.05314
Liberty,MS,31.15823,-90.81232
Lincoln County,MS,31.53239,-90.454
Long Beach,MS,30.35048,-89.15282
Louisville,MS,33.12374,-89.05506
Lowndes County,MS,33.47291,-88.44331
Lucedale,MS,30.92519,-88.59002
Lumberton,MS,31.00129,-89.45229
Lyman,MS,30.49474,-89.12561
Lynchburg,MS,34.96232,-90.09593
Macon,MS,33.1054,-88.56088
Madison,MS,32.46181,-90.11536
Madison County,MS,32.63466,-90.03376
Magee,MS,31.87377,-89.73369
Magnolia,MS,31.14323,-90.45871
Mantachie,MS,34.32427,-88.49116
Marion,MS,32.41736,-88.64782
Marion County,MS,31.23082,-89.82244
Marks,MS,34.25683,-90.27298
Marshall County,MS,34.76225,-89.50305
Mayersville,MS,32.90207,-91.05122
McComb,MS,31.24379,-90.45315
Meadville,MS,31.47239,-90.89677
Mendenhall,MS,31.96182,-89.87008
Meridian,MS,32.36431,-88.70366
Meridian Station,MS,32.55049,-88.61849
Metcalfe,MS,33.454,-91.00733
Mikoma,MS,33.95039,-90.28398
Monroe County,MS,33.89224,-88.48047
Montgomery County,MS,33.4941,-89.6164
Monticello,MS,31.55378,-90.10731
Moorhead,MS,33.45012,-90.50564
Morgantown,MS,31.57267,-91.34761
Morton,MS,32.35376,-89.65452
Moss Point,MS,30.41159,-88.53446
Mound Bayou,MS,33.87817,-90.72732
Natchez,MS,31.56017,-91.40329
Nellieburg,MS,32.40681,-88.77727
Neshoba County,MS,32.7535,-89.11757
Nettleton,MS,34.089,-88.62227
New Albany,MS,34.49427,-89.00784
New Augusta,MS,31.20263,-89.03668
New Hope,MS,33.46817,-88.3267
Newton,MS,32.32126,-89.16339
Newton County,MS,32.40023,-89.11881
Nicholson,MS,30.47714,-89.69367
North Tunica,MS,34.70093,-90.37815
Noxubee County,MS,33.11011,-88.56982
Ocean Springs,MS,30.41131,-88.82781
