name,state_code,latitude,longitude
Ashaway,RI,41.42343,-71.78562
Barrington,RI,41.74066,-71.30866
Bradford,RI,41.39899,-71.73701
Bristol,RI,41.67705,-71.26616
Bristol County,RI,41.70554,-71.28612
Central Falls,RI,41.89066,-71.39228
Charlestown,RI,41.38316,-71.64173
Chepachet,RI,41.9151,-71.67146
Coventry,RI,41.7001,-71.68284
Cranston,RI,41.77982,-71.43728
Cumberland,RI,41.96677,-71.43284
Cumberland Hill,RI,41.97454,-71.467
East Greenwich,RI,41.66038,-71.45589
East Providence,RI,41.81371,-71.37005
Exeter,RI,41.5776,-71.53756
Foster,RI,41.85371,-71.75812
Greenville,RI,41.87121,-71.55201
Harrisville,RI,41.96565,-71.67451
Hope Valley,RI,41.5076,-71.71618
Hopkinton,RI,41.46121,-71.77757
Jamestown,RI,41.49705,-71.36728
Johnston,RI,41.82186,-71.50675
Kent County,RI,41.67334,-71.57895
Kingston,RI,41.48038,-71.52256
Lincoln,RI,41.92111,-71.435
Melville,RI,41.58705,-71.28338
Middletown,RI,41.54566,-71.29144
Narragansett,RI,41.4501,-71.4495
Narragansett Pier,RI,41.43232,-71.45644
New Shoreham,RI,41.17233,-71.55783
Newport,RI,41.4901,-71.31283
Newport County,RI,41.4998,-71.281
Newport East,RI,41.51579,-71.28752
North Kingstown,RI,41.5501,-71.46617
North Providence,RI,41.8501,-71.46617
North Scituate,RI,41.83177,-71.58729
North Smithfield,RI,41.96677,-71.54951
Pascoag,RI,41.95565,-71.70229
Pawtucket,RI,41.87871,-71.38256
Portsmouth,RI,41.60232,-71.25033
Providence,RI,41.82399,-71.41283
Providence County,RI,41.87136,-71.5786
Smithfield,RI,41.92204,-71.54951
South Kingstown,RI,41.44718,-71.52494
Tiverton,RI,41.62594,-71.21338
Valley Falls,RI,41.90677,-71.39061
Wakefield-Peacedale,RI,41.44606,-71.5004
Warren,RI,41.73038,-71.28255
Warwick,RI,41.7001,-71.41617
Washington County,RI,41.39649,-71.61966
West Greenwich,RI,41.637,-71.66004
West Warwick,RI,41.69689,-71.52194
Westerly,RI,41.3776,-71.82729
Woonsocket,RI,42.00288,-71.51478
