name,state_code,latitude,longitude
Aberdeen,SD,45.4647,-98.48648
Alexandria,SD,43.65359,-97.78285
Armour,SD,43.3186,-98.34675
Aurora County,SD,43.71801,-98.56155
Baltic,SD,43.76136,-96.74033
Beadle County,SD,44.41448,-98.27811
Belle Fourche,SD,44.67137,-103.85215
Bennett County,SD,43.19492,-101.66397
Beresford,SD,43.08054,-96.77366
Bison,SD,45.52026,-102.46127
Blackhawk,SD,44.1511,-103.30796
Bon Homme County,SD,42.98837,-97.88463
Box Elder,SD,44.11249,-103.06823
Brandon,SD,43.5947,-96.57199
Britton,SD,45.79162,-97.75094
Brookings,SD,44.31136,-96.79839
Brookings County,SD,44.36968,-96.79042
Brown County,SD,45.58972,-98.35161
Brule County,SD,43.71806,-99.08094
Buffalo,SD,45.58416,-103.54603
Buffalo County,SD,44.07635,-99.20496
Burke,SD,43.1825,-99.29205
Butte County,SD,44.90583,-103.50802
Campbell County,SD,45.77113,-100.05163
Canton,SD,43.30081,-96.59282
Chamberlain,SD,43.81083,-99.33066
Charles Mix County,SD,43.20791,-98.58789
Clark,SD,44.87774,-97.73314
Clark County,SD,44.85825,-97.7295
Clay County,SD,42.91465,-96.97566
Clear Lake,SD,44.7458,-96.68256
Codington County,SD,44.97785,-97.18862
Colonial Pine Hills,SD,44.00777,-103.31546
Corson County,SD,45.7086,-101.19687
Crooks,SD,43.6647,-96.81089
Custer,SD,43.76665,-103.59881
Custer County,SD,43.67763,-103.45154
Dakota Dunes,SD,42.48749,-96.48642
Davison County,SD,43.67474,-98.146
Day County,SD,45.36715,-97.60741
De Smet,SD,44.38747,-97.55035
Deadwood,SD,44.37665,-103.72964
Dell Rapids,SD,43.82608,-96.70616
Deuel County,SD,44.76006,-96.66797
Dewey County,SD,45.15662,-100.87186
Douglas County,SD,43.38692,-98.3661
Dupree,SD,45.04748,-101.60099
Eagle Butte,SD,45.00248,-101.23349
Edmunds County,SD,45.4188,-99.21533
Elk Point,SD,42.68333,-96.68365
Fall River County,SD,43.23939,-103.52756
Faulk County,SD,45.07101,-99.14525
Faulkton,SD,45.03497,-99.124
Flandreau,SD,44.04942,-96.59532
Fort Pierre,SD,44.35359,-100.37374
Fort Thompson,SD,44.0686,-99.43788
Freeman,SD,43.35249,-97.43729
Garretson,SD,43.71747,-96.50282
Gettysburg,SD,45.01165,-99.95567
Grant County,SD,45.17194,-96.76769
Gregory,SD,43.23222,-99.43038
Gregory County,SD,43.19238,-99.18561
Groton,SD,45.44746,-98.09871
Haakon County,SD,44.29443,-101.53999
Hamlin County,SD,44.67376,-97.18833
Hand County,SD,44.54778,-99.00494
Hanson County,SD,43.67482,-97.78734
Harding County,SD,45.58035,-103.49577
Harrisburg,SD,43.43137,-96.69727
Hartford,SD,43.62303,-96.94255
Hayti,SD,44.65719,-97.20507
Highmore,SD,44.52137,-99.4415
Hot Springs,SD,43.43165,-103.47436
Howard,SD,44.01081,-97.52674
Hughes County,SD,44.38903,-99.99605
Huron,SD,44.36332,-98.21426
Hutchinson County,SD,43.33485,-97.75442
Hyde County,SD,44.54736,-99.48711
Ipswich,SD,45.44442,-99.02928
Jackson County,SD,43.69421,-101.62813
Jerauld County,SD,44.06635,-98.62973
Jones County,SD,43.96061,-100.68972
Kadoka,SD,43.83388,-101.50987
Kennebec,SD,43.9036,-99.86178
Kingsbury County,SD,44.36959,-97.49148
Lake Andes,SD,43.15638,-98.54147
Lake County,SD,44.02204,-97.12938
Lawrence County,SD,44.35863,-103.79222
Lead,SD,44.35221,-103.7652
Lemmon,SD,45.94083,-102.15932
Lennox,SD,43.35415,-96.892
Leola,SD,45.72275,-98.94094
Lincoln County,SD,43.27892,-96.72182
Lyman County,SD,43.89582,-99.84738
Madison,SD,44.00608,-97.11395
Marshall County,SD,45.75867,-97.5985
Martin,SD,43.1725,-101.73265
McCook County,SD,43.67431,-97.36844
McIntosh,SD,45.92139,-101.34958
McPherson County,SD,45.76637,-99.22146
Meade County,SD,44.56684,-102.71687
Mellette County,SD,43.58127,-100.75999
Milbank,SD,45.21913,-96.63562
Miller,SD,44.51831,-98.98843
Miner County,SD,44.02195,-97.61025
Minnehaha County,SD,43.67418,-96.79144
Mission,SD,43.30584,-100.65819
Mitchell,SD,43.70943,-98.0298
Mobridge,SD,45.53722,-100.42791
Moody County,SD,44.02201,-96.67092
Mound City,SD,45.72527,-100.06845
Murdo,SD,43.88832,-100.71291
North Eagle Butte,SD,45.00415,-101.23376
North Sioux City,SD,42.52722,-96.48309
North Spearfish,SD,44.50665,-103.89215
Oglala,SD,43.18859,-102.73962
Oglala Lakota County,SD,43.33559,-102.55162
Olivet,SD,43.24082,-97.67534
Onida,SD,44.70804,-100.05984
Parker,SD,43.39748,-97.13645
Parkston,SD,43.39888,-97.98368
Pennington County,SD,44.00373,-102.82383
Perkins County,SD,45.49051,-102.47563
Philip,SD,44.03943,-101.66514
Pierre,SD,44.36832,-100.35097
Pine Ridge,SD,43.02554,-102.55627
Plankinton,SD,43.71555,-98.48509
Platte,SD,43.38694,-98.84453
Porcupine,SD,43.23971,-102.33099
Potter County,SD,45.0645,-99.95725
Rapid City,SD,44.08054,-103.23101
Rapid Valley,SD,44.06249,-103.14629
Redfield,SD,44.87581,-98.51871
Roberts County,SD,45.62965,-96.94612
Rosebud,SD,43.23278,-100.85348
Salem,SD,43.72415,-97.38895
Sanborn County,SD,44.02345,-98.09139
Selby,SD,45.50638,-100.03207
Sioux Falls,SD,43.54997,-96.70033
Sisseton,SD,45.66468,-97.0498
Spearfish,SD,44.49082,-103.85937
Spink County,SD,44.93802,-98.34619
Springfield,SD,42.85417,-97.89729
Stanley County,SD,44.41232,-100.73594
Sturgis,SD,44.40971,-103.50908
Sully County,SD,44.71558,-100.1322
Summerset,SD,44.18998,-103.34384
Tea,SD,43.44637,-96.83588
Timber Lake,SD,45.42915,-101.07403
Todd County,SD,43.19337,-100.71841
Tripp County,SD,43.34587,-99.884
Turner County,SD,43.31087,-97.14866
Tyndall,SD,42.99333,-97.86285
Union County,SD,42.83249,-96.65609
Vermillion,SD,42.77944,-96.92921
Volga,SD,44.32358,-96.92645
Wagner,SD,43.07972,-98.29313
Walworth County,SD,45.42995,-100.03156
Watertown,SD,44.89941,-97.11507
Webster,SD,45.33218,-97.52009
Wessington Springs,SD,44.07916,-98.56954
White River,SD,43.56805,-100.74542
Winner,SD,43.37667,-99.85901
Woonsocket,SD,44.0536,-98.27564
Yankton,SD,42.87111,-97.39728
Yankton County,SD,43.00897,-97.39475
Ziebach County,SD,44.98041,-101.66586
