name,state_code,latitude,longitude
Adamsville,TN,35.23591,-88.3906
Alamo,TN,35.78479,-89.11729
Alcoa,TN,35.78953,-83.97379
Algood,TN,36.19589,-85.44858
Altamont,TN,35.42952,-85.72303
Anderson County,TN,36.11844,-84.19846
Apison,TN,35.02396,-85.02384
Ardmore,TN,34.99203,-86.84667
Arlington,TN,35.2962,-89.66147
Ashland City,TN,36.27422,-87.06417
Athens,TN,35.44285,-84.59299
Atoka,TN,35.44119,-89.77814
Banner Hill,TN,36.13066,-82.42458
Bartlett,TN,35.20453,-89.87398
Baxter,TN,36.15367,-85.64359
Bean Station,TN,36.3437,-83.28406
Bedford County,TN,35.5138,-86.45889
Belle Meade,TN,36.09589,-86.85694
Bells,TN,35.71118,-89.08756
Benton,TN,35.17424,-84.65355
Benton County,TN,36.06978,-88.06827
Blaine,TN,36.15425,-83.70407
Bledsoe County,TN,35.59642,-85.20516
Bloomingdale,TN,36.58455,-82.48932
Blount County,TN,35.68724,-83.92553
Blountville,TN,36.53316,-82.32681
Bluff City,TN,36.47427,-82.26097
Bolivar,TN,35.25619,-88.98784
Bon Aqua Junction,TN,35.92784,-87.31084
Bradford,TN,36.07645,-88.81006
Bradley County,TN,35.15411,-84.8596
Brentwood,TN,36.03312,-86.78278
Brentwood Estates,TN,36.02506,-86.77917
Brighton,TN,35.48397,-89.72508
Bristol,TN,36.59511,-82.18874
Brownsville,TN,35.59397,-89.26229
Bruceton,TN,36.03812,-88.24449
Burns,TN,36.05339,-87.31251
Byrdstown,TN,36.57451,-85.12884
Camden,TN,36.05895,-88.09782
Campbell County,TN,36.40351,-84.14938
Cannon County,TN,35.80868,-86.06174
Carroll County,TN,35.97317,-88.45026
Carter County,TN,36.29272,-82.12743
Carthage,TN,36.25228,-85.95165
Caryville,TN,36.29897,-84.22326
Celina,TN,36.55006,-85.50525
Centerville,TN,35.77896,-87.46696
Central,TN,36.32622,-82.28958
Chapel Hill,TN,35.62646,-86.69333
Charlotte,TN,36.17728,-87.33973
Chattanooga,TN,35.04563,-85.30968
Cheatham County,TN,36.26117,-87.08678
Chester County,TN,35.42175,-88.61346
Christiana,TN,35.71007,-86.39944
Church Hill,TN,36.52232,-82.71349
Claiborne County,TN,36.48585,-83.66042
Clarksville,TN,36.52977,-87.35945
Clay County,TN,36.55116,-85.54386
Cleveland,TN,35.15952,-84.87661
Clifton,TN,35.38702,-87.99531
Clinton,TN,36.10341,-84.13186
Coalfield,TN,36.02897,-84.42076
Cocke County,TN,35.92542,-83.12116
Coffee County,TN,35.49062,-86.07476
Collegedale,TN,35.05313,-85.05023
Collierville,TN,35.04204,-89.66453
Colonial Heights,TN,36.4851,-82.5032
Columbia,TN,35.61507,-87.03528
Condon,TN,36.18119,-83.7938
Cookeville,TN,36.16284,-85.50164
Coopertown,TN,36.43755,-86.96722
Cornersville,TN,35.36146,-86.83972
Covington,TN,35.56425,-89.64647
Cowan,TN,35.16453,-86.01054
Crockett County,TN,35.81354,-89.13953
Cross Plains,TN,36.54866,-86.69611
Crossville,TN,35.94896,-85.0269
Crump,TN,35.22175,-88.31809
Cumberland County,TN,35.95039,-84.99835
Dandridge,TN,36.01537,-83.41489
Davidson County,TN,36.17069,-86.77753
Dayton,TN,35.49396,-85.01245
Decatur,TN,35.51479,-84.79022
Decatur County,TN,35.60302,-88.10877
Decaturville,TN,35.58424,-88.11948
Decherd,TN,35.2098,-86.07943
DeKalb County,TN,35.97986,-85.83275
Dickson,TN,36.077,-87.38779
Dickson County,TN,36.14905,-87.35666
Dodson Branch,TN,36.31256,-85.5322
Dover,TN,36.48783,-87.83836
Dresden,TN,36.29145,-88.70811
Dunlap,TN,35.37146,-85.39052
Dyer,TN,36.06673,-88.99395
Dyer County,TN,36.05906,-89.41377
Dyersburg,TN,36.03452,-89.38563
Eagleton Village,TN,35.79508,-83.93185
East Brainerd,TN,34.99591,-85.15023
East Chattanooga,TN,35.06535,-85.24912
East Cleveland,TN,35.16091,-84.85772
East Ridge,TN,35.01424,-85.2519
Elizabethton,TN,36.34872,-82.21069
