name,state_code,latitude,longitude
Abbotsford,WI,44.94636,-90.31597
Adams,WI,43.95608,-89.81818
Adams County,WI,43.96963,-89.77064
Addison,WI,43.42278,-88.37454
Albany,WI,42.70778,-89.43706
Algoma,WI,44.60889,-87.43259
Allouez,WI,44.47749,-88.01621
Alma,WI,44.31997,-91.91488
Alto,WI,43.67665,-88.79511
Altoona,WI,44.80468,-91.44321
Amery,WI,45.30691,-92.36214
Amherst,WI,44.45081,-89.28484
Antigo,WI,45.14025,-89.15234
Appleton,WI,44.26193,-88.41538
Arcadia,WI,44.25274,-91.50154
Ashford,WI,43.58694,-88.37066
Ashland,WI,46.59244,-90.8838
Ashland County,WI,46.50974,-90.7196
Ashwaubenon,WI,44.48221,-88.0701
Athens,WI,45.03302,-90.07402
Augusta,WI,44.68024,-91.11988
Aztalan,WI,43.07278,-88.86233
Baldwin,WI,44.96663,-92.37436
Balsam Lake,WI,45.45218,-92.45464
Bangor,WI,43.89302,-90.99041
Baraboo,WI,43.47109,-89.74429
Barneveld,WI,43.01555,-89.8954
Barron,WI,45.40135,-91.84906
Barron County,WI,45.42372,-91.84831
Barton,WI,43.44361,-88.18065
Bayfield County,WI,46.63544,-91.18068
Bayside,WI,43.18056,-87.90064
Beaver Dam,WI,43.45777,-88.83733
Belgium,WI,43.49972,-87.85037
Belle Plaine,WI,44.71526,-88.66621
Belleville,WI,42.85972,-89.53818
Bellevue,WI,44.44416,-87.9201
Beloit,WI,42.50835,-89.03178
Berlin,WI,43.96804,-88.94345
Bevent,WI,44.77053,-89.38956
Big Bend,WI,42.8814,-88.20676
Black Creek,WI,44.47749,-88.45066
Black Earth,WI,43.13722,-89.74679
Black River Falls,WI,44.29468,-90.85153
Blair,WI,44.2944,-91.23516
Bloomer,WI,45.10024,-91.48877
Bohners Lake,WI,42.62307,-88.28037
Bonduel,WI,44.74027,-88.44482
Boscobel,WI,43.13443,-90.7054
Boyceville,WI,45.04357,-92.04101
Brice Prairie,WI,43.93857,-91.29986
Brillion,WI,44.17721,-88.06427
Bristol,WI,42.55891,-88.04925
Brodhead,WI,42.61834,-89.37623
Brookfield,WI,43.06057,-88.10648
Brooklyn,WI,42.85361,-89.3704
Brothertown,WI,43.96805,-88.30899
Brown County,WI,44.47433,-87.99287
Brown Deer,WI,43.16334,-87.96453
Browns Lake,WI,42.69252,-88.2312
Brussels,WI,44.73611,-87.62093
Buffalo County,WI,44.37983,-91.75447
Burlington,WI,42.67807,-88.2762
Burnett County,WI,45.86272,-92.36757
Butler,WI,43.10584,-88.06953
Cadott,WI,44.94802,-91.1507
Caledonia,WI,42.8078,-87.92425
Calumet County,WI,44.0816,-88.21806
Cambridge,WI,43.00361,-89.0165
Cameron,WI,45.40857,-91.74406
Camp Lake,WI,42.53474,-88.1437
Campbellsport,WI,43.59777,-88.27899
Cashton,WI,43.74191,-90.7793
Cato,WI,44.14277,-87.8612
Cedar Grove,WI,43.56972,-87.82342
Cedarburg,WI,43.29667,-87.98759
Chetek,WI,45.31413,-91.651
Chilton,WI,44.02888,-88.16288
Chippewa County,WI,45.0694,-91.27989
Chippewa Falls,WI,44.93691,-91.39293
Clark County,WI,44.73471,-90.61208
Clear Lake,WI,45.25191,-92.2713
Cleveland,WI,43.91499,-87.74731
Clinton,WI,42.55779,-88.86511
Clintonville,WI,44.62053,-88.76232
Colby,WI,44.90997,-90.31569
Colfax,WI,44.99746,-91.72712
Columbia County,WI,43.4666,-89.33373
Columbus,WI,43.33805,-89.01539
Combined Locks,WI,44.26582,-88.31427
Como,WI,42.61224,-88.48232
Concord,WI,43.06945,-88.59871
Cooperstown,WI,44.31277,-87.77453
Cornell,WI,45.16719,-91.14931
Cottage Grove,WI,43.07611,-89.19956
Crandon,WI,45.57191,-88.90289
Crawford County,WI,43.23946,-90.93105
Cross Plains,WI,43.11444,-89.65568
Cuba City,WI,42.60555,-90.42985
Cudahy,WI,42.95974,-87.86147
Cumberland,WI,45.53218,-92.01935
Dakota,WI,43.99025,-89.35651
Dane,WI,43.25055,-89.50151
Dane County,WI,43.06735,-89.41832
Darien,WI,42.60168,-88.7076
Darlington,WI,42.68306,-90.11763
De Forest,WI,43.24777,-89.34373
De Pere,WI,44.44888,-88.06038
Decatur,WI,42.63433,-89.41155
Deerfield,WI,43.05194,-89.07567
Delafield,WI,43.06084,-88.40371
Delavan,WI,42.63307,-88.64371
Delavan Lake,WI,42.58418,-88.6326
Denmark,WI,44.34777,-87.82732
Dickeyville,WI,42.62722,-90.59207
Dodge County,WI,43.4163,-88.70752
Dodgeville,WI,42.96027,-90.13012
Door County,WI,44.83834,-87.35779
Douglas County,WI,46.46411,-91.8994
Dousman,WI,43.01418,-88.4726
Dunn County,WI,44.94659,-91.89641
Durand,WI,44.62635,-91.96573
Eagle,WI,42.87946,-88.47427
Eagle Lake,WI,42.70696,-88.12814
Eagle River,WI,45.91718,-89.2443
East Troy,WI,42.78529,-88.4051
Easton,WI,43.83803,-89.80679
Eau Claire,WI,44.81135,-91.49849
Eau Claire County,WI,44.72677,-91.286
Edgar,WI,44.92719,-89.96346
Edgerton,WI,42.83528,-89.06761
Eldorado,WI,43.82471,-88.62178
Elkhorn,WI,42.67279,-88.54454
Ellsworth,WI,44.73219,-92.48741
Elm Grove,WI,43.04307,-88.07898
Elroy,WI,43.7408,-90.27235
Evansville,WI,42.78028,-89.29928
Evergreen,WI,44.84247,-89.63762
Fall Creek,WI,44.76357,-91.2771
Fall River,WI,43.38443,-89.04511
Fennimore,WI,42.9836,-90.6554
Fitchburg,WI,42.96083,-89.46984
Florence,WI,45.92218,-88.2518
Florence County,WI,45.84845,-88.39816
Fond du Lac,WI,43.775,-88.43883
Fond du Lac County,WI,43.75359,-88.48826
Fontana,WI,42.55141,-88.5751
Forest County,WI,45.66726,-88.77038
Fort Atkinson,WI,42.92889,-88.83705
Fox Lake,WI,43.56554,-88.9065
Fox Point,WI,43.15751,-87.90175
Franklin,WI,42.88863,-88.03842
Franksville,WI,42.76002,-87.91341
Frederic,WI,45.65912,-92.46714
Fredonia,WI,43.47056,-87.95065
French Island,WI,43.8583,-91.26042
Friendship,WI,43.97053,-89.81679
Galesville,WI,44.08163,-91.34904
Genoa City,WI,42.49835,-88.32815
Germantown,WI,43.22862,-88.11037
Gillett,WI,44.88999,-88.30732
Glendale,WI,43.13529,-87.93564
Glenmore,WI,44.38583,-87.92732
Glenwood City,WI,45.05857,-92.17241
Grafton,WI,43.31973,-87.95342
Grant County,WI,42.86749,-90.70622
Grantsburg,WI,45.77634,-92.6827
Green Bay,WI,44.51916,-88.01983
Green County,WI,42.67999,-89.60221
Green Lake,WI,43.84415,-88.96011
Green Lake County,WI,43.80038,-89.04486
Greendale,WI,42.94057,-87.99592
Greenfield,WI,42.9614,-88.01259
Greenwood,WI,44.77024,-90.59931
Hales Corners,WI,42.93751,-88.0487
Hammond,WI,44.97886,-92.43575
Harrison,WI,44.22776,-88.33591
Hartford,WI,43.31778,-88.37899
Hartland,WI,43.10501,-88.34204
Hayward,WI,46.01301,-91.48462
Hazel Green,WI,42.53278,-90.43457
Hilbert,WI,44.14027,-88.16399
Hillsboro,WI,43.6522,-90.34402
Hobart,WI,44.49925,-88.14986
Holmen,WI,43.9633,-91.25625
Horicon,WI,43.45138,-88.63121
Hortonville,WI,44.3347,-88.63816
Howard,WI,44.5436,-88.08816
Howards Grove,WI,43.83388,-87.82009
Hudson,WI,44.97469,-92.75687
Hurley,WI,46.44967,-90.18656
Hustisford,WI,43.34611,-88.60066
Independence,WI,44.35691,-91.42043
Iola,WI,44.50803,-89.13067
Iowa County,WI,43.00048,-90.13543
Iron County,WI,46.31706,-90.26445
Ixonia,WI,43.14389,-88.59732
Jackson,WI,43.32389,-88.16676
Jackson County,WI,44.31913,-90.80518
Janesville,WI,42.68279,-89.01872
Jefferson,WI,43.00556,-88.80733
Jefferson County,WI,43.02082,-88.77587
Johnson Creek,WI,43.07611,-88.77427
Juneau,WI,43.40555,-88.7051
Juneau County,WI,43.92444,-90.11402
Kaukauna,WI,44.27804,-88.27205
Kenosha,WI,42.58474,-87.82119
Kenosha County,WI,42.5728,-87.83981
Keshena,WI,44.88387,-88.63372
Kewaskum,WI,43.52083,-88.22899
Kewaunee,WI,44.45833,-87.50314
Kewaunee County,WI,44.48279,-87.51434
Kiel,WI,43.91249,-88.03565
Kimberly,WI,44.27221,-88.339
King,WI,44.33748,-89.14178
